model,body,frame,mean_f,g_ann,terminal,maxDD_frac,worst_day_factor,half_terminal,half_worst_day_factor
baseline (HAR + calendar OLS),strangle (nearest OTM pair),per premium,0.03048305516379141,0.3209419606027621,3.012949787633425,-0.5815779202792613,0.6715233156226128,2.176745556447105,0.8357616578113064
baseline (HAR + calendar OLS),strangle (nearest OTM pair),per time value,0.03048305516379141,0.3209419606027621,3.012949787633425,-0.5815779202792613,0.6715233156226128,2.176745556447105,0.8357616578113064
baseline (HAR + calendar OLS),straddle (same strike),per premium,0.03110381923695454,0.4255277894103741,4.3160024951560105,-0.39346207061606164,0.7319671650468085,2.431704847700751,0.8659835825234042
baseline (HAR + calendar OLS),straddle (same strike),per time value,0.027589759433170987,0.5280106209795243,6.138084295936841,-0.465129115622513,0.7101407686384635,3.017019479492153,0.8550703843192318
block-diagonal ridge,strangle (nearest OTM pair),per premium,0.055803504428499094,0.7273666045250003,12.17763544502661,-0.7126190442139306,0.5789249386350812,6.019712384446517,0.7894624693175406
block-diagonal ridge,strangle (nearest OTM pair),per time value,0.055803504428499094,0.7273666045250003,12.17763544502661,-0.7126190442139306,0.5789249386350812,6.019712384446517,0.7894624693175406
block-diagonal ridge,straddle (same strike),per premium,0.05605425484477297,0.570127235060376,7.09398163899867,-0.6668788358994688,0.6976959079282896,3.67960849257935,0.8488479539641448
block-diagonal ridge,straddle (same strike),per time value,0.05287404489497104,0.8350751055526866,17.63247245297511,-0.6450937233641572,0.6627436970690265,6.523400280604967,0.8313718485345132
LightGBM,strangle (nearest OTM pair),per premium,0.08283747878456127,0.9226091674622345,23.82067083666583,-0.9453614272967821,0.46563362653192286,13.912695267779988,0.7328168132659614
LightGBM,strangle (nearest OTM pair),per time value,0.08283747878456127,0.9226091674622345,23.82067083666583,-0.9453614272967821,0.46563362653192286,13.912695267779988,0.7328168132659614
LightGBM,straddle (same strike),per premium,0.10738393547487171,0.9652082538788402,27.575999879300877,-0.756450895484122,0.5287432301186699,13.711441245754678,0.7643716150593349
LightGBM,straddle (same strike),per time value,0.08263520738456999,1.1469568416105744,51.4971408692601,-0.7096314783000209,0.5915734698850126,17.76390587907351,0.7957867349425063
XGBoost,strangle (nearest OTM pair),per premium,0.08431282762747767,0.709479648952163,11.451634196657551,-0.9162798125488658,0.44939207109675383,10.143897240888046,0.7246960355483769
XGBoost,strangle (nearest OTM pair),per time value,0.08431282762747767,0.709479648952163,11.451634196657551,-0.9162798125488658,0.44939207109675383,10.143897240888046,0.7246960355483769
XGBoost,straddle (same strike),per premium,0.11155802875237004,0.7516537925806225,13.237639163684204,-0.7558880359275758,0.5131631066121947,10.324734949297245,0.7565815533060973
XGBoost,straddle (same strike),per time value,0.0819543377916921,0.843038722021375,18.121684484412057,-0.713564635563634,0.6021216417382486,10.537096849321895,0.8010608208691243
lasso (causally tuned),strangle (nearest OTM pair),per premium,0.04103440197227146,0.7150311828270933,11.672204535097558,-0.7401004703827441,0.576237856019115,5.002403281402973,0.7881189280095575
lasso (causally tuned),strangle (nearest OTM pair),per time value,0.04103440197227146,0.7150311828270933,11.672204535097558,-0.7401004703827441,0.576237856019115,5.002403281402973,0.7881189280095575
lasso (causally tuned),straddle (same strike),per premium,0.058000161898693385,0.7489028572081627,13.11308533863309,-0.6608038918719263,0.63234360413541,5.320003923981499,0.816171802067705
lasso (causally tuned),straddle (same strike),per time value,0.04532009300946931,0.8482286860770915,18.447790582276806,-0.6455084017739355,0.6585718103000308,6.292505002738659,0.8292859051500154
lasso (fixed 1e-4),strangle (nearest OTM pair),per premium,0.0662944329827332,1.0271400306994236,34.116286062041254,-0.8344521793307553,0.5146591130159184,12.08979402896176,0.7573295565079592
lasso (fixed 1e-4),strangle (nearest OTM pair),per time value,0.0662944329827332,1.0271400306994236,34.116286062041254,-0.8344521793307553,0.5146591130159184,12.08979402896176,0.7573295565079592
lasso (fixed 1e-4),straddle (same strike),per premium,0.08367658161725441,0.9891609657400242,29.941920121491844,-0.7789461002457447,0.6195323135706485,10.333895319283307,0.8097661567853243
lasso (fixed 1e-4),straddle (same strike),per time value,0.06928226756379673,1.1877327475505057,59.24331895520902,-0.7450695486537116,0.6241889708916912,15.401255445889714,0.8120944854458456
elastic net (causally tuned),strangle (nearest OTM pair),per premium,0.031735631636844765,0.41319706356742525,4.13693422558195,-0.5475674937158866,0.7075571119343999,2.523450911639761,0.8537785559672
elastic net (causally tuned),strangle (nearest OTM pair),per time value,0.031735631636844765,0.41319706356742525,4.13693422558195,-0.5475674937158866,0.7075571119343999,2.523450911639761,0.8537785559672
elastic net (causally tuned),straddle (same strike),per premium,0.03434791069505645,0.3989957531126051,3.9398871162618008,-0.4257703739479439,0.757927635653707,2.318292414625844,0.8789638178268535
elastic net (causally tuned),straddle (same strike),per time value,0.027217029719682626,0.4923729747072755,5.430567472022755,-0.43639708201730565,0.7471658365443485,2.7435051879278305,0.8735829182721743
