forecast,bar end,days,QLIKE per-bar,QLIKE pooled,difference (%),ci_lo (%),ci_hi (%),DM t,lag
ridge (HAR + calendar),10:00,866,0.10123299383503148,0.10092808576839617,0.30210427980870147,-6.592774924909684,7.254058443245112,0.08838244287884957,14
ridge (HAR + calendar),10:30,866,0.15656652881165037,0.1603465216708984,-2.3573899950298016,-5.464254391098728,1.0931579585984035,-1.2914775834130248,14
ridge (HAR + calendar),11:00,866,0.1417176736656733,0.13631316256187606,3.9647756696599368,1.2634033735404033,7.042515050692258,3.0743689570347033,14
ridge (HAR + calendar),11:30,866,0.14508080419953817,0.14841977738313683,-2.249682112768092,-4.466478803491358,0.0018058740062997579,-1.884194971271112,14
ridge (HAR + calendar),12:00,866,0.1325590893380864,0.12624564443883926,5.000920964291766,0.7627839934977421,9.152398387596874,2.410137128554752,14
ridge (HAR + calendar),12:30,866,0.14931659484724638,0.1470404400331079,1.5479787829973723,-0.40960538425628995,3.584310830514805,1.4934137087266401,14
ridge (HAR + calendar),13:00,866,0.16383434617821768,0.15795086977036055,3.724877499193857,-0.9192655940003482,8.71393912123381,1.1544567057491202,14
ridge (HAR + calendar),13:30,866,0.16291092594027992,0.1678780889241638,-2.95879171350808,-6.72990774010085,0.30883333678237873,-1.843586097940306,14
ridge (HAR + calendar),14:00,866,0.1924608205067306,0.18811907816111598,2.307975558914932,-1.1564882291778604,5.1583843529029805,1.1397597892056976,14
ridge (HAR + calendar),14:30,866,0.4148897329682307,0.5968367460184334,-30.485223013494423,-34.39183548279427,-26.051705895547904,-6.265524422055974,14
ridge (HAR + calendar),15:00,866,0.24577659389156697,0.27418448221733804,-10.360866558178506,-14.628263441466755,-5.80207093928093,-4.291177066936474,14
ridge (HAR + calendar),15:30,866,0.13403429627488092,0.13855089029523002,-3.2598809078201896,-6.451127868165212,0.033496765501820853,-1.7479217744250757,14
ridge (HAR + calendar),16:00,866,0.09964335817854313,0.10629044031576936,-6.2536970563664696,-10.44127356282425,-1.9133178358956437,-2.3962177424070306,14
ridge (HAR + calendar),session mean,866,0.17230951989505203,0.1883926328891281,-8.537018007249376,-11.012664375026228,-5.982790511789615,-5.909627074923944,14
ridge (all features),10:00,866,0.1074698458605734,0.10064214116122135,6.784140937954186,-1.1910884536919975,14.8517631830596,1.7115647525862088,14
ridge (all features),10:30,866,0.17545021668658295,0.16334795532315824,7.408884512501124,2.1387630165393556,12.439478912894364,2.5825521034761594,14
