model,b_absR,t,p,n
HAR + calendar OLS,0.3309717171758413,4.2453441722488146,2.182581469731071e-05,808
block-diag ridge,0.30148070096256235,3.6502650002261072,0.0002619698929779588,808
LightGBM,0.32103861431179836,3.9649911967864053,7.339865583758859e-05,808
XGBoost,0.3028225134960198,3.735183470209111,0.0001875783815902382,808
lasso (causally tuned),0.31191476166563764,3.737461477363635,0.00018588755938897224,808
lasso (fixed 1e-4),0.27584383216408914,3.320327872445372,0.0008991178464727736,808
elastic net (causally tuned),0.2996855188084146,3.5419567319217786,0.0003971706164762219,808
