step,adds,dSharpe_mid,dSharpe_crossed,dQLIKE
N0 -> N1,N0 -> the profile-adjusted daily-and-above rungs,-0.32953731981605255,-0.33958376888042974,-0.08051070004764938
N1 -> N2,"N1 + session rungs (4, 8, 16 bars)",0.3797057071562165,0.3742700419128777,-0.06194150557143198
N2 -> N3,"N2 + last-hour rungs (1, 2 bars)",0.39700457754067564,0.39470258773350203,-0.011110224011136496
N3 -> N4,N3 + session-edge interactions,-0.12760125133517963,-0.12859510051850065,0.0013277564480050352
N4 -> N5,N4 + calendar = the full baseline,0.052650818391279386,0.05576699689173081,-0.0016289881612307489
N5 -> N6,"N5, ladder on session bars only",-0.32806761891978786,-0.33007420115547204,0.02202019113450876
N5 -> N7,"N5, ladder on overnight bars only",-0.9482632229923562,-0.9415703174520709,0.1267543184821049
