cut,d_N0,later_N0,d_N4,later_N4,d_N5,later_N5,d_N6,later_N6,d_N7,later_N7
2020-01-03,0.0,0.9885503919278231,0.0,1.9103649989272846,0.0,1.879195501535948,0.0,2.081165069310937,0.0,2.286013865808979
2020-08-03,0.0,0.0441416966703807,0.0,1.3872573667415973,0.0,1.3452416798846876,0.0,1.2708389964105922,0.0,1.3537204511531746
2021-03-15,0.0,0.0324063831332283,0.0,1.0450502669194743,0.0,1.0314982728592468,0.0,0.8857338231544281,0.0,1.100784565100636
2021-10-15,0.0,0.05179644452153631,0.0,1.3837020824014947,0.0,1.3823320272837165,0.0,1.3564004881780685,0.0,1.3421475409443309
2022-05-13,0.0,2.155708967426106,0.0,2.492193855587963,0.0,2.5057277692576436,0.0,2.3967850897012073,0.0,1.760693057250297
2022-09-27,0.0,0.5769626322237089,0.0,1.3329343537269214,0.0,1.4030925432733563,0.0,1.3840534615497946,0.0,1.4773793078559132
2023-02-13,0.0,2.6334126509259237,0.0,2.8227400841878127,0.0,2.8827008330048827,0.0,2.176273142130399,0.0,2.646902197421033
2023-06-29,0.0,0.3314157794989657,0.0,2.162283756210568,0.0,2.190187980821321,0.0,2.0103513173679293,0.0,2.415934137402388
2023-11-13,0.0,0.0004020006618178362,0.0,1.3870998520612035,0.0,1.4002197761874031,0.0,1.229151946118972,0.0,1.7342770639178458
2024-04-02,0.0,0.05649227664333667,0.0,1.698780118561897,0.0,1.7495329727767903,0.0,2.226157540223838,0.0,1.4242253745684248
