design,what,n_cols,QLIKE,DM_t_vs_N5,DM_lag,mean_mid,t_mid,Sharpe_mid,pct_long_mid,mean_crossed,t_crossed,Sharpe_crossed,pct_long_crossed,agree_N5_pct,rho_last_bar,rho_yesterday,dSharpe_mid,ci_lo_mid,ci_hi_mid,basic_lo_mid,basic_hi_mid,dSharpe_crossed,ci_lo_crossed,ci_hi_crossed,basic_lo_crossed,basic_hi_crossed
N0,"daily HAR only (1, 5, 22 day means of RV)",3,0.26168367572787316,9.429428274110373,14.0,0.04224458550689291,1.103161631517807,0.5950870135336523,58.083140877598154,0.009387907424208152,0.2490954373015365,0.13437147887810466,58.083140877598154,58.314087759815244,0.6923779029513133,0.7686233090844573,-0.3722225319369393,-1.6983208895637427,0.9689673469405562,-1.7134124108144348,0.9538758256898641,-0.3565607571391802,-1.684700888440407,0.999387034708457,-1.7125085489868175,0.9715793741620468
N1,N0 -> the profile-adjusted daily-and-above rungs,7,0.18117297568022378,8.039923283814952,14.0,0.018861700681621706,0.492271259006386,0.2655496937175998,52.54041570438799,-0.014438528663993219,-0.38041886228066424,-0.20521229000232505,52.54041570438799,69.86143187066975,0.7895756239600704,0.8522718568656844,-0.7017598517529918,-1.6801697098224742,0.3016019873250382,-1.7051216908310218,0.2766500063164905,-0.6961445260196099,-1.6738259624622895,0.312804499587206,-1.7050935516264256,0.28153691042306983
N2,"N1 + session rungs (4, 8, 16 bars)",10,0.1192314701087918,3.1885684008028026,14.0,0.04580033229774496,1.1961628880906205,0.6452554008738163,36.60508083140878,0.012057248193204534,0.31339622807586515,0.16905775191055267,36.60508083140878,84.64203233256352,0.9083099166088534,0.7723356242021172,-0.3220541445967754,-1.1707952680197973,0.5120957482174251,-1.1562040374109759,0.5266869788262465,-0.3218744841067322,-1.1672006878281733,0.5132186095594912,-1.1569675777729556,0.5234517196147089
N3,"N2 + last-hour rungs (1, 2 bars)",12,0.1081212460976553,0.1262380331116292,14.0,0.07388168651780119,1.9321228528009622,1.042259978414492,31.40877598152425,0.04009247672092782,1.0450888053728273,0.5637603396440547,31.40877598152425,90.76212471131639,0.9464383936939218,0.7543123534294275,0.0749504329439003,-0.4745831382994416,0.6307807049081987,-0.4808798390203981,0.6244840041872421,0.07282810362676977,-0.47474459542299685,0.6255269910452352,-0.4798707837916957,0.6204008026765364
N4,N3 + session-edge interactions,36,0.10944900254566034,1.7096848023944229,14.0,0.06486858437008727,1.6955779418798467,0.9146587270793123,31.524249422632796,0.031053474119706808,0.8067015146625031,0.43516523912555405,31.524249422632796,97.34411085450347,0.9373636505950173,0.7850236649302883,-0.052650818391279365,-0.43497448103076525,0.31742546036174824,-0.42272709714430695,0.32967284424820653,-0.05576699689173083,-0.4373850454768948,0.3104731311024328,-0.4220071248858944,0.3258510516934331
N5,N4 + calendar = the full baseline,52,0.10782001438442959,,14.0,0.06858918296538287,1.7931810846074554,0.9673095454705917,33.02540415704388,0.03497528849154893,0.910081373198857,0.49093223601728486,33.02540415704388,100.0,0.9345999743818346,0.7831728009916161,,,,,,,,,,
N6,"N5, ladder on session bars only",52,0.12984020551893835,4.7273603151995305,14.0,0.045374189984875274,1.1850152172552701,0.6392419265508038,27.48267898383372,0.011552162292911766,0.29819573969054647,0.1608580348618128,27.48267898383372,84.06466512702079,0.89613904316938,0.7994597273988864,-0.3280676189197878,-1.0826899257516664,0.4215609627517924,-1.077696200591368,0.42655468791209084,-0.33007420115547204,-1.077272159747721,0.4102442880832191,-1.0703926903941632,0.417123757436777
N7,"N5, ladder on overnight bars only",52,0.23457433286653448,10.582409887316418,14.0,0.001353027705865964,0.03530773097322229,0.01904632247823544,55.54272517321016,-0.03167470078009448,-0.8353847921965118,-0.45063808143478606,55.54272517321016,64.08775981524249,0.7145808240411283,0.8214900931007362,-0.9482632229923561,-2.189815212569475,0.2078860792331787,-2.104412525217891,0.293288766584763,-0.941570317452071,-2.1868243397413654,0.22310650512588143,-2.1062471400300233,0.3036837048372234
