design,fill,n,mean_diff,hac_t_diff,hac_lag,dSharpe,pctile_lo,pctile_hi,basic_lo,basic_hi
N0,mid,866.0,-0.026344597458489962,-0.5654922770964063,14.0,-0.3722225319369393,-1.6983208895637427,0.9689673469405562,-1.7134124108144348,0.9538758256898641
N0,crossed,866.0,-0.025587381067340792,-0.5481070483232946,14.0,-0.3565607571391802,-1.684700888440407,0.999387034708457,-1.7125085489868175,0.9715793741620468
N1,mid,866.0,-0.049727482283761164,-1.3782354064614315,14.0,-0.7017598517529918,-1.6801697098224742,0.3016019873250382,-1.7051216908310218,0.2766500063164905
N1,crossed,866.0,-0.04941381715554215,-1.3682631650738357,14.0,-0.6961445260196099,-1.6738259624622895,0.312804499587206,-1.7050935516264256,0.28153691042306983
N2,mid,866.0,-0.022788850667637896,-0.7316268723170277,14.0,-0.3220541445967754,-1.1707952680197973,0.5120957482174251,-1.1562040374109759,0.5266869788262465
N2,crossed,866.0,-0.022918040298344402,-0.7343200756042615,14.0,-0.3218744841067322,-1.1672006878281733,0.5132186095594912,-1.1569675777729556,0.5234517196147089
N3,mid,866.0,0.005292503552418331,0.2686447338723232,14.0,0.0749504329439003,-0.4745831382994416,0.6307807049081987,-0.4808798390203981,0.6244840041872421
N3,crossed,866.0,0.005117188229378883,0.25946693766050216,14.0,0.07282810362676977,-0.47474459542299685,0.6255269910452352,-0.4798707837916957,0.6204008026765364
N4,mid,866.0,-0.0037205985952955883,-0.27051621917950885,14.0,-0.052650818391279365,-0.43497448103076525,0.31742546036174824,-0.42272709714430695,0.32967284424820653
N4,crossed,866.0,-0.003921814371842121,-0.2853204657764616,14.0,-0.05576699689173083,-0.4373850454768948,0.3104731311024328,-0.4220071248858944,0.3258510516934331
N6,mid,866.0,-0.02321499298050757,-0.6868802190701415,14.0,-0.3280676189197878,-1.0826899257516664,0.4215609627517924,-1.077696200591368,0.42655468791209084
N6,crossed,866.0,-0.02342312619863717,-0.6920414401126127,14.0,-0.33007420115547204,-1.077272159747721,0.4102442880832191,-1.0703926903941632,0.417123757436777
N7,mid,866.0,-0.06723615525951691,-1.579851894325193,14.0,-0.9482632229923561,-2.189815212569475,0.2078860792331787,-2.104412525217891,0.293288766584763
N7,crossed,866.0,-0.06664998927164344,-1.5634628823178092,14.0,-0.941570317452071,-2.1868243397413654,0.22310650512588143,-2.1062471400300233,0.3036837048372234
