estimator,bucket,qlike,mse,rmse,mae,hmse,hmae,oos_r2,mz_beta,mz_r2,n,incumbent_qlike,dm,dm_p,dm_mean_diff,dm_better
lgbm,all_features,0.12603788791209655,4.079817157188102e-11,6.387344641702138e-06,1.22200604530879e-06,0.3864614263793979,0.3877820282779229,0.05908177369726186,0.8918254985449062,0.7230923457265159,218934,0.13415250133747544,-15.428191319669576,1.057936704516765e-53,-0.008114613425378872,a
reclasso,all_features,0.12906792599637154,4.231989079430749e-11,6.505373993423244e-06,1.244264971272752e-06,0.32380969162158385,0.39467944198658106,0.023986736431345967,0.9150598660116085,0.7078958347633708,218934,0.13415250133747544,-13.229510976643395,5.927175432585593e-40,-0.005084575341103885,a
reclasticnet,all_features,0.12827172344908475,4.260292264632623e-11,6.527091438483625e-06,1.245351497924204e-06,0.31612641277797815,0.39345686777086863,0.017459242234226013,0.9048160009428456,0.7076953286261181,218934,0.13415250133747544,-19.31418749603932,4.08102898754544e-83,-0.005880777888390675,a
ridge,all_features,0.1278785500577159,4.5856233397652494e-11,6.771723074495331e-06,1.2424636496272952e-06,0.3187266792896216,0.3932028014332827,-0.05757106583623495,0.8840495526726259,0.6887404703149038,218934,0.13415250133747544,-19.925446139752538,2.4485455732854103e-88,-0.006273951279759535,a
xgb,all_features,0.12640644692706707,4.605273083700443e-11,6.786216238597502e-06,1.2307275768248538e-06,0.35646634731792504,0.3878769366712988,-0.062102838094265644,0.8401970487949607,0.700769255366378,218934,0.13415250133747542,-16.54483454351219,1.7444335809806086e-61,-0.007746054410408359,a
lgbm,baseline,0.13118038777570223,4.5078591672137254e-11,6.7140592544404355e-06,1.2585398383485485e-06,0.39791494820101536,0.3973312172775433,-0.03963650541649,0.8701009105645303,0.6978765591275911,218934,0.13415250133747544,-5.59601248821359,2.193379092827495e-08,-0.0029721135617731907,a
reclasso,baseline,0.13474631855080088,4.261688954535848e-11,6.528161268332644e-06,1.2809993719469443e-06,0.31219306373355166,0.40023532991149613,0.01713712706685333,0.9371197262131846,0.7027704034544162,218934,0.13415250133747544,7.011338798022092,2.3604835644503393e-12,0.0005938172133254522,b
reclasticnet,baseline,0.1347092240510059,4.26569944171725e-11,6.53123222808472e-06,1.2808762448711477e-06,0.3128339615593697,0.40028684312713264,0.01621219824286102,0.9376934062430938,0.7024070921132538,218934,0.13415250133747544,7.508739348750458,5.969945561752211e-14,0.0005567227135304874,b
ridge,baseline,0.13445048127227785,4.301068720449248e-11,6.558253365378047e-06,1.2824798760309138e-06,0.31077104928736016,0.40021064037127285,0.008055068222581285,0.9336485361968657,0.7003854232718278,218934,0.13415250133747544,5.036257228352163,4.747225257542513e-07,0.0002979799348024136,b
xgb,baseline,0.1316257761454721,4.600753017485539e-11,6.782885092263866e-06,1.2618762773221427e-06,0.3812448569220999,0.3979689642373478,-0.06106038630737243,0.8553368069439085,0.6956073967161874,218934,0.13415250133747542,-5.488612966443786,4.0510215652364946e-08,-0.002526725192003329,a
