cluster,arm,bucket,chunks_ok,bars,chunks_blown,chunks_bad,qlike,mz_beta,dm,dm_p,dm_better,view_window,embedding_dim,neighbor_k,residualizer,masked,omega,status,verdict,knobs
carc,chan_exog,all_features,0,0,0,3,,,,,,,,,,,,no output,not pooled,
carc,chan_exog,market_vw,1,2189,0,2,,,,,,,,,,,,partial 1/100,not pooled,
carc,fac_W12_d0_k100_id,baseline,100,218934,0,0,0.1423612200393151,0.9711154127261932,18.27979363397463,1.1987879537690813e-74,b,12,0,100,identity,no,1.0,complete,loses: 0.142361,W=12 d=0 k=100 identity mask=no
carc,fac_W12_d0_k25_id,baseline,100,218934,0,0,0.1417266322970673,0.9465785149998636,19.123331849141373,1.6145648846061643e-81,b,12,0,25,identity,no,1.0,complete,loses: 0.141727,W=12 d=0 k=25 identity mask=no
carc,fac_W12_d6_k100_id,baseline,100,218934,0,0,0.1621324259972657,0.8870206003642302,41.22482133748838,0.0,b,12,6,100,identity,no,1.0,complete,loses: 0.162132,W=12 d=6 k=100 identity mask=no
carc,fac_W12_d6_k25_id,baseline,100,218934,0,0,0.1599251634418195,0.8681195079975824,45.70682144988551,0.0,b,12,6,25,identity,no,1.0,complete,loses: 0.159925,W=12 d=6 k=25 identity mask=no
carc,fac_W24_d0_k100_id,baseline,100,218934,0,0,0.1453858083051143,0.9825846783451893,20.78951590115313,5.38513600646658e-96,b,24,0,100,identity,no,1.0,complete,loses: 0.145386,W=24 d=0 k=100 identity mask=no
carc,fac_W24_d0_k25_id,baseline,100,218934,0,0,0.1447493982147623,0.957569441162492,21.17438931485519,1.6450009309022194e-99,b,24,0,25,identity,no,1.0,complete,loses: 0.144749,W=24 d=0 k=25 identity mask=no
carc,fac_W24_d6_k100_id,baseline,100,218934,0,0,0.1687420159361628,0.9093882955532064,40.90796171206446,0.0,b,24,6,100,identity,no,1.0,complete,loses: 0.168742,W=24 d=6 k=100 identity mask=no
carc,fac_W24_d6_k25_id,baseline,100,218934,0,0,0.1687224131208283,0.895200399836785,47.08069875566592,0.0,b,24,6,25,identity,no,1.0,complete,loses: 0.168722,W=24 d=6 k=25 identity mask=no
carc,mask_exog,all_features,51,111639,7,24,2.186832299160639,6.808009674278861e-26,11.612535686814889,3.5590224674390972e-31,b,12,0,100,OLS,dup,1.0,partial 51/100,SINGULAR (rejected),W=12 d=0 k=100 OLS mask=dup
