clock,n days,long days,short days,long leg Sharpe mid,long leg Sharpe crossed,long leg pts/day mid,long leg pts/day crossed,short leg Sharpe mid,short leg Sharpe crossed,short leg pts/day mid,short leg pts/day crossed
10:00,864,268,596,2.333455665068558,2.1837312637136526,1.5693581476807594,1.4074079223253109,2.3020035130181835,1.8785726961559968,1.49081403962164,1.095704090953977
10:30,865,269,596,2.0879835116389853,1.9840082440962163,1.4416527487639057,1.3456411820615648,2.5329238476743665,2.263834246053778,1.6696176769416455,1.454877794546888
11:00,865,265,600,2.2933391177287215,2.2015344144738975,1.5448383303046915,1.456832549475521,2.5549172509010383,2.3049706576068356,1.5617642500497013,1.3714752315785843
11:30,864,253,611,1.8805712671493142,1.7899926313211494,1.0663942035149645,0.9874879560536809,2.517434234708508,2.240615692601271,1.263764059447028,1.0730522557817124
12:00,866,276,590,1.958481970088356,1.8640960908175834,1.1893382678131033,1.1092574388545875,2.74226188333349,2.4600363859857217,1.40608112723943,1.2349494858096433
12:30,866,266,600,2.2320701635086566,2.144064438254356,1.3215417764891653,1.2413743340666246,2.9744202127394974,2.692837827023099,1.5452100576759762,1.3731834909106513
13:00,866,265,601,2.54410184018087,2.447907912650365,1.6844978051014916,1.6040416939429267,3.044595213754866,2.746403619233435,1.5719202846701645,1.4079191212566013
13:30,866,241,625,2.448870875542607,2.3569111432191137,1.4177855659990333,1.3436227428445089,3.2621013227961453,2.9301608980892815,1.4911394434492802,1.3251463701350585
14:00,864,248,616,2.726037567674722,2.597366113586454,1.5361734415163044,1.4210403372568112,3.8676889742981375,3.382882294847387,1.6235592818508546,1.3686403143737051
14:30,865,229,636,2.336182853084566,2.2168325158661677,1.2141316460736225,1.148784822053303,3.6248452241504086,3.2268686079865763,1.3595227884419392,1.1825863728633506
15:00,862,214,648,2.504334919508849,2.3853843305987543,1.0622978340445428,1.0078314726701192,4.189948506725674,3.740611821682382,1.4736602279398667,1.2997333151558437
15:30,861,234,627,2.6883555431965154,2.5395523443547954,0.7946817047469984,0.7417200302205434,3.764796844327641,3.2272118778060634,0.9693488603442665,0.8147611717383066
