tercile,conditioning,days,bars,median RV_rem/IV_rem,pct short pooled,pct short 12:00,median ratio 12:00,pct short 13:00,median ratio 13:00,pct short 14:00,median ratio 14:00,pct short 15:00,median ratio 15:00,pct short 15:30,median ratio 15:30,median of the conditioning variable
low,morning realized,289,1445,0.7799053650912251,69.75778546712803,70.24221453287197,0.7748827831970595,75.08650519031141,0.763036876462476,68.16608996539793,0.7858344099997555,68.5121107266436,0.8204237265582632,66.78200692041523,0.7772234364146586,6.455541476972274e-06
mid,morning realized,288,1440,0.8006223168646678,69.44444444444444,65.625,0.858535515921732,63.541666666666664,0.865001127430528,71.52777777777779,0.8106477146982394,75.0,0.76722558158666,71.52777777777779,0.7665309136454354,1.5782305783500543e-05
high,morning realized,289,1434,0.8016346663299423,74.89539748953975,68.5121107266436,0.853129097140724,69.55017301038062,0.838834861292537,74.21602787456446,0.8126596189096181,82.10526315789474,0.7720520530145734,80.28169014084507,0.7397900683435168,4.53616665828572e-05
low,morning realized / morning implied,288,1435,0.7058115430937808,78.81533101045297,76.73611111111111,0.7317946093957055,76.73611111111111,0.7073793793285332,79.44250871080139,0.7085351299585326,80.76923076923077,0.7031307925960049,80.41958041958041,0.6955241996305294,0.6715484840762425
mid,morning realized / morning implied,288,1434,0.8198267448655225,69.1073919107392,67.01388888888889,0.8347907147561142,68.05555555555556,0.8224130038440207,67.59581881533101,0.8188821221898325,74.47552447552448,0.8057595519762719,68.42105263157895,0.7982827611811248,1.0081821795633203
high,morning realized / morning implied,288,1440,0.8586089123322959,66.18055555555556,60.763888888888886,0.906933845436392,63.541666666666664,0.8854621924947867,67.01388888888889,0.8557889798092222,70.13888888888889,0.8243985721069493,69.44444444444444,0.7884957843347205,1.5416214629573872
no morning price,morning realized / morning implied,2,10,0.8472567982442848,70.0,50.0,1.0023568945513772,50.0,0.9998823744071328,50.0,0.9565804907499094,100.0,0.8357501695065035,100.0,0.8472567982442848,
