clock,n,p10,p25,p50,p75,p90,mean,pct short (RV_rem < IV_rem),mean gap / IV_rem,t of the mean gap
10:00,864,0.5232661902092328,0.6609176647907258,0.8348361027389861,1.0717111107803714,1.3763806134187582,0.926550204725573,68.98148148148148,-0.07344979527442684,-2.9456388212999154
10:30,865,0.5113554389823198,0.6490525550068209,0.8328783203888619,1.0621391351205318,1.394794360138254,0.9222768814810669,68.90173410404624,-0.07772311851893308,-3.816105206020526
11:00,865,0.5189770848126513,0.6509648059728302,0.8382792595578129,1.0702270523750632,1.3502892170620184,0.9242889463587932,69.36416184971098,-0.07571105364120681,-3.979857108022164
11:30,864,0.5270842549708876,0.6438753266242094,0.833782385158831,1.0520176072079293,1.3581089361513172,0.9172975483717193,70.7175925925926,-0.08270245162828076,-3.8362083975025896
12:00,866,0.5145061793302403,0.6415619942769479,0.83725026252868,1.084794397701932,1.3608790198782423,0.929619178993434,68.12933025404158,-0.07038082100656597,-3.5975794871398876
12:30,866,0.5252953614972032,0.6365196683985217,0.8276160353543203,1.0524489235108865,1.344360439958296,0.926031941910285,69.28406466512702,-0.073968058089715,-3.434983354992275
13:00,866,0.5324030398075665,0.6401996596184698,0.8170901100343797,1.0614028957889627,1.338689692457662,0.9286840702771433,69.39953810623557,-0.07131592972285683,-3.4221769278377483
13:30,866,0.5317124695425894,0.6389221970405455,0.7950262749336163,1.028363192973899,1.320243502915929,0.9097597718020957,72.17090069284065,-0.09024022819790418,-3.9296227352989397
14:00,864,0.525520608440744,0.6385975947160136,0.8009986072957713,1.0305967999582366,1.3161415878252516,0.8989536964721441,71.29629629629629,-0.10104630352785583,-4.500657374500112
14:30,865,0.5083753033634288,0.6246269817321187,0.7838115069277556,1.0080186973664016,1.290539177742865,0.870653218178214,73.52601156069363,-0.12934678182178613,-4.71953945189582
15:00,862,0.5070566572553127,0.6231996398404055,0.7762555553191786,0.9981692888187341,1.2913940848314072,0.8594667925381396,75.1740139211137,-0.1405332074618605,-4.731060178726338
15:30,861,0.462629988734107,0.5897784200898963,0.7564534318441161,1.028853316158096,1.318298705290962,0.8551863547795646,72.82229965156795,-0.14481364522043544,-5.972867465110917
