flips per day,days,pct of days
0,378,44.05594405594405
1,166,19.34731934731935
2,145,16.8997668997669
3,88,10.256410256410257
4,43,5.011655011655011
5,30,3.4965034965034967
6,4,0.4662004662004662
7,3,0.34965034965034963
8,1,0.11655011655011654
