clock,n,agrees with 15:30 %,short at t -> short at 15:30 %,long at t -> long at 15:30 %
10:00,859,66.47264260768335,78.41483979763912,39.849624060150376
10:30,860,68.13953488372093,79.62962962962963,42.4812030075188
11:00,860,68.48837209302326,79.63272120200334,42.911877394636015
11:30,859,69.0337601862631,79.47454844006569,43.6
12:00,861,71.54471544715447,82.48299319727892,47.985347985347985
12:30,861,71.77700348432056,82.10702341137124,48.28897338403042
13:00,861,70.96399535423926,81.46911519198665,46.94656488549619
13:30,861,73.05458768873403,81.70144462279293,50.42016806722689
14:00,861,73.98373983739837,82.76422764227642,52.03252032520326
14:30,861,77.00348432055749,83.77952755905513,57.9646017699115
15:00,861,82.57839721254355,86.86244204018547,69.62616822429906
15:30,861,100.0,100.0,100.0
