clock,n,bars after the entry bar,sign moves when they are tripled,pct
10:00,864,11,586,67.82407407407408
10:30,865,10,584,67.51445086705202
11:00,865,9,588,67.97687861271676
11:30,864,8,603,69.79166666666667
12:00,866,7,581,67.09006928406467
12:30,866,6,590,68.12933025404158
13:00,866,5,592,68.36027713625866
13:30,866,4,615,71.01616628175519
14:00,864,3,603,69.79166666666667
14:30,865,2,615,71.09826589595376
15:00,862,1,592,68.67749419953596
15:30,861,0,0,0.0
