from,to,n,short->short %,short->long %,long->short %,long->long %
10:00,10:30,864,91.2751677852349,8.724832214765101,19.029850746268657,80.97014925373135
10:30,11:00,865,92.61744966442953,7.382550335570469,17.843866171003718,82.15613382899629
11:00,11:30,864,92.83333333333333,7.166666666666667,20.454545454545453,79.54545454545455
11:30,12:00,864,90.99836333878888,9.00163666121113,13.438735177865613,86.56126482213439
12:00,12:30,866,94.57627118644068,5.423728813559322,15.217391304347826,84.78260869565217
12:30,13:00,866,94.0,6.0,13.909774436090226,86.09022556390977
13:00,13:30,866,93.67720465890183,6.322795341098169,23.39622641509434,76.60377358490567
13:30,14:00,864,91.66666666666667,8.333333333333334,18.333333333333332,81.66666666666667
14:00,14:30,864,92.6948051948052,7.305194805194805,25.806451612903224,74.19354838709677
14:30,15:00,862,91.49606299212599,8.503937007874017,29.515418502202643,70.48458149779735
15:00,15:30,861,86.86244204018547,13.13755795981453,30.373831775700936,69.62616822429906
