clock,n,pricing ratio p05,pricing ratio median,pricing ratio p95
10:00,864,0.9994931405731442,0.9999994147750149,1.0003997193951784
10:30,865,0.9995748421555763,1.0000005447246203,1.000408971668694
11:00,865,0.9995831006305793,1.0000001240218896,1.0004158750126628
11:30,864,0.9994889836678351,1.0000017231475908,1.0005419506730078
12:00,866,0.9994271919107143,0.9999996437345104,1.0005641826518579
12:30,866,0.9994226144095517,0.999999552135367,1.0006478305228923
13:00,866,0.9991837010774928,1.000001056603697,1.0007300755154778
13:30,866,0.99910044912723,0.9999998090792307,1.0009701411273166
14:00,864,0.9987866725845573,1.0000018197216978,1.0013508471658066
14:30,865,0.998716812903622,1.0000075345737836,1.0024265091420215
15:00,862,0.9981536791769069,1.0000075550820626,1.00311362820754
15:30,861,0.9971669655519267,1.000018214640489,1.0062898924274393
