clock,n,"corr(sign gap, sign short P&L)",oracle hit rate %,R2 held points on the gap,R2 held return on the gap,sd variance term,sd directional term,variance share of var(short P&L),directional share,"corr(sign gap, sign variance term)","corr(|S_close - S_t|, E|move|)",R2 payoff on E|move|,"oracle Sharpe, held pair",oracle Sharpe if it paid E|move|,ratio of the two oracle Sharpes
10:00,864,-0.1554245697815975,60.416666666666664,0.07098580505529546,0.15843838652219802,4.638462383693319,20.400732587207255,0.05008758715005254,0.9499124128499477,-0.6153984436826744,0.5075954091037493,0.2578571833263103,3.3049989477717747,10.621199142033692,0.3111700386722012
10:30,865,-0.137756450429586,60.23121387283237,0.08765967319995147,0.17622081229604195,4.456889750788669,18.91821735874056,0.05544584733298747,0.9445541526670124,-0.5863380322221826,0.5096819327095652,0.26097016092079084,3.253222385136571,10.157787871103656,0.32026878552870436
11:00,865,-0.10697266956662993,58.15028901734104,0.10509835845529149,0.23128502691693384,4.166876222734728,18.922140041239544,0.05297619135442893,0.9470238086455709,-0.5413213889676324,0.5025571883078265,0.2533937434597309,3.428276536520414,9.186344829236532,0.3731926680576539
11:30,864,-0.09129030760410657,58.333333333333336,0.11696913455524716,0.25843037809690955,3.9515874213868933,17.560536075021915,0.05215363197576634,0.9478463680242339,-0.5233800989114386,0.5481829501309513,0.2989049204800897,3.060315762092065,8.545825920232126,0.35810649440527564
12:00,866,-0.11656666352911653,59.237875288683604,0.12367594293194564,0.2675575161324702,3.833628522535609,16.36269264346733,0.05673162022218328,0.9432683797778166,-0.5392956888669427,0.5566733683967896,0.30970833647770757,3.244980419600571,8.491913845713993,0.3821259233851466
12:30,866,-0.14187631704021927,60.161662817551964,0.1292292040718643,0.28356961808645836,3.6810770189527084,16.30485830708263,0.055488817298633177,0.9445111827013667,-0.5084717996047523,0.5456093362952089,0.2988091183841782,3.6032663447909905,7.54200669064741,0.4777596324939993
13:00,866,-0.16798612156031656,61.316397228637406,0.13896948914157242,0.3205426375619083,3.4892574212263714,14.877854705054641,0.0627329390411888,0.9372670609588111,-0.49333730809345,0.5815755653472108,0.3306881034679341,3.874694929058082,6.861913553587473,0.5646668234449492
13:30,866,-0.1628396482396473,61.316397228637406,0.12780443044479084,0.303577511377475,3.222832485254896,14.006957129879837,0.06022517741163476,0.9397748225883653,-0.43377666985755986,0.594665281327948,0.3498509775344043,3.9208376297756233,6.042687016478,0.6488566459066577
14:00,864,-0.20073307508967858,63.541666666666664,0.14182163103355755,0.2748115506227786,2.9416046511829026,12.277186606299095,0.07835061815934466,0.9216493818406553,-0.4312440017172109,0.636819177566701,0.403517899166496,4.554135089373033,5.736378644887453,0.7939041983276166
14:30,865,-0.1568285165789375,62.19653179190752,0.07669435732533002,0.1731830765604026,2.469628060652983,11.922248310604708,0.056421110642081856,0.943578889357918,-0.389045610533546,0.6432105409903113,0.4110328240135757,4.196290481211601,4.741113231062953,0.8850854802872523
15:00,862,-0.21384189469212436,65.77726218097449,0.07076422126801614,0.1356982330677043,2.0368549323232443,9.783135345480112,0.0573557350275517,0.942644264972448,-0.33229973911375077,0.5711416910574773,0.3242411616123582,4.717318029112574,3.505052447843152,1.3458623228349678
15:30,861,-0.17215183731265438,62.83391405342624,0.07570634755426509,0.1395082928830237,1.742866069313536,7.038295629593153,0.06712877290581587,0.932871227094184,-0.30078916067945854,0.586914677006939,0.34235736156818153,4.543002368533116,3.3097381999621707,1.3726168337377986
