v,q,n,hit,mean_crossed,tag
VIX T1,surprise T1,32,0.4375,0.15748248721803143,sub_live_ridge
VIX T1,surprise T2,34,0.4117647058823529,0.04866319243453593,sub_live_ridge
VIX T1,surprise T3,30,0.4666666666666667,0.1467364088348392,sub_live_ridge
VIX T2,surprise T1,30,0.2,-0.35730797866692043,sub_live_ridge
VIX T2,surprise T2,43,0.5348837209302325,0.441619452094074,sub_live_ridge
VIX T2,surprise T3,22,0.5,0.30751495295044423,sub_live_ridge
VIX T3,surprise T1,34,0.29411764705882354,-0.29923191038525976,sub_live_ridge
VIX T3,surprise T2,18,0.3888888888888889,0.10571713674602243,sub_live_ridge
VIX T3,surprise T3,43,0.3953488372093023,0.07128313326575833,sub_live_ridge
VIX T1,surprise T1,30,0.43333333333333335,0.055145025956762315,blk2
VIX T1,surprise T2,20,0.45,0.1475346002758311,blk2
VIX T1,surprise T3,42,0.42857142857142855,0.05567970931005756,blk2
VIX T2,surprise T1,33,0.3939393939393939,0.1895610829073834,blk2
VIX T2,surprise T2,47,0.3829787234042553,0.040168297073572175,blk2
VIX T2,surprise T3,10,0.3,0.02730161548004576,blk2
VIX T3,surprise T1,29,0.3103448275862069,-0.2406664639927899,blk2
VIX T3,surprise T2,23,0.391304347826087,-0.06909157028850661,blk2
VIX T3,surprise T3,40,0.475,0.23845632892705582,blk2
