tag,rule,long_only_Sharpe_crossed,long_only_mean_crossed,long_only_top20_share
sub_live_ridge,"sign(s), size 1",0.5726101122226395,0.029203754079887602,3.4729340445074315
sub_live_ridge,(i) gate: qlike_21 top trailing tercile,0.2574518398935825,0.018505179420217732,8.453134546215601
sub_live_ridge,(ii) gate: fsur_21 > 0,0.37729789527246893,0.04777094596693762,4.512837320366043
sub_live_ridge,(iii) rank of qlike_21,0.5001277559336145,0.028770852427506082,4.2873465295732025
sub_live_ridge,(iv) tercile 2/1/0.5 of qlike_21,0.4485191813761269,0.025129443079734946,4.704467580144862
sub_live_ridge,(i) gate: qlike_63 top trailing tercile,0.815365300361434,0.05236344282440189,2.6660983638514764
sub_live_ridge,(ii) gate: fsur_63 > 0,0.3393984144919264,0.17227653310522145,2.3856224309372305
sub_live_ridge,(iii) rank of qlike_63,0.9070358355082864,0.051600916842960934,2.389963357011852
sub_live_ridge,(iv) tercile 2/1/0.5 of qlike_63,0.7854663116182566,0.04165455884768293,2.722246901217881
sub_live_ridge,"(v) sign(rv_hat e^fsur_21 - iv_var), size 1",0.3265544574080182,0.010833614984999806,6.434378556475777
sub_live_ridge,"(v) sign(rv_hat e^fsur_21 - iv_var), exposure-matched",0.32655445740801803,0.018177206350670806,6.434378556475782
sub_live_ridge,"(v) sign(rv_hat e^fsur_63 - iv_var), size 1",1.0404789891980557,0.03779717310086965,2.116053189402697
sub_live_ridge,"(v) sign(rv_hat e^fsur_63 - iv_var), exposure-matched",1.0404789891980557,0.0651675398290856,2.116053189402697
blk2,"sign(s), size 1",0.5901134150506725,0.030287081425194897,3.3709516796160837
blk2,(i) gate: qlike_21 top trailing tercile,0.021272005217025155,0.001542485639647494,101.04744856383984
blk2,(ii) gate: fsur_21 > 0,-0.23710883331465785,-0.03444597088573771,-3.966831725061737
blk2,(iii) rank of qlike_21,0.36294037920641875,0.02073793738017797,5.9277262110384825
blk2,(iv) tercile 2/1/0.5 of qlike_21,0.280105442136213,0.015454033132408899,7.4877719915063405
blk2,(i) gate: qlike_63 top trailing tercile,0.38279157383603185,0.024619393891824656,5.5256343614591525
blk2,(ii) gate: fsur_63 > 0,-1.0607871366822899,-0.15111338096722976,-0.13140960170964688
blk2,(iii) rank of qlike_63,0.6571668713120156,0.035449710107852854,3.141868440824728
blk2,(iv) tercile 2/1/0.5 of qlike_63,0.5791338364109865,0.030250340448301424,3.5665377522063646
blk2,"(v) sign(rv_hat e^fsur_21 - iv_var), size 1",0.5065523284114248,0.017353241255152377,4.113698675772004
blk2,"(v) sign(rv_hat e^fsur_21 - iv_var), exposure-matched",0.5065523284114248,0.02915816727906556,4.113698675772003
blk2,"(v) sign(rv_hat e^fsur_63 - iv_var), size 1",0.7375282993209286,0.027828734229760003,2.9035638688492313
blk2,"(v) sign(rv_hat e^fsur_63 - iv_var), exposure-matched",0.7375282993209289,0.043230800973275,2.9035638688492296
