,qlike_21,fsur_21,fsur_raw_21,isur_21,qlike_63,fsur_63,fsur_raw_63,isur_63,hit_63,meanR_63,vix,vix_chg_21
qlike_21,1.0,-0.16315489463743288,-0.06235153798495501,0.005733110760501767,0.7290413609610578,-0.2010673301006285,-0.10970502528190185,0.1305313998533381,0.13113205921788515,0.17384011077500375,0.2868824306924892,-0.10289192165160667
fsur_21,-0.16315489463743288,1.0,0.7749554143642251,0.48420376701591034,-0.07974146039936575,0.6461075085520784,0.5551982431285826,0.21219942947750736,0.049657442083681176,-0.02946168344105761,-0.16733155352526416,0.24223011421392243
fsur_raw_21,-0.06235153798495501,0.7749554143642251,1.0,0.43091609372138934,-0.0249248453715115,0.32369280857549826,0.47618126182989523,0.09943907579963374,-0.006420558606447038,-0.10598769617966472,-0.09140292205235866,-0.0575028842003321
isur_21,0.005733110760501767,0.48420376701591034,0.43091609372138934,1.0,0.02583937065917232,0.32920146047615206,0.23763567186126244,0.8056322779051152,0.29302083233664866,0.13706138327949524,-0.5702970382433373,0.0647646209140153
qlike_63,0.7290413609610578,-0.07974146039936575,-0.0249248453715115,0.02583937065917232,1.0,-0.3028522285314997,-0.14159400759416885,0.06885354157788247,0.16285445958373554,0.130301288835274,0.08894589661119442,-0.272238416269225
fsur_63,-0.2010673301006285,0.6461075085520784,0.32369280857549826,0.32920146047615206,-0.3028522285314997,1.0,0.7619873072182998,0.32487032707140745,0.035815059493643026,0.002624429640900906,-0.0189536141981431,0.3593189865333639
fsur_raw_63,-0.10970502528190185,0.5551982431285826,0.47618126182989523,0.23763567186126244,-0.14159400759416885,0.7619873072182998,1.0,0.17219797053708205,0.1623893636241299,-0.012367470666921522,0.06754081357078426,0.2585427409560914
isur_63,0.1305313998533381,0.21219942947750736,0.09943907579963374,0.8056322779051152,0.06885354157788247,0.32487032707140745,0.17219797053708205,1.0,0.3625459982719967,0.3443099726582312,-0.7076850393473337,0.033508211942101546
hit_63,0.13113205921788515,0.049657442083681176,-0.006420558606447038,0.29302083233664866,0.16285445958373554,0.035815059493643026,0.1623893636241299,0.3625459982719967,1.0,0.8446985353182566,-0.08837435094593558,0.2623981652737557
meanR_63,0.17384011077500375,-0.02946168344105761,-0.10598769617966472,0.13706138327949524,0.130301288835274,0.002624429640900906,-0.012367470666921522,0.3443099726582312,0.8446985353182566,1.0,0.05478844044367184,0.29508155603325414
vix,0.2868824306924892,-0.16733155352526416,-0.09140292205235866,-0.5702970382433373,0.08894589661119442,-0.0189536141981431,0.06754081357078426,-0.7076850393473337,-0.08837435094593558,0.05478844044367184,1.0,0.2778817385447939
vix_chg_21,-0.10289192165160667,0.24223011421392243,-0.0575028842003321,0.0647646209140153,-0.272238416269225,0.3593189865333639,0.2585427409560914,0.033508211942101546,0.2623981652737557,0.29508155603325414,0.2778817385447939,1.0
