tag,rule,days,buys,pct_buy,mean_size_buys,hit_buys,Sharpe_mid,Sharpe_crossed,mean_crossed,top20_share,top20_kept_from_sign,max_dd_crossed,worst_crossed,agree_with_sign_s
sub_live_ridge,sign(s) [rv_hat],614.0,250.0,40.71661237785016,1.0,0.404,1.5107770799023794,1.15154330196654,0.08145683967219576,1.24510982969161,20.0,15.626431035412072,-5.608638948514649,1.0
sub_live_ridge,sign(raw - iv_var) [smear-free],614.0,201.0,32.73615635179153,1.0,0.4228855721393035,2.028545927180281,1.6649690763075924,0.11764519897504602,0.8623785947636774,17.0,13.355322103721758,-5.608638948514649,0.8778501628664495
sub_live_ridge,sign(rv_hat e^fsur_21 - iv_var),614.0,149.0,24.267100977198698,1.0,0.4161073825503356,0.8387665189533627,0.4601905988356681,0.03347270403559774,2.0825201296693687,10.0,16.90939453610208,-10.954857978662613,0.8192182410423453
sub_live_ridge,sign(raw e^fsur_raw_21 - iv_var),614.0,150.0,24.429967426710096,1.0,0.4,0.7933132452966116,0.4166006767896285,0.030254652662720993,2.3786012252120776,9.0,16.909394536102084,-10.954857978662613,0.7980456026058632
sub_live_ridge,sign(rv_hat e^fsur_63 - iv_var),614.0,145.0,23.615635179153095,1.0,0.45517241379310347,1.6149130600989106,1.2229913564824917,0.08843861745045742,0.9043654344246805,13.0,14.869987425285442,-10.954857978662613,0.8289902280130294
sub_live_ridge,sign(raw e^fsur_raw_63 - iv_var),614.0,152.0,24.7557003257329,1.0,0.40789473684210525,1.330349696138381,0.9450849937228906,0.0683660809633158,1.1962909891199704,11.0,21.797656579668203,-10.954857978662613,0.8045602605863192
sub_live_ridge,"[fsur_21 on scored days: share > 0 0.161, median exp 0.879, IQR exp 0.805-0.963]",,,,,,,,,,,,,
sub_live_ridge,"[fsur_63 on scored days: share > 0 0.015, median exp 0.884, IQR exp 0.846-0.925]",,,,,,,,,,,,,
blk2,sign(s) [rv_hat],614.0,247.0,40.22801302931596,1.0,0.4089068825910931,1.5394186993352832,1.1816052790591631,0.0834648823680268,1.2232244880038343,20.0,14.609724581115376,-5.608638948514649,1.0
blk2,sign(raw - iv_var) [smear-free],614.0,170.0,27.68729641693811,1.0,0.4117647058823529,1.5494175442508107,1.1795686775979686,0.08395460881249563,1.1025573644483988,14.0,10.884984285616612,-5.608638948514649,0.8680781758957655
blk2,sign(rv_hat e^fsur_21 - iv_var),614.0,147.0,23.941368078175895,1.0,0.4217687074829932,1.025103402781893,0.6436132661281875,0.04671815146598437,1.5280143441387832,10.0,14.984096028588947,-10.954857978662613,0.8208469055374593
blk2,sign(raw e^fsur_raw_21 - iv_var),614.0,152.0,24.7557003257329,1.0,0.40789473684210525,1.0490778924813426,0.6677050593975842,0.04840902083623601,1.5839222002060238,11.0,14.94581416493975,-10.954857978662613,0.8224755700325733
blk2,sign(rv_hat e^fsur_63 - iv_var),614.0,159.0,25.895765472312704,1.0,0.44025157232704404,1.346100683570246,0.9614037434443772,0.06951314232218318,1.1624061943687032,13.0,16.478452278779034,-10.954857978662613,0.8566775244299675
blk2,sign(raw e^fsur_raw_63 - iv_var),614.0,151.0,24.592833876221498,1.0,0.4304635761589404,1.547198789453914,1.176484938256101,0.08376720685732862,1.090853035689518,13.0,11.557625633607763,-5.608638948514649,0.8371335504885994
blk2,"[fsur_21 on scored days: share > 0 0.107, median exp 0.873, IQR exp 0.810-0.943]",,,,,,,,,,,,,
blk2,"[fsur_63 on scored days: share > 0 0.015, median exp 0.876, IQR exp 0.841-0.908]",,,,,,,,,,,,,
