,entry,insurance,t1530,together,q
2020-01-03,11:00,3.4970775244701366,-2.60009765625,0.8969798682201366,1.0
2020-01-06,11:00,2.012068523266561,-0.469970703125,1.54209782014156,1.0
2020-01-08,11:00,0.6043172914281953,10.349951207637787,10.954268499065982,1.0
2020-01-10,11:00,-1.0283170086295286,-2.600000023841858,-3.6283170324713865,1.0
2020-01-13,11:00,0.24296341973336943,-2.029882788658142,-1.7869193689247727,-1.0
2020-01-15,11:00,-1.1721896989781575,1.4900391101837158,0.3178494112055583,1.0
2020-01-17,11:00,0.6856207523650943,-2.420117139816284,-1.7344963874511894,-1.0
2020-01-21,11:00,-0.6035751858817404,-1.75,-2.3535751858817404,1.0
2020-01-22,11:00,-1.6843296868281665,-2.450000047683716,-4.134329734511883,1.0
2020-01-24,11:00,-5.453314500941767,3.6499998569488525,-1.8033146439929144,-1.0
2020-01-27,11:00,7.7104796478680875,-1.8701171875,5.8403624603680875,-1.0
2020-01-29,11:00,2.3957956392401916,2.150097608566284,4.545893247806475,1.0
2020-01-31,11:00,-2.023008523897506,6.879980564117432,4.856972040219926,-1.0
2020-02-03,11:00,1.7639149104068013,3.1300781965255737,4.893993106932375,1.0
2020-02-05,11:00,3.356492679205295,-3.0,0.3564926792052958,1.0
2020-02-07,11:00,1.7723978760767904,2.75,4.5223978760767904,-1.0
2020-02-10,11:00,2.742866088709044,0.14008784294128418,2.882953931650327,1.0
2020-02-12,11:00,2.8071755747988743,-1.699999988079071,1.1071755867198032,1.0
2020-02-14,11:00,1.0281460548467525,-3.009912133216858,-1.9817660783701054,-1.0
2020-02-18,11:00,0.47097211135707884,-1.9000000357627869,-1.429027924405708,1.0
2020-02-19,11:00,2.86949789131544,-1.7999999523162842,1.069497938999156,1.0
2020-02-21,11:00,6.8430312716142225,1.9000000953674316,8.743031366981654,-1.0
2020-02-24,11:00,-4.8443770321836634,-6.510107517242432,-11.354484549426095,-1.0
2020-02-26,11:00,-11.185835193503927,7.289892673492432,-3.895942520011495,-1.0
2020-02-28,11:00,-27.661704688675655,-38.61997032165527,-66.28167501033093,-1.0
2020-03-02,11:00,-17.308984341850454,39.62998056411743,22.320996222266984,1.0
2020-03-04,11:00,7.6366586887830294,-3.420116901397705,4.216541787385324,-1.0
2020-03-06,11:00,0.974678210545413,-27.8701171875,-26.895438976954587,-1.0
2020-03-09,11:00,18.614264482015763,-0.93994140625,17.674323075765763,-1.0
2020-03-11,11:00,11.845810966644114,16.920117378234863,28.76592834487898,-1.0
2020-03-13,11:00,-25.920964873395704,-85.22001838684082,-111.14098326023651,-1.0
2020-03-16,11:00,3.9004435821850336,-31.17011833190918,-27.269674749724146,-1.0
2020-03-18,11:00,6.174247973496193,28.200098037719727,34.37434601121592,1.0
2020-03-20,11:00,-21.0557481613925,-9.419921875,-30.4756700363925,1.0
2020-03-23,11:00,26.863298720273654,2.4000988006591797,29.263397520932834,-1.0
2020-03-25,11:00,8.660672669160775,-38.73994159698486,-30.07926892782409,-1.0
2020-03-27,11:00,10.806313464206305,-37.83002948760986,-27.02371602340356,-1.0
2020-03-30,11:00,9.318323032660551,-4.95009708404541,4.368225948615141,1.0
2020-03-31,11:00,-1.5446844201642165,-16.50991153717041,-18.054595957334627,1.0
2020-04-01,11:00,3.7150380860852774,-6.300000190734863,-2.584962104649584,1.0
2020-04-03,11:00,15.325848050112915,-14.050097465515137,1.2757505845977803,1.0
2020-04-06,11:00,3.8955536490860396,11.279932022094727,15.175485671180766,1.0
2020-04-08,11:00,-3.274428729434973,-15.600000381469727,-18.8744291109047,1.0
2020-04-09,11:00,13.178080525653812,-20.300000190734863,-7.121919665081052,1.0
2020-04-13,11:00,10.122254211361541,-10.970117092132568,-0.8478628807710251,1.0
2020-04-15,11:00,12.532582803225242,-9.960107326507568,2.572475476717674,1.0
2020-04-17,11:00,4.2361264935697704,8.660058498382568,12.896184991952339,1.0
2020-04-20,11:00,-2.6354405696321423,-5.959912300109863,-8.595352869742005,1.0
2020-04-22,11:00,9.866764200034307,-3.7100582122802734,6.156705987754034,1.0
2020-04-24,11:00,3.028265789864765,-8.5,-5.471734210135239,1.0
2020-04-27,11:00,2.6308245203597806,-4.22998046875,-1.5991559483902194,1.0
2020-04-29,11:00,5.875657698546999,3.0899901390075684,8.965647837554567,1.0
2020-04-30,11:00,7.201110674948626,-10.400000095367432,-3.198889420418805,1.0
2020-05-01,11:00,-0.0171531195998611,-8.900000095367432,-8.917153214967293,1.0
2020-05-04,11:00,3.9257485555790996,-4.460009813308716,-0.534261257729618,1.0
2020-05-06,11:00,0.6714105217940443,9.630078077316284,10.301488599110328,1.0
2020-05-08,11:00,4.017176650110392,1.5499510765075684,5.5671277266179615,-1.0
2020-05-11,11:00,-0.5736755113445451,0.31005859375,-0.2636169175945451,1.0
2020-05-13,11:00,-4.864607100550259,5.299999713897705,0.43539261334744594,1.0
2020-05-15,11:00,5.198821511281146,4.000048637390137,9.198870148671283,-1.0
2020-05-18,11:00,5.591282247036179,0.49008798599243164,6.081370233028611,1.0
2020-05-20,11:00,8.287494504683371,-5.799999952316284,2.487494552367087,1.0
2020-05-22,11:00,6.0978037414019735,-0.449951171875,5.647852569526975,-1.0
2020-05-26,11:00,-3.647657224074593,8.629980564117432,4.982323340042839,1.0
2020-05-27,11:00,3.8367824282770115,-6.679882764816284,-2.8431003365392726,-1.0
2020-05-29,11:00,0.9331519027381177,-3.989941358566284,-3.0567894558281665,1.0
2020-06-01,11:00,9.84879579556762,4.599999904632568,14.448795700200188,-1.0
2020-06-03,11:00,2.9660809864829503,1.9201172590255737,4.886198245508524,-1.0
2020-06-05,11:00,3.856368826461077,0.27993154525756836,4.1363003717186455,-1.0
2020-06-08,11:00,0.9046140460517904,-8.189892649650574,-7.285278603598783,-1.0
2020-06-10,11:00,1.298185756383706,-9.860107421875,-8.561921665491294,-1.0
2020-06-12,11:00,-10.99380843389902,-10.91005802154541,-21.90386645544443,-1.0
2020-06-15,11:00,1.7147585431770516,-3.8099117279052734,-2.0951531847282183,1.0
2020-06-17,11:00,8.023195325525831,6.889990329742432,14.913185655268265,-1.0
2020-06-19,11:00,-11.171795324478172,1.8399903774261475,-9.331804947052024,-1.0
2020-06-22,11:00,1.4993130582524463,-0.06010746955871582,1.4392055886937314,-1.0
2020-06-24,11:00,-2.738001980974663,4.930078029632568,2.1920760486579063,-1.0
2020-06-26,11:00,12.11706316428423,9.950048923492432,22.067112087776664,-1.0
2020-06-29,11:00,3.0639126590116974,-7.289990186691284,-4.226077527679585,-1.0
2020-06-30,11:00,0.7722890480850371,-2.5900392532348633,-1.817750205149828,-1.0
2020-07-01,11:00,5.593507845389748,1.260107398033142,6.85361524342289,-1.0
2020-07-02,11:00,5.0219055216864295,-4.539990425109863,0.48191509657656617,-1.0
