rule,book,sample,contracts_per_1M_median,multiple_of_stress,whole_contracts_per_1M_median,stress_jump_cost_median,stress_jump_cost_max,days,ann_return,ann_vol,Sharpe,max_drawdown,worst_day,worst_20,worst_day_date
R_stress (live),plain book,deck period,4.942535072559107,1.0,4.0,0.1,0.10000000000000002,866,0.055155637408201806,0.0579478822585293,0.9518145488411441,-0.09748297437816965,-0.030058629122832782,-0.060167478917086153,2020-02-28
R_stress (live),plain book,HOLDOUT,3.3944123898125476,1.0,3.0,0.1,0.10000000000000002,413,0.07497529321155869,0.04962723270072193,1.5107691711060895,-0.03200982992122256,-0.014517227183565904,-0.019349221115483095,2025-04-04
R_stress (live),plain book,all,4.459984709612127,1.0,4.0,0.1,0.10000000000000002,1279,0.06155557317582211,0.05538150509711029,1.1114824898291538,-0.09748297437816965,-0.030058629122832782,-0.060167478917086153,2020-02-28
R_stress (live),live book (month-end override),deck period,4.942535072559107,1.0,4.0,0.1,0.10000000000000002,866,0.09184687299624275,0.060179606033370046,1.5262126000843703,-0.06320651382256867,-0.023703382878018583,-0.041184086123496604,2022-09-21
R_stress (live),live book (month-end override),HOLDOUT,3.3944123898125476,1.0,3.0,0.1,0.10000000000000002,413,0.10118868132001312,0.05208431298846201,1.9427861387444811,-0.026609428443029742,-0.014517227183565904,-0.023502779023695325,2025-04-04
R_stress (live),live book (month-end override),all,4.459984709612127,1.0,4.0,0.1,0.10000000000000002,1279,0.09486342251752279,0.05767014984670657,1.6449310912088824,-0.06320651382256867,-0.023703382878018583,-0.041184086123496604,2022-09-21
"R_worst (history, at the brake's size)",plain book,deck period,7.207851008875101,1.464039555208223,7.0,0.14648254852242176,0.1938529847433702,866,0.08541163226858121,0.07866255693631691,1.0857978127729586,-0.1259733405324942,-0.034213592158176015,-0.07241786031102913,2020-02-28
"R_worst (history, at the brake's size)",plain book,HOLDOUT,4.845503676811535,1.431542883626765,4.0,0.14346930342547504,0.1679280429507694,413,0.09707306502413314,0.0644580932408269,1.5059872258624054,-0.04437525317646081,-0.017462264277748298,-0.02689748743002654,2025-04-04
"R_worst (history, at the brake's size)",plain book,all,6.679700139787977,1.4499767587156875,6.0,0.1451176311241874,0.1938529847433702,1279,0.08917720828737945,0.07434846116109968,1.199449281057056,-0.1259733405324942,-0.034213592158176015,-0.07241786031102913,2020-02-28
"R_worst (history, at the brake's size)",live book (month-end override),deck period,7.207851008875101,1.464039555208223,7.0,0.14648254852242176,0.1938529847433702,866,0.13290154400965887,0.08160302609172859,1.6286349952300359,-0.07961550611619475,-0.030301162872088963,-0.05146203383373457,2021-11-22
"R_worst (history, at the brake's size)",live book (month-end override),HOLDOUT,4.845503676811535,1.431542883626765,4.0,0.14346930342547504,0.1679280429507694,413,0.13402388397596193,0.06803272540093763,1.9699914002580121,-0.037880848763411204,-0.017462264277748298,-0.0326686479353671,2025-04-04
"R_worst (history, at the brake's size)",live book (month-end override),all,6.679700139787977,1.4499767587156875,6.0,0.1451176311241874,0.1938529847433702,1279,0.133263957149677,0.07745464170130878,1.720541909722955,-0.07961550611619475,-0.030301162872088963,-0.05146203383373457,2021-11-22
"R_q (history, 1-in-1000)",plain book,deck period,12.990867483655208,2.6350233993150605,12.0,0.263805951242375,0.3385183437611638,866,0.15577976874010824,0.14091376074481138,1.1054972056435182,-0.2195069252636238,-0.06299567956449506,-0.13092445021772733,2020-02-28
"R_q (history, 1-in-1000)",plain book,HOLDOUT,9.014760884439719,2.6632972859920376,9.0,0.26691579470409926,0.31241977180569364,413,0.18059845330425184,0.11992030888630675,1.5059872258624054,-0.08255742297475664,-0.03248746620875118,-0.05004111723911983,2025-04-04
"R_q (history, 1-in-1000)",plain book,all,12.052977049100928,2.6444702708378025,12.0,0.2649577155245225,0.3385183437611638,1279,0.1637939334977246,0.13444850948407575,1.2182651494334682,-0.2195069252636238,-0.06299567956449506,-0.13092445021772733,2020-02-28
"R_q (history, 1-in-1000)",live book (month-end override),deck period,12.990867483655208,2.6350233993150605,12.0,0.263805951242375,0.3385183437611638,866,0.242295148302504,0.14612062135876533,1.6581858607595463,-0.13921048694199,-0.05270206823674521,-0.09029440300368388,2021-11-22
"R_q (history, 1-in-1000)",live book (month-end override),HOLDOUT,9.014760884439719,2.6632972859920376,9.0,0.26691579470409926,0.31241977180569364,413,0.24934317409128676,0.12657069165816157,1.9699914002580121,-0.0704749839187995,-0.03248746620875118,-0.06077800558993049,2025-04-04
"R_q (history, 1-in-1000)",live book (month-end override),all,12.052977049100928,2.6444702708378025,12.0,0.2649577155245225,0.3385183437611638,1279,0.24457101589497257,0.1400569186932236,1.746225878570651,-0.13921048694199,-0.05270206823674521,-0.09029440300368388,2021-11-22
