book,days_traded,Sharpe_mid,Sharpe_crossed,MaxDD_crossed,vs_ridge,vs_ridge_lo,vs_ridge_hi,vs_month_end_layer,vs_month_end_lo,vs_month_end_hi
ridge sign(s),866,1.3383216004229939,0.8695877009703311,-22.18054106390029,0.0,0.0,0.0,-0.6656569870285663,-1.211427003968581,-0.14918567043819395
month-ends forced long,866,1.9969329535870863,1.5352446879988975,-21.33215081629666,0.6656569870285663,0.14918567043819386,1.2114270039685808,0.0,0.0,0.0
R1(S8),604,1.5887890857306362,1.1991145079812073,-13.054729553575505,0.3295268070108762,-0.29969786233714296,1.0099394988925854,-0.33613018001769013,-1.2992464773320584,0.6515006508736655
R1(S8) + month-ends forced long,610,2.341042218456221,1.9624848937598487,-13.206339305971873,1.0928971927895175,0.32632779041864635,1.9000840020862662,0.42724020576095123,-0.22424348750699746,1.1265961560541629
R4(S8),677,1.6065104924587599,1.190953758307827,-18.375490902598695,0.3213660573374958,-0.18450236417746266,0.8198266102181515,-0.34429092969107056,-1.1939835394986233,0.4600020465300582
R4(S8) + month-ends forced long,681,2.2997010251022187,1.8936822769123058,-18.527100654995067,1.0240945759419748,0.35626569746843095,1.7190173192904687,0.3584375889134084,-0.16128416777699778,0.8914318032239831
R1(S4),645,1.464567479203387,1.0702848789519492,-14.001474142312858,0.20069717798161812,-0.3183654330908259,0.7204907249538405,-0.4649598090469482,-1.2929323783204352,0.31522861342271846
R1(S4) + month-ends forced long,651,2.163549669764985,1.7780042397769398,-14.15308389470923,0.9084165388066087,0.2074106318519625,1.6346263533675518,0.24275955177804232,-0.2821424627166389,0.7742989014442739
R4(S4),713,1.556347339062466,1.1349939640232916,-19.494535574812538,0.26540626305296044,-0.1441928497558325,0.6971002697723937,-0.4002507239756059,-1.18730479962496,0.34946239181436567
R4(S4) + month-ends forced long,716,2.301994749902959,1.8880759525303943,-19.646145327208906,1.018488251560063,0.38894895018433145,1.6784583456265378,0.3528312645314968,-0.06816194944391946,0.8009720096128591
