set,rule,days_traded,buy_share,differs_from_ridge_days,mean_mid,mean_crossed,Sharpe_mid,Sharpe_crossed,MaxDD_mid,MaxDD_crossed,top20_long,top20_short,top20_flat,dSharpe_mid,dS_mid_lo,dS_mid_hi,dSharpe_crossed,dS_crossed_lo,dS_crossed_hi,placebo_p_mid,placebo_p_crossed,placebo_q50_crossed,passes
-,ridge sign(s),866,0.3995381062355658,0,0.0947363520468904,0.061366566958345296,1.3383216004229939,0.8695877009703311,-17.702163982122265,-22.18054106390029,11,9,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False
S8,R1,604,0.2090069284064665,262,0.09009410158305584,0.06794515303822597,1.5887890857306362,1.1991145079812073,-10.476691929625694,-13.054729553575505,5,4,11,0.2504674853076423,-0.3691902206489857,0.9262791076403916,0.3295268070108762,-0.29969786233714296,1.0099394988925854,0.06946526736631684,0.06946526736631684,0.7689513699075072,False
S8,R2,836,0.35912240184757505,262,0.09271761795026917,0.06581978194044995,1.5274944044281895,1.0851955940680165,-14.062967327889513,-17.95391461392224,9,7,4,0.18917280400519565,-0.2510346310110499,0.6468758562288638,0.21560789309768535,-0.22647762930927698,0.6658319749088216,0.10644677661169415,0.111944027986007,0.7980351202574629,False
S8,R3,836,0.35912240184757505,77,0.09573170201657126,0.06397172531274077,1.4048650199140968,0.9401932835085169,-17.402166174798822,-22.00707181123627,9,7,4,0.06654341949110298,-0.4753965229560101,0.5787087527363529,0.07060558253818583,-0.4744036001649451,0.5826921675078018,0.28735632183908044,0.2913543228385807,0.7938674220781281,False
S8,R4,677,0.2528868360277136,189,0.09831897338064377,0.07287555809972773,1.6065104924587599,1.190953758307827,-14.539123768261364,-18.375490902598695,8,6,6,0.268188892035766,-0.23320085850228287,0.7621138283392056,0.3213660573374958,-0.18450236417746266,0.8198266102181515,0.06496751624187906,0.06846576711644178,0.8242917471075462,False
S6,R1,621,0.21362586605080833,245,0.08411621719538921,0.061054198495098244,1.4560752793294567,1.0551269285158225,-12.198122469198267,-13.72218611521025,5,5,10,0.11775367890646282,-0.4738582437055737,0.738183072126587,0.18553922754549135,-0.39986236608258424,0.8255387185358496,0.1714142928535732,0.17691154422788605,0.7799648654443226,False
S6,R2,814,0.3302540415704388,245,0.0919616736583761,0.06479971662655078,1.5013564450275425,1.0578578262777782,-13.81027434147699,-17.67223082669468,10,9,1,0.16303484460454865,-0.353118379781289,0.7032186052565235,0.18827012530744713,-0.31800781455546484,0.7258276821059878,0.14942528735632185,0.1519240379810095,0.7940585315132385,False
S6,R3,814,0.3302540415704388,109,0.09425203997606238,0.06294215189166938,1.3667893455370141,0.9132616258825627,-17.236755685563654,-21.694212893098975,10,9,1,0.028467745114020282,-0.6518358595183579,0.7323901762309624,0.04367392491223154,-0.6374345681506687,0.7454696982069444,0.29735132433783107,0.296351824087956,0.7584252438210086,False
S6,R4,701,0.26558891454965355,165,0.10375701783827976,0.07690305703666199,1.6237466974051107,1.2064299124607436,-15.87190250046269,-19.68734312425412,9,6,5,0.2854250969821168,-0.13712274125150972,0.7119827634466591,0.3368422114904125,-0.08750034560949345,0.7620052782741304,0.05147426286856572,0.05297351324337831,0.8368396817533024,False
S4,R1,645,0.23094688221709006,221,0.08966557456056326,0.06543112386025637,1.464567479203387,1.0702848789519492,-12.198122469198218,-14.001474142312858,7,6,7,0.12624587878039306,-0.39657346343272326,0.6473127265944573,0.20069717798161812,-0.3183654330908259,0.7204907249538405,0.18340829585207397,0.1744127936031984,0.8054899607998999,False
S4,R2,802,0.2979214780600462,221,0.09312770251781875,0.06521779302151286,1.4768593199438338,1.0346399581508765,-12.428615371320962,-16.32397851806359,9,9,2,0.13853771952083993,-0.43356103877923596,0.7319655705802472,0.1650522571805454,-0.41469450013332315,0.756473623812473,0.1489255372313843,0.15542228885557222,0.7146360837104523,False
S4,R3,802,0.2979214780600462,153,0.09658983047507426,0.06500446218276935,1.4141389920842964,0.9501247603544632,-14.20411036661598,-18.64648289381433,9,9,2,0.07581739166130252,-0.6148663499286716,0.7849621627142314,0.08053705938413214,-0.6104755614795067,0.7941538087032752,0.10144927536231885,0.11444277861069466,0.5090222711781573,False
S4,R4,713,0.2748267898383372,153,0.10052689623804698,0.07314844904797681,1.556347339062466,1.1349939640232916,-15.406654257681994,-19.494535574812538,9,7,4,0.21802573863947217,-0.19387949990349587,0.6501293647276289,0.26540626305296044,-0.1441928497558325,0.6971002697723937,0.0399800099950025,0.041979010494752625,0.7497605853801281,False
S8,R3s,866,0.35912240184757505,69,0.08374103649015495,0.05020464858921337,1.1820737318719685,0.7074952236057391,-17.88959678657278,-22.565098918226024,9,11,0,-0.15624786855102535,-0.7474090683610731,0.4189179823318468,-0.16209247736459198,-0.7517006443714854,0.41172778105692637,0.39080459770114945,0.3968015992003998,0.6278046898189928,False
