set,rule,2020,2021,2022,2023,2024
-,ridge sign(s),0.5582200863669812,0.4394724336618723,-0.3321432976319781,1.8559736864309555,1.8022210294896517
S8,R1,0.08011440742633057,1.078437675441419,1.0840262389432733,1.2910494558228265,3.1693346530270454
S8,R2,0.06752536334274203,1.058968350273675,0.48175493190132457,1.5614155356060457,2.632768287049925
S8,R3,0.11341245556577867,1.227615536165801,-0.029247942930695034,1.3919181353214458,2.4323769618165487
S8,R4,-0.11095492369454808,0.9119385133247814,0.787278586999622,2.0309859972153617,2.2022836779312907
S6,R1,0.27219653665946486,0.684940219713378,0.8351025959705092,1.3053118783800064,2.909004501214862
S6,R2,0.19990810591579386,1.1273120426443854,0.45622160480342433,1.5006810757195497,2.320143210296921
S6,R3,-0.28642507683501683,1.6400564639455126,0.1996434053501553,1.3068900462094455,1.7198824659196166
S6,R4,0.6314127634524275,1.1043738003857975,0.40414417453663043,1.8835016764783492,2.162864785391508
S4,R1,0.7905161268461467,0.697795664932674,0.7217189227849521,1.4963526786488381,1.9665765170372207
S4,R2,0.4842851129052122,0.9926580910684164,0.7296036370399996,1.5328781589512532,1.4006639516477486
S4,R3,0.18733751549372138,1.2462767908957912,0.7151425644779817,1.4551704314695464,0.8255119792924414
S4,R4,0.6897260337830409,1.1850252936618082,0.4161148214941366,1.8594318698382308,1.2756824517602545
S8,R3s,-0.09021063057783671,0.8541031282915225,-0.007248022330021554,1.342042904022948,1.349289594253039
