set,rule,days_abstained,overlap_share,median_rel_signal_abstained,median_rel_signal_traded,agreement_Sharpe_mid,agreement_Sharpe_crossed,band_Sharpe_mid,band_Sharpe_crossed,band_placebo_p_crossed,agreement_minus_band_crossed,diff_lo,diff_hi,band_top20_flat
S8,R1,262,0.6030534351145038,0.09462735615902518,0.27152050372576564,1.5887890857306362,1.1991145079812073,1.2583209889714797,0.8644901487897793,0.383808095952024,0.3346243591914281,-0.22978309820927129,0.9057138348382188,6
S8,R4,189,0.5291005291005291,0.08014273730867205,0.2543328116078303,1.6065104924587599,1.190953758307827,1.3531289032584717,0.9367385437135873,0.3173413293353323,0.25421521459423957,-0.31140889829025686,0.8134699756501591,6
S6,R1,245,0.563265306122449,0.10017762979811963,0.2657934934196503,1.4560752793294567,1.0551269285158225,1.3439560235771049,0.9464211455433882,0.2868565717141429,0.10870578297243427,-0.5059236769228795,0.7113589924957073,6
S6,R4,165,0.47878787878787876,0.0854748026258988,0.24825033099260796,1.6237466974051107,1.2064299124607436,1.4158993847591854,0.9937991192023308,0.23588205897051473,0.21263079325841283,-0.27037578213341773,0.7007149350738946,5
S4,R1,221,0.5113122171945701,0.1013146510942104,0.2581989122241876,1.464567479203387,1.0702848789519492,1.3041827557182502,0.9002399832471918,0.35082458770614694,0.17004489570475745,-0.3272775306938547,0.7105683732741265,6
S4,R4,153,0.42483660130718953,0.08890387526730002,0.24599527558779757,1.556347339062466,1.1349939640232916,1.416893194345697,0.9889897937514894,0.2563718140929535,0.14600417027180213,-0.4086368126946948,0.718986799980539,4
