,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy,Sharpe_crossed,n_crossed
baseline (HAR + calendar OLS),866.0,0.12095406208047044,1.3458702485844631,-5.958709242743395,-0.669129022151511,0.242669370644306,0.9609676112414258,11.39742812701898,0.271315908437681,7.232286023955135,2.6446987582116614,1.4266503119356648,422.0,48.729792147806,-2.865407512205762,866.0
block-diagonal ridge,866.0,0.16746822741481854,1.3385948438961732,-6.260433393431667,-0.6575529994497928,0.20130873254407228,0.9944757738710821,11.39742812701898,0.5506638938392417,7.531238766343737,3.6816476453027835,1.9860196724862904,412.0,47.57505773672055,-2.3340070197246154,866.0
"block-diagonal ridge, without the FOMC columns",866.0,0.16278259534555883,1.3342869160994926,-6.260433393431667,-0.6345560352496018,0.18693565374201132,0.9675396335663516,11.39742812701898,0.5850055194461463,7.56841591339685,3.5901921008463034,1.9366851005914896,437.0,50.46189376443418,-2.388771731511757,866.0
LightGBM,866.0,0.15788300618792456,1.341198104956983,-5.958709242743395,-0.6811217623735316,0.2058438816373862,0.9770464317521514,11.39742812701898,0.5845472187079079,7.617688002560632,3.464187592860693,1.8687135140110478,447.0,51.61662817551963,-2.4357936604619517,866.0
XGBoost,866.0,0.14415925793208287,1.352458206032836,-5.958709242743395,-0.6731234576005317,0.21323799329318516,0.9652356219959255,11.39742812701898,0.4723059195427594,7.446839104757652,3.136733562114286,1.6920724528473006,451.0,52.07852193995381,-2.56438599443296,866.0
lasso (causally tuned),866.0,0.15781477421032375,1.33669062435325,-7.033867849390744,-0.6313413350319012,0.20235542261468442,0.9826006120398901,11.39742812701898,0.2994424991686012,7.983366324526775,3.474367088269897,1.8742047179736152,461.0,53.23325635103926,-2.404812732125261,866.0
lasso (fixed 1e-4),866.0,0.17941171991864355,1.334842049553741,-6.260433393431667,-0.6630946960230407,0.19037324647587522,0.9407896625145417,10.651973598903968,0.5976185251999983,6.445214544416272,3.9553040724026425,2.1336402761081597,414.0,47.80600461893764,-2.196141491603688,866.0
elastic net (causally tuned),866.0,0.12346282416214766,1.359566353640824,-7.033867849390744,-0.6342448014778258,0.17302412116455762,0.9450662051447346,11.39742812701898,0.2574678950228996,7.794069550121684,2.6723586603431766,1.4415711069341546,446.0,51.50115473441109,-2.7801418421285917,866.0
