decile,n,mse_knn_ms,mse_ridge_har,bias_knn,bias_ridge
0,231,0.03332037972414596,0.04516914356837411,0.14963087821914056,0.18758367328794406
1,230,0.05265181106041919,0.052312241054813115,0.15591919560914108,0.17829786141796058
2,231,0.05150118418266884,0.05056814578467457,0.15142151174090937,0.1636829571114906
3,230,0.03947923290578742,0.03525682603651332,0.10256092352548507,0.11015150053177272
4,230,0.03256979451910107,0.026497009500720516,0.06400543772125032,0.07079399040321818
5,231,0.02891010854095783,0.025643354411701437,0.022216692921123275,0.03316628362679112
6,230,0.04575924252077537,0.03712593730104825,-0.03289723754683062,-0.030540210116749365
7,231,0.06550814836782282,0.060879163809705504,-0.10370513937174979,-0.105793737939177
8,230,0.10289266406612695,0.0992283926815617,-0.2292420988595835,-0.2323394237134114
9,230,0.7376497206636331,0.48312603179863123,-0.53844073688751,-0.43267114950561786
