model,mse
ridge_har,0.09150073627411263
ridge_multiscale,0.08489179058603916
knn_multiscale_k5,0.11832864809119971
knn_multiscale_k25,0.1188953844304021
knn_multiscale_k100,0.13405448652171117
knn_har_k25,0.12856076289754295
knn_prognostic_k25,0.11972610035381652
knn_prognostic_k100,0.13255371598984236
knn_har_betaweighted_k25,0.1254077737313221
loclin_multiscale_k25,0.11235556199429758
loclin_multiscale_k100,0.12827803060343893
loclin_har_k100,0.11578894488975239
