block,dim,mse,mse_top,bias_top
base(multiscale),5,0.07961921921036494,0.34608543081455545,-0.32845526264841285
+vix_level,8,0.07875807734241615,0.34880530960200634,-0.33137486774192676
+vix_struct,14,0.07883626985532666,0.34559467659709947,-0.33033235695054225
+jump,8,0.07961810832262556,0.34743637580027054,-0.3305289170000082
+flow,9,0.07966293435155178,0.34647382561345863,-0.3290442062198067
+sent,9,0.07948150566750793,0.34561703964202306,-0.3272799037087791
+voldemand,9,0.07957042681771828,0.345980358437468,-0.3284884585174625
+breadth,8,0.07960806750118513,0.34360832898374927,-0.3239717383319634
+ALL,35,0.07846645334755838,0.34192137925546023,-0.3291803293904641
+struct(vix+jump+breadth),20,0.0788028056271855,0.3428352561681716,-0.3264345581816059
