block,dim,mse,mse_top,bias_top
base(multiscale),5,0.10098902844261105,0.5092653587039705,-0.44233490165404715
+vix_level,8,0.09870742666353965,0.4709301801743199,-0.40082382744593315
+vix_struct,14,0.09914996001912381,0.5047884467991396,-0.4418915005360776
+jump,8,0.1010562033314495,0.5084008845436244,-0.4409743128896719
+flow,9,0.1010520833395427,0.5109313600589986,-0.44480443388072277
+sent,9,0.10096684935486767,0.5053580258399514,-0.44244029564229503
+voldemand,9,0.10200525094217928,0.5261264357578579,-0.46113122408315954
+breadth,8,0.10104515575416735,0.5049887771976794,-0.4383956716103733
+ALL,35,0.10038232248241462,0.48656134464806905,-0.4279684416570435
+struct(vix+jump+breadth),20,0.09943699971582756,0.4995647787842188,-0.4369108796515263
