clock,n,V0 w*V_M,abs lagged mean ΔV,scaled (μΔ/μV)*V_t,ratio mean(ΔV/V)*V_t,PEEK ΔV (not a rule)
10:00,864,0.9081611990508824,0.37873804143642437,0.7900581399918367,0.8536512677573983,0.6720989021778809
10:30,865,0.9213462533417263,0.3881442599985824,0.7839333371496526,0.7665786330325892,0.6481380853944833
11:00,865,1.0155690214667747,0.49047178695758215,0.9845506516203134,0.8655732744103853,0.7028385823595226
11:30,865,1.0127624236363877,0.3726043194561851,0.7662065533599031,0.7044230350513047,0.6852247876646471
12:00,866,1.0070705766455017,0.5968346507256347,1.1928945600276661,0.8259121971754616,0.8336084093244772
12:30,866,0.9286840908696659,0.351335322178993,0.7503835647420963,0.7213796595760706,0.6385567592651327
13:00,866,0.9183708049100593,0.4387015627322514,0.91671106178932,0.8687984406405026,0.721349745577707
13:30,866,0.857330871057527,0.46206754419302787,0.9572138938407364,0.889689690806894,0.6950949263614405
14:00,866,0.8663305191802593,0.6427712438806018,1.0984334270794283,1.1016016475133954,0.7982462012883541
14:30,866,0.8648120170343477,0.7718166427715842,1.5025910102059203,1.2279985780516791,0.8866829539861774
15:00,866,0.7385316950380805,0.5539390967332528,1.0239643271741294,1.0248627252995564,0.8206746521517834
15:30,866,0.8222451868261096,0.42614206458250986,0.7941083826700751,0.7941083826700751,0.8222451868261096
