slice,QLIKE pooled,"corr(RV, slice)"
V0 w*V_M,-11.554464570335325,0.8608746220275608
abs lagged mean ΔV,-10.995762763910887,0.14164609759163632
scaled (μΔ/μV)*V_t,-11.607057894047237,0.6715580522059255
ratio mean(ΔV/V)*V_t,-11.610184518977702,0.6801366652546199
PEEK ΔV (not a rule),-10.315236071074136,0.7142790227154788
