date,clock,abs moved on cut bar,abs moved after cut day
2021-05-10,14:30,0,1306
2022-10-21,13:30,0,756
2022-10-20,15:00,0,758
2021-05-12,15:00,0,1304
2023-06-21,14:00,0,428
2022-04-26,12:30,0,998
2023-06-02,13:30,0,452
2023-04-11,14:30,0,526
2023-11-06,11:30,0,238
2023-05-17,15:00,0,474
