rule,Sharpe mid,target mid,Sharpe crossed,target crossed,max |gap|
always short,1.9020388792233835,1.9020388792233835,-1.9180993718242016,-1.9180993430911475,2.873305415818095e-08
"always short, flat at 15:30",3.429978549440463,3.429978549440463,-3.6206701881516894,-3.6206701018995,8.62521893907342e-08
sign(s),2.012747679651259,2.012747679651259,-2.299827792015441,-2.299827728443276,6.357216486563289e-08
"always short, sign(s) close",2.9722952533758056,2.9722952533758056,-1.0955209315284669,-1.0955208817772624,4.975120448946768e-08
