rule,E1 ratio of sums | expanding,E1 ratio of sums | rolling 126,E1 ratio of sums | rolling 252,E1 ratio of sums | ewma hl 63,E2 relative ratio of sums | rolling 126,E2 relative ratio of sums | rolling 252,E2 relative ratio of sums | ewma hl 63,43 P&L-Sharpe | rolling 252
E1 ratio of sums | expanding,1.0,0.24550430023455824,0.26974198592650506,0.3752931978107897,0.10789679437060204,0.20641125879593433,0.04925723221266615,0.053166536356528536
E1 ratio of sums | rolling 126,0.24550430023455824,1.0,0.4550430023455825,0.5926505082095387,0.43784206411258797,0.29945269741985925,0.3338545738858483,0.1782642689601251
E1 ratio of sums | rolling 252,0.26974198592650506,0.4550430023455825,1.0,0.6270523846755277,0.22986708365910868,0.3784206411258796,0.1712275215011728,0.1594996090695856
E1 ratio of sums | ewma hl 63,0.3752931978107897,0.5926505082095387,0.6270523846755277,1.0,0.35731039874902265,0.32603596559812353,0.28928850664581707,0.1704456606724003
E2 relative ratio of sums | rolling 126,0.10789679437060204,0.43784206411258797,0.22986708365910868,0.35731039874902265,1.0,0.46051602814698983,0.6606724003127443,0.15480844409695074
E2 relative ratio of sums | rolling 252,0.20641125879593433,0.29945269741985925,0.3784206411258796,0.32603596559812353,0.46051602814698983,1.0,0.4730258014073495,0.10086004691164972
E2 relative ratio of sums | ewma hl 63,0.04925723221266615,0.3338545738858483,0.1712275215011728,0.28928850664581707,0.6606724003127443,0.4730258014073495,1.0,0.12118842845973417
43 P&L-Sharpe | rolling 252,0.053166536356528536,0.1782642689601251,0.1594996090695856,0.1704456606724003,0.15480844409695074,0.10086004691164972,0.12118842845973417,1.0
