book,unit,reference,sample,n,mean_diff,ci_lo,ci_hi,ci_halfwidth,boot_mean,boot_sd,excludes_zero_positive,B,block,seed
E1 ratio of sums | expanding | hold,premium,fixed 11:00,deck in-sample,866,-0.04324193365567136,-0.06456562446298036,-0.023117864752130696,0.020723879855424836,-0.043403162905862276,0.010371121490518286,False,2000,21,0
E1 ratio of sums | expanding | hold,premium,fixed 11:00,unseen,413,-0.021058869477466744,-0.05254823318961057,0.009845417706329363,0.031196825447969968,-0.02101047935006745,0.016103618927122424,False,2000,21,0
E1 ratio of sums | expanding | hold,premium,fixed 11:00,all,1279,-0.036078833182177604,-0.053418434635751376,-0.019106814280545673,0.01715581017760285,-0.03616176343132966,0.008836358978795826,False,2000,21,0
E1 ratio of sums | expanding | hold,premium,fixed 13:30,deck in-sample,866,-0.024865532372830138,-0.05961730259521542,0.008934271290806185,0.034275786943010804,-0.025439262437953067,0.017366466199798543,False,2000,21,0
E1 ratio of sums | expanding | hold,premium,fixed 13:30,unseen,413,-0.059425163627766536,-0.10073298410943768,-0.02023502687088013,0.04024897861927877,-0.05904350117021795,0.020563261947433246,False,2000,21,0
E1 ratio of sums | expanding | hold,premium,fixed 13:30,all,1279,-0.03602513183200819,-0.0623613226672967,-0.007867512553705842,0.02724690505679543,-0.035580992417510275,0.013320174477985922,False,2000,21,0
E1 ratio of sums | expanding | hold,premium,fixed 15:00,deck in-sample,866,-0.024223823740341204,-0.07403155879400171,0.026828102887814155,0.050429830840907935,-0.024897489241367407,0.026006518976265307,False,2000,21,0
E1 ratio of sums | expanding | hold,premium,fixed 15:00,unseen,413,-0.0266152295425551,-0.11167074400803255,0.058403780137670065,0.08503726207285131,-0.02723106437540218,0.04371846491157336,False,2000,21,0
E1 ratio of sums | expanding | hold,premium,fixed 15:00,all,1279,-0.02499602905411317,-0.06721820591878669,0.019528002733224924,0.04337310432600581,-0.02452839148600476,0.021774418560901416,False,2000,21,0
E1 ratio of sums | expanding | hold,premium,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.031474278707368214,-0.0558759403153588,-0.009162866920900122,0.02335653669722934,-0.03137982437534093,0.011837688623198256,False,2000,21,0
E1 ratio of sums | expanding | hold,premium,43 P&L-Sharpe rolling 252,unseen,413,-0.042082242895624275,-0.0667052934206933,-0.018744622855382535,0.023980335282655384,-0.04194048590376184,0.012304525366110448,False,2000,21,0
E1 ratio of sums | expanding | hold,premium,43 P&L-Sharpe rolling 252,all,1279,-0.03489968074782933,-0.05143564692002041,-0.018090235413865518,0.016672705753077444,-0.034897864808578545,0.008707825992544545,False,2000,21,0
E1 ratio of sums | expanding | hold,index points per contract,fixed 11:00,deck in-sample,866,-0.6065243855074847,-1.0242511158068353,-0.21034890506300352,0.40695110537191587,-0.6097975622648909,0.2079687455148429,False,2000,21,0
E1 ratio of sums | expanding | hold,index points per contract,fixed 11:00,unseen,413,-0.3637909200747658,-1.1641704509770905,0.5083162818169462,0.8362433663970184,-0.36251167818202623,0.41549639325762655,False,2000,21,0
E1 ratio of sums | expanding | hold,index points per contract,fixed 11:00,all,1279,-0.5281436808759655,-0.9092320466583804,-0.13672745484305265,0.38625229590766386,-0.5284299671930576,0.1984644688210792,False,2000,21,0
E1 ratio of sums | expanding | hold,index points per contract,fixed 13:30,deck in-sample,866,0.1205796322982569,-0.3962407629884372,0.6721193518712483,0.5341800574298428,0.11389934422789401,0.2717036978882564,False,2000,21,0
E1 ratio of sums | expanding | hold,index points per contract,fixed 13:30,unseen,413,-1.0085980483391148,-2.059104900335204,-0.04718372777828864,1.0059605862784577,-1.0086317634123594,0.5216488907801204,False,2000,21,0
E1 ratio of sums | expanding | hold,index points per contract,fixed 13:30,all,1279,-0.24404146395134,-0.7627546790446533,0.24400366137736593,0.5033791702110096,-0.23791046641912034,0.25349820576365617,False,2000,21,0
E1 ratio of sums | expanding | hold,index points per contract,fixed 15:00,deck in-sample,866,0.34618890543776715,-0.22107610692923235,0.9092833829492889,0.5651797449392606,0.34114672970489884,0.29158699846985603,False,2000,21,0
E1 ratio of sums | expanding | hold,index points per contract,fixed 15:00,unseen,413,-0.08350068773719098,-1.3215674380847033,1.09539627285507,1.2084818554698866,-0.09399394899488843,0.611963777319819,False,2000,21,0
