,quarter,pick_E1 ratio of sums | expanding,score_E1 ratio of sums | expanding,pick_E1 ratio of sums | rolling 126,score_E1 ratio of sums | rolling 126,pick_E1 ratio of sums | rolling 252,score_E1 ratio of sums | rolling 252,pick_E1 ratio of sums | ewma hl 63,score_E1 ratio of sums | ewma hl 63,pick_E2 relative ratio of sums | rolling 126,score_E2 relative ratio of sums | rolling 126,pick_E2 relative ratio of sums | rolling 252,score_E2 relative ratio of sums | rolling 252,pick_E2 relative ratio of sums | ewma hl 63,score_E2 relative ratio of sums | ewma hl 63,p26_pick_rolling 252,E1_expanding_score_10:00,E1_expanding_score_10:30,E1_expanding_score_11:00,E1_expanding_score_11:30,E1_expanding_score_12:00,E1_expanding_score_12:30,E1_expanding_score_13:00,E1_expanding_score_13:30,E1_expanding_score_14:00,E1_expanding_score_14:30,E1_expanding_score_15:00,I_10:00,R_10:00,I_10:30,R_10:30,I_11:00,R_11:00,I_11:30,R_11:30,I_12:00,R_12:00,I_12:30,R_12:30,I_13:00,R_13:00,I_13:30,R_13:30,I_14:00,R_14:00,I_14:30,R_14:30,I_15:00,R_15:00
2020-01-27,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,6.150671023601584e-05,1.92406897327575e-05,4.669724828027773e-05,1.9215129507820193e-05,4.384326876404062e-05,1.4964096476335341e-05,3.778948984880069e-05,1.4954972675073008e-05,3.2346012330309474e-05,1.3438219823534002e-05,2.3796800743478723e-05,1.0671551032661911e-05,2.2934849790458865e-05,1.0619865857933891e-05,1.628047483448284e-05,1.0238676354449012e-05,1.5925389166678383e-05,9.5040453493173e-06,1.079927010898733e-05,8.748187382381958e-06,1.1482052790515958e-05,4.391898892828884e-06
2020-01-29,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.496542799693973e-05,1.4894312209723017e-05,3.816386434280912e-05,1.4890959364427348e-05,2.525634009587035e-05,1.2001998552578517e-05,2.2304351400174403e-05,1.165002273000665e-05,1.962336157218697e-05,1.1581603194747943e-05,1.8472042057555442e-05,1.15336332252779e-05,1.8403202333858008e-05,1.1259782412722717e-05,1.5887309780950504e-05,1.0139330866825653e-05,1.4212534125579685e-05,9.985460186048515e-06,1.125353211131492e-05,9.780206674186284e-06,7.349704380207344e-06,8.299819398600666e-06
2020-01-31,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7313201055792166e-05,6.427312372576256e-05,4.877307073939617e-05,4.588762632063566e-05,4.672854597474045e-05,4.102005933031994e-05,4.843787719483906e-05,3.2212234024323896e-05,3.42712476324401e-05,2.1258068312208916e-05,3.845134061196717e-05,1.759379767435136e-05,4.1438024556904774e-05,1.2241081444442985e-05,3.4474140725123275e-05,1.1321234589167774e-05,2.687278949203822e-05,1.1265901371151283e-05,2.4628995702076157e-05,1.1203039518212957e-05,2.085002298970495e-05,1.0969943242332315e-05
2020-02-03,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.910927936461933e-05,3.6912575813488e-05,2.559134646885461e-05,2.827681947583548e-05,2.9557743877074517e-05,1.9731098119662133e-05,2.6458432299651246e-05,1.7700514495201386e-05,2.379930130316693e-05,1.5819310165802187e-05,1.5774427728298755e-05,1.4898236071639757e-05,1.1091382590608411e-05,1.4199518944286937e-05,1.574539758553432e-05,1.0470695913711505e-05,1.083616303422631e-05,8.74574608803952e-06,1.052809277021081e-05,7.513013686051709e-06,7.034456759319373e-06,6.949708672161834e-06
2020-02-05,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4421508360271663e-05,1.1290961646723229e-05,2.4256253190629164e-05,5.153936670683885e-06,1.680520009824824e-05,3.4844924606048603e-06,1.4825597058106236e-05,3.026182446155552e-06,1.0362907215552915e-05,2.6535850486135562e-06,9.539553980578207e-06,2.645450849043804e-06,7.48218649497421e-06,2.5918717024405268e-06,6.708892619562377e-06,2.5525029907081638e-06,5.666465990641424e-06,1.9787248445018096e-06,5.061976690474751e-06,1.8695472726351197e-06,3.966902773705857e-06,1.9566602183207837e-07
2020-02-07,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0336318879382652e-05,1.5763569538501472e-05,1.8332091223950885e-05,1.1946488400212707e-05,1.6988907697311947e-05,1.1872003165670145e-05,1.2726667231195865e-05,9.871123264423231e-06,1.004453616503945e-05,9.661138368598829e-06,7.715628545200433e-06,9.087068970120283e-06,7.896978916038023e-06,8.561795442394295e-06,7.493934147484633e-06,8.501413868667755e-06,1.1864873533201245e-05,2.1941754826971127e-06,1.1129599398591513e-05,1.3315199111229553e-06,7.057483983571345e-06,1.0831757161949088e-07
2020-02-10,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8947868558058443e-05,8.92336319671469e-06,1.5828474731870414e-05,6.3122747958102885e-06,1.4170967676381557e-05,6.309980224386182e-06,1.1240863994189631e-05,6.193384227645743e-06,1.0282254732906348e-05,6.161088625185482e-06,9.065863930465721e-06,5.805671485252141e-06,7.409656360837041e-06,5.706622262900584e-06,5.800711320929135e-06,5.557134181357013e-06,5.473986993268139e-06,5.557053212248687e-06,4.750191213800895e-06,5.300753251166783e-06,3.18928976233268e-06,3.712959019981006e-06
2020-02-12,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1758118176105723e-05,5.785808663811739e-06,1.2005938679919408e-05,5.250009446362959e-06,1.181346199707844e-05,4.898243378111768e-06,8.248388587136818e-06,2.240770431871542e-06,6.924573822494872e-06,2.0244613796429366e-06,5.848471551153189e-06,2.0050739307666404e-06,5.875410062668519e-06,2.004757355727403e-06,5.969859507847198e-06,1.2454985715778584e-06,4.280652183165525e-06,6.471001127657831e-07,3.476555797227394e-06,6.416139729778371e-07,2.782922740039959e-06,4.2534718325473413e-07
2020-02-14,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.770627610040412e-05,9.644752165928748e-06,1.2711783396223272e-05,9.385003390556825e-06,1.06421908475748e-05,8.642749727064937e-06,8.68883240747209e-06,8.633776573572155e-06,7.1089774748485596e-06,8.349788077027206e-06,8.475747726457297e-06,7.0620833195670605e-06,8.793404540227785e-06,6.9018128535306726e-06,7.93836034643572e-06,6.7390847044980545e-06,8.039206680816213e-06,6.700711688044131e-06,5.635415029382893e-06,5.882174958745068e-06,4.205350801976305e-06,5.873168410059374e-06
2020-02-18,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5998452234131153e-05,2.699443355832989e-05,1.9644056017210534e-05,1.8023316355878702e-05,1.3855269814898971e-05,1.686630980133645e-05,1.7518841882125456e-05,9.266867824441016e-06,1.4849631856044867e-05,8.805556927118456e-06,9.702484832474132e-06,6.172330312125308e-06,8.096772805530839e-06,5.00092977639806e-06,5.976934241383694e-06,4.554109366848027e-06,5.106169628797594e-06,4.3050644840911035e-06,3.6837557505443876e-06,3.0229441343497154e-07,2.88371242860161e-06,3.0102568636913395e-07
2020-02-19,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1500121707159455e-05,3.771818647748676e-06,9.963848848280504e-06,3.7705588499386083e-06,7.507407225817219e-06,2.921285479619604e-06,6.6719082010295615e-06,1.8301770301978614e-06,7.131157748976945e-06,1.7006819456224467e-06,5.456460480269671e-06,1.6734093006286954e-06,4.395520828402071e-06,1.6498837377458306e-06,3.8112266887030334e-06,1.6498488763739211e-06,4.554494498203201e-06,1.5203415559190603e-06,2.6627361303540987e-06,1.3570018719216174e-06,2.0854493866133113e-06,1.30938531670737e-06
2020-02-21,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5953225075388244e-05,1.2374090969232517e-05,3.891030873821893e-05,1.2188665188431303e-05,3.140048044718404e-05,1.0698932059565438e-05,2.170611112199675e-05,8.918865517694917e-06,1.905970692503472e-05,8.698660060381282e-06,2.0101072651433338e-05,8.166613514538756e-06,1.8021525494733078e-05,7.790589625414879e-06,1.8556505085292062e-05,6.209385691964658e-06,1.8281494448430157e-05,3.989143943982841e-06,1.292785715860588e-05,3.5377660755312727e-06,1.0405998845400357e-05,3.5075210681023864e-06
2020-02-24,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010517504947722148,7.198239811160751e-05,8.736873389916001e-05,6.402109355800866e-05,5.796197649910602e-05,6.242706700260877e-05,5.8284938565000194e-05,6.037631089436301e-05,5.464524482550256e-05,5.4746691289856895e-05,5.490428954440821e-05,4.726947232499518e-05,5.194432674784948e-05,4.674816567761306e-05,5.3836899827478694e-05,4.655724182305199e-05,3.688972326739364e-05,4.472625679037086e-05,2.629592497272362e-05,4.121671065876649e-05,1.9280347817507846e-05,2.985994264387599e-05
2020-02-26,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00019737175375606253,0.00020293218677586104,0.00013490266500750645,0.00019511271242945402,0.00011255773700074518,0.00018872651132596294,8.675797219240446e-05,0.00018760674875768456,0.00011307084721987187,0.00014162704007212025,0.0001140339374349801,0.00012316359302505379,9.877420619263217e-05,0.0001221786187371625,9.40568472432907e-05,0.00012157631454424611,0.00011798070140650054,2.988213724764624e-05,7.998294503809367e-05,1.7279254466617572e-05,4.982742651158357e-05,9.872566743480326e-06
2020-02-28,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0012138468222496707,0.0009547926953157388,0.0011565122348178606,0.0009391866937624014,0.0007056834271944644,0.0007919085504915404,0.0004970640519318406,0.0007722986635507681,0.0005801508644822847,0.0007700920115070803,0.00045691856539153714,0.00075307096641129,0.00036814642534790747,0.0007243138735481507,0.0003293818393767031,0.0006924762147931234,0.0002865314186191649,0.0006117032026757966,0.0002442726489731316,0.0006116842124092626,0.00024036139338132754,0.0005867013311628449
2020-03-02,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005797950678504444,0.0008122830378454803,0.00043151300330129854,0.0008120024375795599,0.0003570833453315228,0.0007556891372879717,0.00028627216871035034,0.0006552562845311381,0.00020179487245737743,0.0006101559308842794,0.00020903759954207728,0.0005944701167278548,0.0001454373372706723,0.0005769044292602895,0.00017539559463386126,0.0005159257461233597,0.00012437711326729507,0.0004986202699444183,0.0001312733502592378,0.00048726108363599256,0.00012134178669644799,0.00046315007317895244
2020-03-04,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0003702109668339947,0.00026535428158469884,0.0003159778252171115,0.00019987115489331685,0.00029481235980009074,0.0001597359999377663,0.00021151477704199712,0.0001404046746626708,0.00018540095813719242,0.00012805262814581824,0.00011899249420164239,0.00010305476725187403,0.00011911826876747835,8.506757337197423e-05,0.00011957676452531721,7.39128434685741e-05,9.853728487684268e-05,7.388970120092389e-05,7.369716054134119e-05,6.992251903504892e-05,6.757034160177077e-05,6.939858715661036e-05
