estimator,treatment,chosen_window,criterion,n_windows_tied_at_best,deck_Sharpe_expanding,deck_Sharpe_rolling 126,deck_Sharpe_rolling 252,deck_Sharpe_ewma hl 63,unseen_n,unseen_mean_pts,unseen_Sharpe_pts,unseen_t_hac_pts,unseen_mean_charged_pts,unseen_mean_units,unseen_Sharpe_units,unseen_mean_charged_units,diff_vs_1100_pts,ci_lo_vs_1100,ci_hi_vs_1100,t_hac_vs_1100,improves_vs_1100,diff_vs_1330_pts,ci_lo_vs_1330,ci_hi_vs_1330,t_hac_vs_1330,improves_vs_1330
E1 ratio of sums,hold,rolling 252,best deck in-sample Sharpe_ann per contract,1,1.9592031252799043,1.9895658484644898,2.334122558509598,1.9623315631207883,413,0.6609093118011932,1.085868243167528,1.3278184318809667,0.12328565120177469,0.05919909171523501,1.7586004788227616,0.02055704117743389,0.13245655904592604,-0.8199891520808392,1.1949618116795575,0.2605205346885659,False,-0.5123505692184228,-1.0492153047677075,-0.04284959823090442,-1.6769018759959378,False
E1 ratio of sums,flatten,rolling 252,best deck in-sample Sharpe_ann per contract,1,0.9375000427769189,0.6537147334156792,0.9679635948006292,0.7086471629743245,413,0.38548442454955845,0.8554807936385374,0.980463553280937,-0.0607878398394849,0.037276154638740934,1.5167014366388918,0.00626813760273995,0.4060034598314702,-0.33686186681601393,1.2017677664558575,0.9532917321084436,False,-0.25579537228491034,-0.7160404503128062,0.19458522270006653,-0.966852578419093,False
E2 relative ratio of sums,hold,rolling 252,best deck in-sample Sharpe_ann per contract,1,,1.2765259534697146,1.733164313565412,1.276575230544428,413,0.8382582965541061,1.4477081568650805,1.8670731332305246,0.4548940103970568,0.08206096435228048,2.0382107444705357,0.045713731399280394,0.30980554379883884,-0.7128207406212704,1.3667139869052414,0.561098319935387,False,-0.33500158446551,-0.8779026799292282,0.18930393638867443,-1.1821363254847868,False
E2 relative ratio of sums,flatten,ewma hl 63,best deck in-sample Sharpe_ann per contract,1,,0.30305668763578425,0.427748473333385,0.5449427328436592,413,0.4744319102760984,1.3562760782101204,1.598202403377541,0.19901576215157515,0.057290118084309706,2.591465911301181,0.03312887579397573,0.4949509455580102,-0.32984881075921735,1.372698840243437,1.0976066867805157,False,-0.16684788655837027,-0.5558207598477946,0.2459767270805835,-0.8263095411099151,False
