year,ex-post best hold by mean pts,ex-post best hold by Sharpe pts,ex-post best flatten by mean pts,ex-post best flatten by Sharpe pts,E1 ratio of sums | expanding,E1 ratio of sums | rolling 126,E1 ratio of sums | rolling 252,E1 ratio of sums | ewma hl 63,E2 relative ratio of sums | rolling 126,E2 relative ratio of sums | rolling 252,E2 relative ratio of sums | ewma hl 63,43 P&L-Sharpe | rolling 252
2020,11:00,11:00,10:30,11:30,10:00,10:00,10:00,10:00,10:00,10:00,14:30,11:00
2021,11:00,11:00,12:00,12:00,10:00,10:30,10:00,10:00,14:30,10:00,14:30,11:00
2022,12:30,12:30,10:30,10:30,10:00,14:00,14:00,14:00,15:00,15:00,15:00,11:00
2023,10:30,10:30,10:30,10:30,10:00,14:30,14:00,14:00,14:30,15:00,14:30,11:30
2024,10:30,10:30,10:30,13:00,10:00,13:00,13:30,13:00,13:00,14:30,14:30,10:30
2025,13:30,13:30,13:30,13:30,10:00,14:00,14:00,14:00,14:30,14:30,14:30,10:30
