book,family,lookback,treatment,variant,sample,n_sessions,n_traded,frac_traded,mean_turnover_pts,mean_units,sd_units,Sharpe_ann_units,t_hac_units,t_lag_units,MaxDD_units,worst_units,worst_date_units,mean_cost_units,mean_charged_units,Sharpe_charged_units,unit_name_units,mean_pts,sd_pts,Sharpe_ann_pts,t_hac_pts,t_lag_pts,MaxDD_pts,worst_pts,worst_date_pts,mean_cost_pts,mean_charged_pts,Sharpe_charged_pts,unit_name_pts,frac_10:00,frac_10:30,frac_11:00,frac_11:30,frac_12:00,frac_12:30,frac_13:00,frac_13:30,frac_14:00,frac_14:30,frac_15:00,frac_flat
E1 ratio of sums | expanding | hold,E1 ratio of sums,expanding,hold,-,deck in-sample,866,802.0,0.9260969976905312,10188.343845343965,0.04429486177865101,0.36226547497398487,1.941005092456685,3.9049826951937354,14.0,-4.430247730139854,-2.96550249960871,2023-12-20,0.027220242836839447,0.017074618941811563,0.7436509893764676,premium,0.9189247751245233,7.445618263419517,1.9592031252799043,3.926974535414141,14.0,-93.197353973166,-37.889102348196616,2020-07-13,0.5094171922671984,0.409507582857325,0.8693468962850018,index points per contract,0.9260969976905312,0.0011547344110854503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07274826789838337
E1 ratio of sums | expanding | hold,E1 ratio of sums,expanding,hold,-,unseen,413,413.0,1.0,15982.271031255346,0.0282955481834519,0.4180432064479115,1.0744772198036494,1.319105371046954,11.0,-4.969419488097026,-2.6724927686237563,2024-05-31,0.03518638352347395,-0.006890835340022059,-0.2610826367155321,premium,0.16466183268050114,12.246597712868237,0.2134409588251434,0.24969372988388897,11.0,-238.5444401207979,-115.7248001039296,2025-04-09,0.7991135515627673,-0.634451718882266,-0.8186992456662383,index points per contract,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E1 ratio of sums | expanding | hold,E1 ratio of sums,expanding,hold,-,all,1279,1215.0,0.9499609069585614,12059.252311162105,0.039128547068082414,0.38107841494820766,1.6299701160376914,3.8979195152070383,16.0,-4.969419488097017,-2.96550249960871,2023-12-20,0.029792577554259347,0.009335969513823065,0.3870250444051208,premium,0.6753668429670714,9.27343738868223,1.1561102762674265,2.63066610072883,16.0,-238.54444012079807,-115.7248001039296,2025-04-09,0.6029626155581054,0.07240422740896596,0.1233166486574084,index points per contract,0.9499609069585614,0.0007818608287724785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04925723221266615
E1 ratio of sums | expanding | flatten,E1 ratio of sums,expanding,flatten,-,deck in-sample,866,802.0,0.9260969976905312,9212.436423018971,0.022190658003962933,0.3244987012517734,1.0855691369035954,2.0321214615080065,14.0,-5.3249329295248575,-2.9986723923700795,2023-12-20,0.024618127895488888,-0.0024274698915259605,-0.1178784829360349,premium,0.3932459075691276,6.658757299509017,0.9375000427769189,1.747445999941922,14.0,-152.86549401017498,-37.001349618356436,2020-07-13,0.46062182115094863,-0.06737591358182103,-0.15968534892315542,index points per contract,0.9260969976905312,0.0011547344110854503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07274826789838337
E1 ratio of sums | expanding | flatten,E1 ratio of sums,expanding,flatten,-,unseen,413,413.0,1.0,14866.339901937385,0.019219288543488793,0.36261182493496263,0.841386645966955,1.0324356011732736,11.0,-5.537061347591681,-2.31402133611871,2025-05-21,0.03275180746627965,-0.01353251892279086,-0.5905795534831135,premium,-0.18435699261626184,11.224944757669407,-0.26072079575365614,-0.3006164698376836,11.0,-344.5735728958905,-118.49501494840649,2025-04-09,0.7433169950968691,-0.9276739877131313,-1.3046925857735114,index points per contract,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E1 ratio of sums | expanding | flatten,E1 ratio of sums,expanding,flatten,-,all,1279,1215.0,0.9499609069585614,11038.130040527418,0.021231177482324295,0.3371370283199748,0.999695867390602,2.2799519906198005,16.0,-5.537061347591688,-2.9986723923700795,2023-12-20,0.027244562346416635,-0.00601338486409234,-0.2814792118568279,premium,0.20673300860386898,8.408502210836023,0.3902936205564472,0.8480815874946667,16.0,-344.57357289589015,-118.49501494840649,2025-04-09,0.5519065020263709,-0.34517349342250214,-0.6475711224422572,index points per contract,0.9499609069585614,0.0007818608287724785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04925723221266615
E1 ratio of sums | rolling 126 | hold,E1 ratio of sums,rolling 126,hold,-,deck in-sample,866,802.0,0.9260969976905312,6534.977342558018,0.05546195516316382,0.6297046302820264,1.3981654273822917,2.578602654054762,14.0,-22.316011129594997,-6.467732204811797,2023-12-20,0.027921369027671256,0.02754058613549256,0.6874803161135803,premium,0.8934603038375892,7.128812867652097,1.9895658484644898,3.501028649617743,14.0,-136.72366240146243,-45.848682342748255,2023-03-22,0.3267488671279009,0.5667114367096883,1.254331484765928,index points per contract,0.1789838337182448,0.06812933025404157,0.08775981524249422,0.012702078521939953,0.010392609699769052,0.015011547344110854,0.0011547344110854503,0.07967667436489607,0.1789838337182448,0.10161662817551963,0.1928406466512702,0.07274826789838337
E1 ratio of sums | rolling 126 | hold,E1 ratio of sums,rolling 126,hold,-,unseen,413,413.0,1.0,10368.830431601917,0.07501813201528182,0.5300338029606052,2.2467924123828054,2.769581787357251,11.0,-7.085585262444983,-2.7797993599187385,2024-09-30,0.03801712394057214,0.03700100807470969,1.0995308613556793,premium,0.7901777903740699,9.484660346918757,1.3225232206879096,1.5515601232768987,11.0,-145.2562154757381,-53.18260507613766,2024-05-31,0.5184415215800958,0.2717362687939741,0.45234331663272875,index points per contract,0.23002421307506055,0.029055690072639227,0.004842615012106538,0.0,0.0,0.007263922518159807,0.2784503631961259,0.031476997578692496,0.3075060532687651,0.029055690072639227,0.08232445520581114,0.0
E1 ratio of sums | rolling 126 | hold,E1 ratio of sums,rolling 126,hold,-,all,1279,1215.0,0.9499609069585614,7772.961178191427,0.06177681133198692,0.5991968810563493,1.6366515054635964,3.605991148114753,16.0,-22.324212160405885,-6.467732204811797,2023-12-20,0.031181374327927756,0.030595437004059155,0.8031009403225581,premium,0.8601095000374067,7.962415512092087,1.7147830333098246,3.7124573009610753,16.0,-145.25621547573792,-53.18260507613766,2024-05-31,0.3886480589095714,0.47146144112783533,0.9344113471781426,index points per contract,0.19546520719311963,0.05551211884284597,0.06098514464425332,0.008600469116497263,0.007036747458952306,0.012509773260359656,0.0906958561376075,0.06411258795934324,0.22048475371383894,0.07818608287724785,0.15715402658326819,0.04925723221266615
E1 ratio of sums | rolling 126 | flatten,E1 ratio of sums,rolling 126,flatten,-,deck in-sample,866,802.0,0.9260969976905312,4926.646139133962,0.020023152997583647,0.43189352653727475,0.7359631025694249,1.428666570545388,14.0,-11.323974716001338,-6.536612662541972,2023-12-20,0.01939871061153185,0.0006244423860517982,0.02268701113577365,premium,0.21519622197074129,5.225726060420895,0.6537147334156792,1.186254398526922,14.0,-156.3183835909295,-38.402599782046565,2023-12-20,0.24633230695669805,-0.031136084985956818,-0.0936632473221868,index points per contract,0.1789838337182448,0.06812933025404157,0.08775981524249422,0.012702078521939953,0.010392609699769052,0.015011547344110854,0.0011547344110854503,0.07967667436489607,0.1789838337182448,0.10161662817551963,0.1928406466512702,0.07274826789838337
E1 ratio of sums | rolling 126 | flatten,E1 ratio of sums,rolling 126,flatten,-,unseen,413,413.0,1.0,8264.731975498109,0.04833800453833385,0.35577137742350884,2.1568402687319517,2.749006958309208,11.0,-4.272054220737031,-1.6730935379749157,2024-12-18,0.028903334319108246,0.019434670219225604,0.8532480351098588,premium,0.5358194745900833,6.822112634746422,1.2468088581566024,1.3776851192996238,11.0,-144.3144411869224,-39.33112726100859,2025-04-07,0.4132365987749054,0.12258287581517785,0.28245866952027854,index points per contract,0.23002421307506055,0.029055690072639227,0.004842615012106538,0.0,0.0,0.007263922518159807,0.2784503631961259,0.031476997578692496,0.3075060532687651,0.029055690072639227,0.08232445520581114,0.0
E1 ratio of sums | rolling 126 | flatten,E1 ratio of sums,rolling 126,flatten,-,all,1279,1215.0,0.9499609069585614,6004.542503808232,0.029166259867270776,0.4089401731065002,1.1321950058829615,2.644546888475926,16.0,-11.323974716001338,-6.536612662541972,2023-12-20,0.022467834607801634,0.006698425259469141,0.2568124085151642,premium,0.3187282026836328,5.788752095720049,0.874049065684084,1.8702329956834913,16.0,-156.3183835909295,-39.33112726100859,2025-04-07,0.3002271251904116,0.01850107749322115,0.0502543120339939,index points per contract,0.19546520719311963,0.05551211884284597,0.06098514464425332,0.008600469116497263,0.007036747458952306,0.012509773260359656,0.0906958561376075,0.06411258795934324,0.22048475371383894,0.07818608287724785,0.15715402658326819,0.04925723221266615
E1 ratio of sums | rolling 252 | hold,E1 ratio of sums,rolling 252,hold,-,deck in-sample,866,802.0,0.9260969976905312,6937.0604895732295,0.07180619076011131,0.5182830021285926,2.1993542821107046,4.2928873717557545,14.0,-6.903200149820762,-4.355079623961628,2023-11-30,0.028394635494137684,0.04341155526597362,1.3148703493338025,premium,0.9910079522033158,6.739904670194061,2.334122558509598,4.272651593813129,14.0,-92.39552660566625,-45.848682342748255,2023-03-22,0.34685302447866156,0.6441549277246542,1.505974239835183,index points per contract,0.25519630484988454,0.05889145496535797,0.042725173210161664,0.0,0.0,0.0,0.0011547344110854503,0.10508083140877598,0.2852193995381062,0.07852193995381063,0.10046189376443418,0.07274826789838337
E1 ratio of sums | rolling 252 | hold,E1 ratio of sums,rolling 252,hold,-,unseen,413,413.0,1.0,10752.473211988372,0.05919909171523501,0.5343774543639301,1.7586004788227616,2.3222105943398668,11.0,-5.6586268512311015,-2.429698252764967,2024-09-30,0.03864205053780112,0.02055704117743389,0.6047369839875575,premium,0.6609093118011932,9.661954970293916,1.085868243167528,1.3278184318809667,11.0,-165.18527466147776,-55.458205643497514,2024-05-01,0.5376236605994186,0.12328565120177469,0.2013968151054175,index points per contract,0.14527845036319612,0.17191283292978207,0.0,0.0,0.0,0.0,0.12832929782082325,0.10411622276029056,0.43341404358353514,0.01694915254237288,0.0,0.0
E1 ratio of sums | rolling 252 | hold,E1 ratio of sums,rolling 252,hold,-,all,1279,1215.0,0.9499609069585614,8169.08977366819,0.06773525103725446,0.5233580037817243,2.054547303476587,4.923445617870426,16.0,-6.903200149820762,-4.355079623961628,2023-11-30,0.031703613143107975,0.03603163789414649,1.0811184128821671,premium,0.8844162880234278,7.80162011883945,1.7995843308860933,4.051139306217081,16.0,-165.1852746614776,-55.458205643497514,2024-05-01,0.4084544886834095,0.4759617993400184,0.9618386380705698,index points per contract,0.21970289288506645,0.09538702111024237,0.028928850664581705,0.0,0.0,0.0,0.04222048475371384,0.10476935105551212,0.33307271305707586,0.058639562157935886,0.06802189210320563,0.04925723221266615
E1 ratio of sums | rolling 252 | flatten,E1 ratio of sums,rolling 252,flatten,-,deck in-sample,866,802.0,0.9260969976905312,5345.293452496686,0.02840139135148952,0.3645714484163749,1.2366797026591319,2.6235645777862335,14.0,-4.30960769793419,-3.2255060138656395,2023-12-20,0.02082340648362652,0.0075779848678630005,0.32526735101393844,premium,0.3053436153509877,5.007605296187649,0.9679635948006292,1.8528155907634722,14.0,-117.2128216358768,-37.001349618356436,2020-07-13,0.2672646726248343,0.03807894272615344,0.11951516128991423,index points per contract,0.25519630484988454,0.05889145496535797,0.042725173210161664,0.0,0.0,0.0,0.0011547344110854503,0.10508083140877598,0.2852193995381062,0.07852193995381063,0.10046189376443418,0.07274826789838337
E1 ratio of sums | rolling 252 | flatten,E1 ratio of sums,rolling 252,flatten,-,unseen,413,413.0,1.0,8925.445287780865,0.037276154638740934,0.3901496997014171,1.5167014366388918,2.0225868035732986,11.0,-4.728618762620025,-1.929243768568869,2024-08-28,0.03100801703600098,0.00626813760273995,0.2503852744561854,premium,0.38548442454955845,7.153141923683485,0.8554807936385374,0.980463553280937,11.0,-157.04348947593206,-39.33112726100859,2025-04-07,0.44627226438904327,-0.0607878398394849,-0.1334584476391611,index points per contract,0.14527845036319612,0.17191283292978207,0.0,0.0,0.0,0.0,0.12832929782082325,0.10411622276029056,0.43341404358353514,0.01694915254237288,0.0,0.0
E1 ratio of sums | rolling 252 | flatten,E1 ratio of sums,rolling 252,flatten,-,all,1279,1215.0,0.9499609069585614,6501.354991177191,0.031267128050187595,0.3728926352240067,1.3310809152717071,3.420190534237199,16.0,-4.72861876262002,-3.2255060138656395,2023-12-20,0.024112104027121946,0.0071550240230656426,0.29984541911151036,premium,0.33122176562386474,5.785255722401996,0.9088591371258755,2.054224043795348,16.0,-157.04348947593218,-39.33112726100859,2025-04-07,0.32506774955885953,0.006154016065005209,0.016712105448565752,index points per contract,0.21970289288506645,0.09538702111024237,0.028928850664581705,0.0,0.0,0.0,0.04222048475371384,0.10476935105551212,0.33307271305707586,0.058639562157935886,0.06802189210320563,0.04925723221266615
