book,n_sessions,n_quarters,mean_labels_per_quarter,quarters_with_one_label,B,rule_mean_pts,placebo_mean_pts,placebo_sd_pts,placebo_p05_pts,placebo_p95_pts,n_placebo_ge_rule,p_value
E1 ratio of sums | expanding | hold,413,7,1.0,7,2000,0.16466183268050114,0.16466183268050114,0.0,0.16466183268050114,0.16466183268050114,2000,1.0
E1 ratio of sums | expanding | flatten,413,7,1.0,7,2000,-0.18435699261626184,-0.18435699261626187,2.7762517112702714e-17,-0.18435699261626184,-0.18435699261626184,2000,1.0
E1 ratio of sums | rolling 126 | hold,413,7,3.0,1,2000,0.7901777903740699,1.0217054854496697,0.19551660777563673,0.7028696212662863,1.3402463002014913,1764,0.8820589705147426
E1 ratio of sums | rolling 126 | flatten,413,7,3.0,1,2000,0.5358194745900833,0.7555648227114591,0.14824183109080588,0.504484699006152,0.9897536447407238,1857,0.928535732133933
E1 ratio of sums | rolling 252 | hold,413,7,2.857142857142857,2,2000,0.6609093118011932,1.0276939281949786,0.1849471710915431,0.7221590412987376,1.324575041636195,1947,0.9735132433783108
E1 ratio of sums | rolling 252 | flatten,413,7,2.857142857142857,2,2000,0.38548442454955845,0.6470458393622973,0.14796634850467164,0.39291538966180545,0.8791757143411688,1911,0.9555222388805598
E1 ratio of sums | ewma hl 63 | hold,413,7,2.5714285714285716,2,2000,0.5985155192798386,0.9816062161126767,0.1770067533417738,0.6905659260903385,1.2728908672364057,1971,0.9855072463768116
E1 ratio of sums | ewma hl 63 | flatten,413,7,2.5714285714285716,2,2000,0.5393198339449136,0.7535970374023016,0.13355451897847853,0.5173612096533458,0.9675872170411015,1874,0.9370314842578711
E2 relative ratio of sums | rolling 126 | hold,413,7,3.142857142857143,1,2000,1.0620465432308144,1.130628174126267,0.1867712831844825,0.8223569561425138,1.4368260476601626,1281,0.6406796601699151
E2 relative ratio of sums | rolling 126 | flatten,413,7,3.142857142857143,1,2000,0.726569114570929,0.7241996784899796,0.13780423955226195,0.48622777560409974,0.9401122845233636,999,0.49975012493753124
E2 relative ratio of sums | rolling 252 | hold,413,7,1.8571428571428572,3,2000,0.8382582965541061,1.0135497607162436,0.09783133090051332,0.8430976986696928,1.1669623338264363,1909,0.9545227386306847
E2 relative ratio of sums | rolling 252 | flatten,413,7,1.8571428571428572,3,2000,0.4401335043124705,0.607458559205059,0.06424674807599262,0.5051368621855481,0.7177411816720903,1996,0.9980009995002499
E2 relative ratio of sums | ewma hl 63 | hold,413,7,2.5714285714285716,2,2000,0.6474848664621866,1.0267406211087593,0.1560065207335234,0.7641324764557035,1.2841698473314502,1988,0.9940029985007496
E2 relative ratio of sums | ewma hl 63 | flatten,413,7,2.5714285714285716,2,2000,0.4744319102760984,0.7325793139247674,0.1034044545064505,0.5672326231624061,0.9094967990588274,1991,0.9955022488755623
