rule,mean_modal_clock_index,first_afternoon_modal_quarter,afternoon_modal_quarters,n_quarters,years_matching_ex_post_best_hold,n_years,best_lag_q_hold,best_lag_q_flatten,mean_clock_gap_hold,mean_clock_gap_flatten
E1 ratio of sums | expanding,0.0,never,0,24,0,6,4,3,3.65,3.380952380952381
E1 ratio of sums | rolling 126,5.130434782608695,2021Q3,14,24,0,6,1,2,2.739130434782609,3.4545454545454546
E1 ratio of sums | rolling 252,4.608695652173913,2022Q2,13,24,0,6,1,3,2.217391304347826,3.2857142857142856
E1 ratio of sums | ewma hl 63,4.391304347826087,2022Q3,12,24,0,6,1,4,2.608695652173913,3.0
E2 relative ratio of sums | rolling 126,7.391304347826087,2021Q1,19,24,0,6,1,1,4.043478260869565,4.217391304347826
E2 relative ratio of sums | rolling 252,6.608695652173913,2021Q4,17,24,0,6,0,1,3.260869565217391,4.043478260869565
E2 relative ratio of sums | ewma hl 63,8.826086956521738,2020Q2,23,24,0,6,0,0,4.956521739130435,5.130434782608695
