book,estimator,window,treatment,n_unseen,mean_pts_unseen,t_hac_pts_unseen,mean_units_unseen,mean_charged_pts_unseen,diff_vs_1100,ci_lo_vs_1100,ci_hi_vs_1100,cond1_ci_excludes_zero_positive,diff_vs_1330,ci_lo_vs_1330,ci_hi_vs_1330,ci_halfwidth_vs_1330,cond2_not_below_1330_by_halfwidth,placebo_p,placebo_sd_pts,cond3_placebo_p_lt_0.05,ADOPTED
E1 ratio of sums | expanding | hold,E1 ratio of sums,expanding,hold,413,0.16466183268050114,0.24969372988388897,0.0282955481834519,-0.634451718882266,-0.3637909200747658,-1.1641704509770905,0.5083162818169462,False,-1.0085980483391148,-2.059104900335204,-0.04718372777828864,1.0059605862784577,False,1.0,0.0,False,False
E1 ratio of sums | expanding | flatten,E1 ratio of sums,expanding,flatten,413,-0.18435699261626184,-0.3006164698376836,0.019219288543488793,-0.9276739877131313,-0.1638379573343499,-0.7334913666510978,0.43024109232380836,False,-0.8256367894507305,-1.7865071798905479,-0.004186139875462104,0.8911605200075429,True,1.0,2.7762517112702714e-17,False,False
E1 ratio of sums | rolling 126 | hold,E1 ratio of sums,rolling 126,hold,413,0.7901777903740699,1.5515601232768987,0.07501813201528182,0.2717362687939741,0.2617250376188026,-0.4905484771999227,0.989571026774816,False,-0.38308209064554627,-0.9943048940641056,0.12625442151190958,0.5602796577880076,True,0.8820589705147426,0.19551660777563673,False,False
E1 ratio of sums | rolling 126 | flatten,E1 ratio of sums,rolling 126,flatten,413,0.5358194745900833,1.3776851192996238,0.04833800453833385,0.12258287581517785,0.5563385098719952,-0.06367033179157987,1.2035997914173184,False,-0.10546032224438542,-0.6116852843633408,0.34531880078320437,0.47850204257327256,True,0.928535732133933,0.14824183109080588,False,False
E1 ratio of sums | rolling 252 | hold,E1 ratio of sums,rolling 252,hold,413,0.6609093118011932,1.3278184318809667,0.05919909171523501,0.12328565120177469,0.13245655904592604,-0.8199891520808392,1.1949618116795575,False,-0.5123505692184228,-1.0492153047677075,-0.04284959823090442,0.5031828532684015,False,0.9735132433783108,0.1849471710915431,False,False
E1 ratio of sums | rolling 252 | flatten,E1 ratio of sums,rolling 252,flatten,413,0.38548442454955845,0.980463553280937,0.037276154638740934,-0.0607878398394849,0.4060034598314702,-0.33686186681601393,1.2017677664558575,False,-0.25579537228491034,-0.7160404503128062,0.19458522270006653,0.45531283650643634,True,0.9555222388805598,0.14796634850467164,False,False
E1 ratio of sums | ewma hl 63 | hold,E1 ratio of sums,ewma hl 63,hold,413,0.5985155192798386,1.158287671051485,0.0661696943732401,0.05629179012237973,0.07006276652457136,-0.7732469687092095,0.9355029595802472,False,-0.5747443617397775,-1.1482628827777688,-0.05309896476014922,0.5475819590088098,False,0.9855072463768116,0.1770067533417738,False,False
E1 ratio of sums | ewma hl 63 | flatten,E1 ratio of sums,ewma hl 63,flatten,413,0.5393198339449136,1.3486270402984413,0.050511020841359354,0.08758289590594238,0.5598388692268254,-0.12701173540745933,1.2779727528951135,False,-0.10195996288955524,-0.6293183655392548,0.3824156957939104,0.5058670306665826,True,0.9370314842578711,0.13355451897847853,False,False
E2 relative ratio of sums | rolling 126 | hold,E2 relative ratio of sums,rolling 126,hold,413,1.0620465432308144,2.4218769202064077,0.07941622485162625,0.6334952116752954,0.5335937904755469,-0.37877780211173373,1.4895016342613008,False,-0.11121333778880188,-0.5600268372409496,0.3060628576772727,0.43304484745911115,True,0.6406796601699151,0.1867712831844825,False,False
E2 relative ratio of sums | rolling 126 | flatten,E2 relative ratio of sums,rolling 126,flatten,413,0.726569114570929,2.496189439349459,0.05938418982439998,0.4179076351979745,0.7470881498528411,-0.004061522324530523,1.5772008768746006,False,0.08528931773646041,-0.23583513157694722,0.41323574762743936,0.3245354396021933,True,0.49975012493753124,0.13780423955226195,False,False
E2 relative ratio of sums | rolling 252 | hold,E2 relative ratio of sums,rolling 252,hold,413,0.8382582965541061,1.8670731332305246,0.08206096435228048,0.4548940103970568,0.30980554379883884,-0.7128207406212704,1.3667139869052414,False,-0.33500158446551,-0.8779026799292282,0.18930393638867443,0.5336033081589513,True,0.9545227386306847,0.09783133090051332,False,False
E2 relative ratio of sums | rolling 252 | flatten,E2 relative ratio of sums,rolling 252,flatten,413,0.4401335043124705,1.5767490261498032,0.057203074225916514,0.17047647720931214,0.4606525395943826,-0.3434433613087087,1.3656443448161315,False,-0.20114629252199817,-0.5524815876402571,0.16469625665953433,0.35858892214989574,True,0.9980009995002499,0.06424674807599262,False,False
E2 relative ratio of sums | ewma hl 63 | hold,E2 relative ratio of sums,ewma hl 63,hold,413,0.6474848664621866,1.4139424433437233,0.06575918826874984,0.2558936957692677,0.11903211370691939,-0.842583558892633,1.1543517008892177,False,-0.5257750145574295,-1.0791648609241555,0.006128508069244829,0.5426466844967002,True,0.9940029985007496,0.1560065207335234,False,False
E2 relative ratio of sums | ewma hl 63 | flatten,E2 relative ratio of sums,ewma hl 63,flatten,413,0.4744319102760984,1.598202403377541,0.057290118084309706,0.19901576215157515,0.4949509455580102,-0.32984881075921735,1.372698840243437,False,-0.16684788655837027,-0.5558207598477946,0.2459767270805835,0.400898743464189,True,0.9955022488755623,0.1034044545064505,False,False
