tag,rule,structure,buy_days,median_premium_bp_spot,hit_ask,mean_R_mid,mean_R_ask,Sharpe_R_ask,mean_pnl_bp_spot_ask,Sharpe_pnl_bp_spot,top20_share_pnl_spot
sub_live_ridge,sign(s),straddle,221,9.029573617184878,0.38009049773755654,0.07224989161973192,0.04157506758869088,0.5261915039047368,-0.3524971180151903,-0.40368578537310035,
sub_live_ridge,sign(s),strangle 0.5% OTM,221,0.45153864447959363,0.02262443438914027,-0.3420684057774748,-0.532600359867878,-1.5418439979646712,-0.7964947419669981,-3.256322945858303,
sub_live_ridge,sign(s),strangle 1% OTM,221,0.23411033621325372,0.0,-1.0,-1.0,,-0.38041818361467633,-9.163282037961187,
sub_live_ridge,sign(s),strangle 2% OTM,221,0.22931309091285063,0.0,-1.0,-1.0,,-0.24014723067650132,-57.45781554330848,
sub_live_ridge,tail: p-hat > break-even p*,straddle,263,11.202079385986023,0.34980988593155893,-0.01350394912078861,-0.03894474162597523,-0.5622589869013426,-0.9814897396279416,-1.0270851333979578,
sub_live_ridge,tail: p-hat > break-even p*,strangle 0.5% OTM,263,0.5030839143017145,0.030418250950570342,-0.7708886835358694,-0.8030324963469265,-8.914591247563315,-0.6206953839171608,-1.6070133388240369,
sub_live_ridge,tail: p-hat > break-even p*,strangle 1% OTM,263,0.24368252243266283,0.0076045627376425855,-0.9723306692367232,-0.9740025805452109,-45.886157614686525,-0.2577757220704078,-1.6795030612461201,
sub_live_ridge,tail: p-hat > break-even p*,strangle 2% OTM,263,0.23190771958479667,0.0,-1.0,-1.0,,-0.24378388672440293,-43.07419794563384,
sub_live_ridge,tail: p-hat > trailing top quintile,straddle,114,11.211440323812432,0.38596491228070173,0.033372001472054456,0.007518980771233065,0.09934492596365531,-0.6007618976916168,-0.7049572386235982,
sub_live_ridge,tail: p-hat > trailing top quintile,strangle 0.5% OTM,114,0.47925539601320233,0.017543859649122806,-0.8925964841453904,-0.9220977271023705,-22.836858199299748,-0.7875782453701082,-9.522649139045742,
sub_live_ridge,tail: p-hat > trailing top quintile,strangle 1% OTM,114,0.24488863246556897,0.0,-1.0,-1.0,,-0.3008256984424167,-24.141305366578308,
sub_live_ridge,tail: p-hat > trailing top quintile,strangle 2% OTM,114,0.2409395738707366,0.0,-1.0,-1.0,,-0.23613583994683746,-215.27604906643924,
blk2,sign(s),straddle,215,9.136638557160737,0.39069767441860465,0.06967736131904041,0.03930928122114917,0.49071452178615277,-0.4831854049359642,-0.5267321586660231,
blk2,sign(s),strangle 0.5% OTM,215,0.4581481907262243,0.023255813953488372,-0.2930519451404406,-0.49025409609330595,-1.3944940866999171,-0.8594444308457604,-3.144805929843378,
blk2,sign(s),strangle 1% OTM,215,0.2346041090677211,0.0,-1.0,-1.0,,-0.4160299153755397,-8.848650950413887,
blk2,sign(s),strangle 2% OTM,215,0.22907409109627477,0.0,-1.0,-1.0,,-0.2415602310114117,-53.93439963982222,
blk2,tail: p-hat > break-even p*,straddle,264,10.494235298405172,0.36742424242424243,4.2764188698519625e-05,-0.02564210940636647,-0.3699903904683064,-0.640695917396269,-0.695504833027364,
blk2,tail: p-hat > break-even p*,strangle 0.5% OTM,264,0.4864565452999899,0.030303030303030304,-0.7753592318145498,-0.8080882944130355,-9.0695848374577,-0.7517007490950705,-2.114887021899638,
blk2,tail: p-hat > break-even p*,strangle 1% OTM,264,0.24257273900685994,0.003787878787878788,-0.9791097112011776,-0.9801949212273208,-48.35419758600531,-0.2747571073790582,-1.7890047793739223,
blk2,tail: p-hat > break-even p*,strangle 2% OTM,264,0.22956030523225857,0.0,-1.0,-1.0,,-0.24356821674090767,-42.955092511898805,
blk2,tail: p-hat > trailing top quintile,straddle,112,9.924302361893087,0.38392857142857145,0.043562260258573286,0.017805321345486784,0.22862356417609245,0.30545003910578955,0.35136772515963305,14.155245786263253
blk2,tail: p-hat > trailing top quintile,strangle 0.5% OTM,112,0.4445578367165626,0.026785714285714284,-0.7061547601948436,-0.7669367799267643,-6.9806368030694825,-0.408536801730741,-3.3751876044956552,
blk2,tail: p-hat > trailing top quintile,strangle 1% OTM,112,0.24237742544196855,0.0,-1.0,-1.0,,-0.269952615147087,-41.83884871922858,
blk2,tail: p-hat > trailing top quintile,strangle 2% OTM,112,0.23998892344941536,0.0,-1.0,-1.0,,-0.2355477848077036,-228.6949906488419,
