date,R,sign_bought,s_rel,vix,abs_day_ret_pct,last_bar_ratio,month_end,third_friday,fomc_day,dow,sign_bought_blk2
2021-11-22,10.31604850795286,True,0.14832193534613314,17.93,0.11616309772469997,0.5224806033011495,False,False,False,0,True
2020-01-08,6.83603367783646,True,0.026685229314541047,12.86,0.85356702825523,0.44985749269051034,False,False,False,2,True
2023-11-30,5.422480279928936,False,-0.2972813416709601,13.07,0.29810414520205003,0.7130774518016456,True,False,False,3,False
2021-03-26,4.626674107142857,True,0.21476519117601167,19.66,0.47634651480342,1.21880235910941,False,False,False,4,False
2024-02-21,4.2548636396498605,False,-0.04736005414661096,,0.2025715472999227,1.5779774296712947,False,False,False,2,True
2023-07-07,4.1773563109878085,True,0.37044393674950904,14.54,0.38127012154294837,0.7576528739111782,False,False,False,4,True
2024-02-13,3.852339562773788,False,-0.18104453378453975,,0.6472519564269,0.9016717011362809,False,False,False,1,False
2021-06-14,3.8332868440755403,False,-0.05650127880231526,16.72,0.1653137825667387,0.6256860974454741,False,False,False,0,False
2024-04-30,3.813873034315516,True,0.22931209866902247,,0.7486603201501189,0.9446018711356013,True,False,False,1,False
2023-08-09,3.736997034366797,True,0.09967585933145075,15.51,0.2813352269965899,0.6590380574882477,False,False,False,2,True
2023-03-22,3.5509046737099705,False,-0.27338877348374474,20.37,0.049847278367663436,3.5308756013600053,False,False,True,2,False
2024-03-26,3.529633620689655,True,0.16617990640565078,,0.18544698259577208,1.4087599754741864,False,False,False,1,True
2021-03-15,3.3905326274691765,True,0.30575847179846616,20.38,0.0964088033782084,0.9542505519044655,False,False,False,0,True
2023-09-22,3.334769960792582,True,0.30066229179451426,16.27,0.027580002300350716,1.8031058640779316,False,False,False,4,True
2022-11-14,3.269230769230769,False,-0.28774108486402017,23.32,0.3033858249540999,1.1525428302182048,False,False,False,0,False
2023-04-11,3.253868845934826,True,0.14968069732225622,18.65,0.18113311165354307,0.5484747802118093,False,False,False,1,True
2023-01-31,3.2222377551717436,False,-0.37951651104436207,19.38,0.6606166371384014,0.6396442525393105,True,False,False,1,False
2023-03-14,3.0579927655621093,True,0.22263691284209047,24.72,0.61656052699564,1.661271407649541,False,False,False,1,True
2023-05-16,3.0400390625,True,0.13143452520385263,17.55,0.03727321935872753,0.374807587937728,False,False,False,1,True
2022-12-09,3.0234375,False,-0.1420169238717489,22.33,0.13215062861408,0.4394916440393086,False,False,False,4,False
