tag,target,rule,days,buys,pct_buy,mean_size_buys,hit_buys,Sharpe_mid,Sharpe_crossed,mean_crossed,top20_share,top20_kept_from_sign,max_dd_crossed,worst_crossed,dSharpe_crossed,d_ci_lo,d_ci_hi,dSharpe_half1,dSharpe_half2,placebo_p,supported
sub_live_ridge,R > 1,sign(s),560,221,39.464285714285715,1.0,0.3936651583710407,1.548095467450074,1.178877849959814,0.0806880429597177,1.2604201247141107,20,15.626431035412072,-5.608638948514649,0.0,,,,,,
sub_live_ridge,R > 1,tail: p-hat > break-even p*,560,263,46.964285714285715,0.8403041825095057,0.35361216730038025,0.5935546199566889,0.21304820018357543,0.013787749930151347,6.065497671573218,15,23.82581333875756,-10.954857978662613,-0.9658296497762386,-0.17876784725244643,0.04065366686868693,-2.001197825278868,-0.6715559469505117,0.16,False
sub_live_ridge,R > 1,tail: p-hat > trailing top quintile,560,114,20.357142857142858,1.9385964912280698,0.38596491228070173,0.7716515938483774,0.4225660937352604,0.03816571718826137,3.8997822031306417,7,20.634897649726874,-10.954857978662613,-0.7563117562245536,-0.17231655825147535,0.07945543815076163,-1.2205956498513548,-0.7746190833483516,0.085,False
sub_live_ridge,R > 1,sign(s) AND p-hat > trailing median,560,146,26.071428571428573,1.5136986301369861,0.3972602739726027,1.2224640118484196,0.845182254483828,0.06883053830675977,1.7746232171643577,14,21.963506508609143,-10.954857978662613,-0.33369559547598604,-0.10697644772059084,0.07384760537306752,-1.2205956498513548,-0.22678279230176446,0.415,False
sub_live_ridge,R > 1,sign(s) OR break-even,560,340,60.71428571428571,0.6500000000000001,0.3588235294117647,0.6884282738899992,0.30705245081247007,0.01599545746654504,4.68426400620335,16,10.444108934072064,-3.6345608477154663,-0.8718253991473439,-0.13305851274080813,0.005414037035959423,-0.8827270717941028,-0.8945330325991004,0.145,False
sub_live_ridge,R > trailing 97.5% quantile,sign(s),308,156,50.649350649350644,1.0,0.4166666666666667,2.5051878243171646,2.173886223048041,0.15216917817391712,1.0255086030137912,20,7.837439629859162,-5.608638948514649,0.0,,,,,,
sub_live_ridge,R > trailing 97.5% quantile,tail: p-hat > break-even p*,308,115,37.33766233766234,1.3565217391304347,0.40869565217391307,1.4756132173310001,1.1407959644738637,0.09352338569016799,1.9009573589584363,8,12.002122113084397,-4.349934895833333,-1.0330902585741772,-0.21149342986935313,0.0915747244437776,,-1.0330902585741772,0.04,False
sub_live_ridge,R > trailing 97.5% quantile,tail: p-hat > trailing top quintile,308,133,43.18181818181818,1.1729323308270676,0.38345864661654133,0.9750867569739213,0.6382751172176755,0.04910886863293614,3.3446734566457117,8,13.55276022768898,-4.349934895833333,-1.5356111058303654,-0.253839001293079,0.04381776656097132,,-1.5356111058303654,0.08,False
sub_live_ridge,R > trailing 97.5% quantile,sign(s) AND p-hat > trailing median,308,135,43.83116883116883,1.1555555555555552,0.43703703703703706,2.3330676884914183,1.9957808245978803,0.15049452019693735,1.0796558152875222,16,10.835271668345033,-5.608638948514649,-0.1781053984501606,-0.0719548759045358,0.06696386139420696,,-0.1781053984501606,0.22,False
sub_live_ridge,R > trailing 97.5% quantile,sign(s) OR break-even,308,202,65.5844155844156,0.7722772277227723,0.3910891089108911,2.603901233075179,2.291733475764856,0.13256076253792357,1.0502551236373756,16,8.702478062538427,-3.6345608477154663,0.11784725271681529,-0.10667112967035036,0.08032933308982884,,0.11784725271681529,0.015,False
blk2,R > 1,sign(s),560,215,38.392857142857146,1.0,0.3953488372093023,1.496489281688537,1.1263611807723821,0.07712961968963933,1.3148758738144561,20,14.609724581115376,-5.608638948514649,0.0,,,,,,
blk2,R > 1,tail: p-hat > break-even p*,560,264,47.14285714285714,0.8143939393939394,0.3712121212121212,0.7872233370605187,0.4043947466278745,0.025839668155334103,3.1366850514450393,14,20.34110583755706,-10.954857978662613,-0.7219664341445076,-0.17016358058362918,0.052331675047246666,-4.240162316932879,0.1006026865190599,0.095,False
blk2,R > 1,tail: p-hat > trailing top quintile,560,112,20.0,1.9196428571428574,0.39285714285714285,0.8306229452960942,0.48417017524909206,0.04383244893487541,3.4222321023758875,6,20.54671403050531,-10.954857978662613,-0.64219100552329,-0.1638894573222118,0.08701911427267503,-3.324746663291462,-0.2205159654554627,0.05,False
blk2,R > 1,sign(s) AND p-hat > trailing median,560,134,23.92857142857143,1.6044776119402986,0.417910447761194,1.3999037096469622,1.028799241166403,0.08610402056157618,1.5270034701901567,12,20.54671403050531,-10.954857978662613,-0.09756193960597903,-0.09263118999353796,0.09233116804920019,-3.324746663291462,0.4571522103391956,0.125,False
blk2,R > 1,sign(s) OR break-even,560,341,60.89285714285714,0.6304985337243404,0.36950146627565983,0.8205825170364852,0.4376724566706059,0.0222900664913142,3.2671475830035606,15,11.36883450394665,-3.6345608477154663,-0.6886887241017763,-0.12538041990970752,0.014321475220915736,-0.7513664466629917,-0.6849196521151282,0.21,False
blk2,R > trailing 97.5% quantile,sign(s),308,153,49.67532467532468,1.0,0.39869281045751637,1.8967356546277483,1.563355838977242,0.11005988473769389,1.392331659276896,20,13.036462060092067,-5.608638948514649,0.0,,,,,,
blk2,R > trailing 97.5% quantile,tail: p-hat > break-even p*,308,118,38.311688311688314,1.296610169491525,0.3983050847457627,1.224869240929146,0.8900683398922952,0.07167657526192873,2.4181555684424363,9,13.076289504936248,-4.349934895833333,-0.6732874990849468,-0.204268670632091,0.1251981276248705,,-0.6732874990849468,0.09,False
blk2,R > trailing 97.5% quantile,tail: p-hat > trailing top quintile,308,125,40.58441558441558,1.2239999999999995,0.384,1.1488949126068688,0.8125744312188591,0.06374608657691029,2.6869146969820985,11,13.35188669041462,-4.349934895833333,-0.7507814077583829,-0.2000930991638692,0.11926808663008794,,-0.7507814077583829,0.06,False
blk2,R > trailing 97.5% quantile,sign(s) AND p-hat > trailing median,308,131,42.532467532467535,1.1679389312977104,0.42748091603053434,1.9593310328882472,1.6215185091835216,0.1232758614097531,1.3030488230142778,16,18.246550912461778,-5.608638948514649,0.05816267020627963,-0.06785449527246777,0.09759026008396228,,0.05816267020627963,0.17,False
blk2,R > trailing 97.5% quantile,sign(s) OR break-even,308,199,64.6103896103896,0.7688442211055277,0.37185929648241206,1.8007919983871714,1.4782214940950225,0.08587986407455779,1.6068125391274166,15,12.211196859568428,-3.6345608477154663,-0.08513434488221949,-0.13269880074484228,0.09467338048751746,,-0.08513434488221949,0.09,False
