tag,rule,days,buys,pct_buy,mean_size_buys,hit_buys,Sharpe_mid,Sharpe_crossed,mean_crossed,top20_share,top20_kept_from_sign,max_dd_crossed,worst_crossed,dSharpe_crossed,d_ci_lo,d_ci_hi,placebo_p,dSharpe_half1,dSharpe_half2,median_raw_over_recal,supported
sub_live_ridge,recalibrated sign(s),614,250,40.71661237785016,1.0,0.404,1.5107770799023794,1.15154330196654,0.08145683967219576,1.24510982969161,20,15.626431035412072,-5.608638948514649,,,,,,,,
sub_live_ridge,raw sign(yhat^2 baseline - iv_var),614,201,32.73615635179153,1.0,0.4228855721393035,2.028545927180281,1.6649690763075924,0.11764519897504602,0.8623785947636774,17,13.355322103721758,-5.608638948514649,0.5134257743410524,-0.014580883169510431,0.08988501560683125,0.295,0.49220580878863035,0.5236425233805702,0.9412300184623413,False
blk2,recalibrated sign(s),614,247,40.22801302931596,1.0,0.4089068825910931,1.5394186993352832,1.1816052790591631,0.0834648823680268,1.2232244880038343,20,14.609724581115376,-5.608638948514649,,,,,,,,
blk2,raw sign(yhat^2 baseline - iv_var),614,170,27.68729641693811,1.0,0.4117647058823529,1.5494175442508107,1.1795686775979686,0.08395460881249563,1.1025573644483988,14,10.884984285616612,-5.608638948514649,-0.0020366014611945538,-0.05637840854844306,0.0529863106476637,0.33,-0.7085643484138545,0.11773480741305264,0.9112610948742639,False
