s_quintile,buys,dropped,mean_r_ask_dropped,mean_r_ask_kept,tag
1,50,41,-0.4540154903533695,-0.4207889058070726,sub_live_ridge
2,50,17,0.37343245373850437,0.6948799613735911,sub_live_ridge
3,50,2,0.7151556564566348,0.07999677726719913,sub_live_ridge
4,50,1,0.11191406249999991,0.04764874215319371,sub_live_ridge
5,50,1,0.1313367567869943,0.06541334727321231,sub_live_ridge
1,50,46,-0.03253525865058062,-0.5455467201772222,blk2
2,49,20,0.11655776424855122,0.5403930071812809,blk2
3,49,7,-0.5215260469378419,0.009767529572951674,blk2
4,49,5,-0.2812101949139291,0.20977063818294084,blk2
5,50,1,0.16059640643423911,-0.009622104998693419,blk2
