era,hour_et,bucket,n_snapshots,frac_snapshots_live,n_contracts_med,n_contracts_p25,n_contracts_p75
all,9,"[0.10,0.30)",1279,0.0,0.0,0.0,0.0
all,10,"[0.10,0.30)",2558,0.9988272087568413,9.0,7.0,12.0
all,11,"[0.10,0.30)",2558,1.0,8.0,6.0,11.0
all,12,"[0.10,0.30)",2558,1.0,7.0,6.0,10.0
all,13,"[0.10,0.30)",2558,1.0,6.0,5.0,9.0
all,14,"[0.10,0.30)",2558,1.0,5.0,4.0,7.0
all,15,"[0.10,0.30)",2558,0.9992181391712275,4.0,3.0,5.0
all,9,"[0.30,0.50)",1279,0.0,0.0,0.0,0.0
all,10,"[0.30,0.50)",2558,0.9996090695856138,6.0,5.0,8.0
all,11,"[0.30,0.50)",2558,0.9992181391712275,5.0,4.0,7.0
all,12,"[0.30,0.50)",2558,1.0,5.0,3.0,6.0
all,13,"[0.30,0.50)",2558,1.0,4.0,3.0,5.0
all,14,"[0.30,0.50)",2558,1.0,3.0,2.0,5.0
all,15,"[0.30,0.50)",2558,0.9984362783424551,2.0,2.0,3.0
all,9,"[0.50,0.70)",1279,0.0,0.0,0.0,0.0
all,10,"[0.50,0.70)",2558,0.9992181391712275,6.0,5.0,8.0
all,11,"[0.50,0.70)",2558,0.9992181391712275,5.0,4.0,7.0
all,12,"[0.50,0.70)",2558,1.0,5.0,3.0,6.0
all,13,"[0.50,0.70)",2558,1.0,4.0,3.0,5.0
all,14,"[0.50,0.70)",2558,1.0,3.0,2.0,5.0
all,15,"[0.50,0.70)",2558,0.9984362783424551,2.0,2.0,3.0
all,9,"[0.70,0.90]",1279,0.0,0.0,0.0,0.0
all,10,"[0.70,0.90]",2558,0.9984362783424551,10.0,8.0,13.0
all,11,"[0.70,0.90]",2558,0.9992181391712275,8.0,7.0,11.0
all,12,"[0.70,0.90]",2558,1.0,7.0,6.0,10.0
all,13,"[0.70,0.90]",2558,1.0,7.0,5.0,9.0
all,14,"[0.70,0.90]",2558,1.0,6.0,4.0,7.0
all,15,"[0.70,0.90]",2558,1.0,4.0,3.0,6.0
daily_0dte,9,"[0.10,0.30)",902,0.0,0.0,0.0,0.0
daily_0dte,10,"[0.10,0.30)",1804,1.0,10.0,8.0,12.0
daily_0dte,11,"[0.10,0.30)",1804,1.0,9.0,7.0,11.0
daily_0dte,12,"[0.10,0.30)",1804,1.0,8.0,6.0,10.0
daily_0dte,13,"[0.10,0.30)",1804,1.0,7.0,5.0,9.0
daily_0dte,14,"[0.10,0.30)",1804,1.0,5.0,4.0,7.0
daily_0dte,15,"[0.10,0.30)",1804,0.9994456762749445,4.0,3.0,5.0
daily_0dte,9,"[0.30,0.50)",902,0.0,0.0,0.0,0.0
daily_0dte,10,"[0.30,0.50)",1804,1.0,6.0,5.0,8.0
daily_0dte,11,"[0.30,0.50)",1804,1.0,5.0,4.0,7.0
daily_0dte,12,"[0.30,0.50)",1804,1.0,5.0,4.0,6.0
daily_0dte,13,"[0.30,0.50)",1804,1.0,4.0,3.0,5.0
daily_0dte,14,"[0.30,0.50)",1804,1.0,3.0,3.0,4.0
daily_0dte,15,"[0.30,0.50)",1804,0.9994456762749445,2.0,2.0,3.0
daily_0dte,9,"[0.50,0.70)",902,0.0,0.0,0.0,0.0
daily_0dte,10,"[0.50,0.70)",1804,1.0,6.0,5.0,8.0
daily_0dte,11,"[0.50,0.70)",1804,1.0,5.0,4.0,7.0
daily_0dte,12,"[0.50,0.70)",1804,1.0,5.0,4.0,6.0
daily_0dte,13,"[0.50,0.70)",1804,1.0,4.0,3.0,5.0
daily_0dte,14,"[0.50,0.70)",1804,1.0,3.0,3.0,4.0
daily_0dte,15,"[0.50,0.70)",1804,0.9994456762749445,2.0,2.0,3.0
daily_0dte,9,"[0.70,0.90]",902,0.0,0.0,0.0,0.0
daily_0dte,10,"[0.70,0.90]",1804,1.0,10.0,8.0,13.0
daily_0dte,11,"[0.70,0.90]",1804,1.0,9.0,7.0,11.0
daily_0dte,12,"[0.70,0.90]",1804,1.0,8.0,6.0,10.0
daily_0dte,13,"[0.70,0.90]",1804,1.0,7.0,5.0,9.0
daily_0dte,14,"[0.70,0.90]",1804,1.0,6.0,4.0,7.0
daily_0dte,15,"[0.70,0.90]",1804,1.0,4.0,3.0,5.0
