era,entry,n,vrp_med,frac_long_b2,sh_always_short,sh_b2,sh_a0
all,10:00,8003,0.05961135393041766,0.2494064725727852,3.4515663969958736,9.902794456885964,9.509026253634802
all,10:30,7372,0.06405407076383596,0.22816060770482907,4.606813876468945,9.310563972503834,10.518819311183378
all,11:00,6909,0.0597539346474754,0.22839774207555363,4.638481833167525,9.076614166345442,9.316515479127071
all,11:30,6488,0.05595634482089288,0.24275585696670776,4.630695640489491,7.832360962662409,8.304136692352246
all,12:00,6088,0.04305937691576102,0.26199080157687255,4.131576964576095,7.453482242047738,7.385102494727839
all,12:30,5750,0.04830384590537942,0.26365217391304346,3.8176433885820136,6.363890000857637,7.865738982090443
all,13:00,5438,0.045988871973736536,0.2484369253401986,3.4647789226600523,5.777909693066369,5.816965333402242
all,13:30,5105,0.05063703898108625,0.2366307541625857,2.895410589322702,5.0683227656393175,4.937708366393203
all,14:00,4784,0.057646530071161065,0.23662207357859533,2.46800178177839,4.938032149445283,4.276957432451671
all,14:30,4210,0.08335952751590728,0.17553444180522565,2.648960504979375,3.543771149253857,3.4462932931781687
all,15:00,3646,0.09643977659430426,0.1571585298957762,2.2174898028120222,3.3386815480615604,3.21895567943694
all,15:30,2797,0.08905828941977698,0.18519842688594923,0.46452517650689945,1.772672354497559,1.4415163237144288
daily_0dte,10:00,4470,0.052862334012724166,0.241834451901566,3.2763715318125413,8.99183615855605,8.23893022472506
daily_0dte,10:30,4122,0.05260939289133249,0.21033478893740903,4.304199165554733,8.179191399145585,8.507812010175192
daily_0dte,11:00,3830,0.04731772702460667,0.23211488250652743,3.927579180247633,7.8561444887393845,7.223465500704377
daily_0dte,11:30,3610,0.04125430857551873,0.2443213296398892,4.103315934424604,5.774485089073908,6.271937323980085
daily_0dte,12:00,3388,0.024912110229208084,0.27243211334120426,4.337660510331966,6.623618197277973,6.152673503701071
daily_0dte,12:30,3193,0.035891000843489396,0.2799874725963044,4.193997991127407,5.717748432437031,6.217695154466199
daily_0dte,13:00,3032,0.03115027929281946,0.262532981530343,4.383681482411851,5.2629194328297135,5.57541130406366
daily_0dte,13:30,2832,0.04064159757159951,0.24046610169491525,4.093735632903289,4.914161713618271,4.60320072481432
daily_0dte,14:00,2612,0.044585775723370864,0.27029096477794795,3.1233195197784633,5.117113666301018,4.225864124801349
daily_0dte,14:30,2275,0.07470521014701673,0.1991208791208791,3.1550942481754602,4.805338524314434,3.9981227898417493
daily_0dte,15:00,1934,0.08319517119191039,0.16597724922440538,2.558996163192739,3.690196415501744,3.4534940128515954
daily_0dte,15:30,1445,0.0691462793989833,0.21176470588235294,1.1468459057734066,2.4727009564420697,2.35787726775473
