h,n,settle,long_sh,a0_sh,sign+a0,b2_sh,t0_sh,t16_sh,incr_sh
1,16778,1291,-0.05459398393824125,0.06067360655864364,0.056025748003337705,0.0602065928598979,0.05902487700674425,0.060107664333264046,-0.02067691571421998
2,16778,2582,-0.040229218866728915,0.041096145338077254,0.056025748003337705,0.038623236772059734,0.03921634096307732,0.040772034454931785,-0.002438145670115765
3,16778,3873,-0.032207067307106714,0.03201850039832248,0.056025748003337705,0.03127048919137801,0.029037375943044143,0.031385372561902186,-0.004626149539224963
4,16778,5164,-0.029563218976243404,0.027188781282557507,0.056025748003337705,0.026757013714944433,0.026505251035906924,0.027371978058942745,-0.004719841526407927
5,16778,6455,-0.027236189694814315,0.019953268570564803,0.056025748003337705,0.019621962049148275,0.02009532087484166,0.019494145869592867,-0.002002494007141737
6,16778,7746,-0.027192810610535006,0.01890035608862698,0.056025748003337705,0.018094022808805562,0.019166958999771697,0.01815103224476783,0.002321180546676751
7,16778,9037,-0.02560044939290883,0.01478043116755436,0.056025748003337705,0.01625077508290697,0.017668566680146696,0.015716467562317586,0.006859323996583382
8,16778,10328,-0.02556342409987224,0.014507280658246068,0.056025748003337705,0.01626987593758728,0.01779383501215961,0.016552534639347586,0.006988048637190228
9,16778,11619,-0.024458485350059827,0.012624470431631918,0.056025748003337705,0.01392586107310797,0.015320685113717095,0.0140264780731645,0.008062856678313478
10,16778,12909,-0.025130844764031785,0.012805479435606745,0.056025748003337705,0.014453798844142137,0.014653220340114827,0.013982414621990187,0.004905440586210038
11,16778,14199,-0.024702975448410366,0.011493831284265767,0.056025748003337705,0.014634579893635497,0.013877377675046609,0.01471143377570329,0.0016243707051496357
12,16778,15489,-0.02447083741900214,0.011441492037070615,0.056025748003337705,0.014071937664633313,0.013033367768283741,0.015341994082169111,-0.0012767312564935314
13,16778,16778,-0.024292189438520975,0.01080941045448207,0.056025748003337705,0.014089334571188617,0.013063715538622418,0.015323764935140066,4.298005240836741e-05
