dim,bucket,theta,model,n_rows,n_traded,n_days,frac_traded,frac_long,sh_mid,sh_crossed,hit_mid,mean_mid,mean_crossed,sh_always_short,med_abs_sig
release_day,no_release,0.05,b2,39557,30814,379,0.7789771721819148,0.562276887129227,1.6113490911138137,-1.6892867990958313,0.5133705458557798,0.031982002263155083,-0.021007919564149557,3.9422442834810383,0.11955818368981112
release_day,release,0.05,b2,15447,12755,129,0.8257266783194148,0.49133673069384554,-0.5360692174338473,-4.075444953647782,0.5047432379459036,-0.00904289663099466,-0.05719564353234555,7.050752627432654,0.16199849742598282
release_day,ALL,0.05,b2,60532,47701,565,0.7880294720148021,0.5502190729754093,0.8633204738389563,-2.5714330996869426,0.5078719523699713,0.016473333799551276,-0.03569033873191218,4.2599451147559675,0.12700178086611594
release_day,no_release,0.05,a0,39557,30683,379,0.7756654953611245,0.5636671772642832,0.8724732403932147,-2.645597614014074,0.5021021412508555,0.019078872664577803,-0.03387773474329527,3.9422442834810383,0.12064562663336838
release_day,release,0.05,a0,15447,12949,129,0.8382857512785654,0.498880222410997,-1.1342062408052713,-4.946625619884127,0.4961773109892656,-0.015174133776823868,-0.06313360454623938,7.050752627432654,0.16913424227474155
release_day,ALL,0.05,a0,60532,47928,565,0.7917795546157405,0.5583792355199466,0.09584151693572147,-3.552235882962286,0.49628609581038224,0.004142224222815134,-0.04796967021266695,4.2599451147559675,0.13029685858865253
release_day,no_release,0.1,b2,39557,22696,379,0.573754329195844,0.571246034543532,1.437027723844853,-1.561473381426131,0.5195188579485371,0.03915665688357625,-0.014708347325488093,3.9422442834810383,0.11955818368981112
release_day,release,0.1,b2,15447,10310,129,0.6674435165404285,0.47361784675072743,-0.7428914594014516,-4.110758868363261,0.5062075654704171,-0.011112442974374507,-0.059145767229576526,7.050752627432654,0.16199849742598282
release_day,ALL,0.1,b2,60532,35974,565,0.5942972312165467,0.5504531050202924,0.6703725555731155,-2.465730294216646,0.5124256407405349,0.019508947644301562,-0.033087779686566184,4.2599451147559675,0.12700178086611594
release_day,no_release,0.1,a0,39557,22736,379,0.5747655282250929,0.5769704433497537,0.4809716680852431,-2.626899136806567,0.4991643209007741,0.016923994840752063,-0.03667819948321812,3.9422442834810383,0.12064562663336838
release_day,release,0.1,a0,15447,10660,129,0.6901016378584839,0.48395872420262664,-1.356410550479477,-4.829147735599475,0.4945590994371482,-0.018374294344577307,-0.06580991172994217,7.050752627432654,0.16913424227474155
release_day,ALL,0.1,a0,60532,36615,565,0.6048866715125883,0.5631571760207565,-0.14157920774304697,-3.383919718219803,0.49496108152396556,0.002024154642080375,-0.05024524170889179,4.2599451147559675,0.13029685858865253
