n_traded,n_days,frac_traded,frac_long,sh_mid,hit_mid,hit_contract_mid,sh_crossed,hit_crossed,hit_contract_crossed,mean_crossed,days,exit,entry
4487,507,0.5623511718260433,0.2698907956318253,10.966702401832377,0.8027613412228797,0.7996434143080009,7.3701958885358625,0.7140039447731755,0.7289948740806775,0.14175070816862176,all_days,hold,10:00
4073,476,0.5539235686114511,0.2533758900073656,11.442867896083737,0.8025210084033614,0.8114411981340536,8.731140889624214,0.7563025210084033,0.7633194205745151,0.161899415411427,all_days,hold,10:30
3754,467,0.5447685386736323,0.26611614278103357,10.460524624866384,0.7815845824411135,0.7943526904635055,7.714952001873213,0.734475374732334,0.7456046883324454,0.15334291628714117,all_days,hold,11:00
3545,462,0.5475749150447946,0.2767277856135402,10.123682286658426,0.7987012987012987,0.7926657263751763,7.418706075175816,0.7294372294372294,0.7430183356840621,0.15230817195193494,all_days,hold,11:30
3290,441,0.5418313570487484,0.3021276595744681,9.572645865288674,0.7959183673469388,0.7945288753799392,6.944001426271943,0.746031746031746,0.7477203647416414,0.15027348511087618,all_days,hold,12:00
3168,466,0.552012545739676,0.2970328282828283,8.663596585998787,0.7639484978540773,0.7743055555555556,6.138703748517983,0.7081545064377682,0.7222222222222222,0.14875985595410074,all_days,hold,12:30
2904,452,0.5345113197128658,0.293732782369146,7.492452016019103,0.7146017699115044,0.7327823691460055,5.366468019179792,0.6526548672566371,0.6921487603305785,0.1476277689460015,all_days,hold,13:00
2727,461,0.5346010586159576,0.27869453612027867,7.017007065108849,0.7158351409978309,0.7213054638797213,5.039547572649671,0.6464208242950108,0.6582324899156582,0.14159533693471796,all_days,hold,13:30
2548,463,0.5327200501777127,0.2813971742543171,6.050109457529675,0.693304535637149,0.7032967032967034,3.818239132413756,0.6220302375809935,0.6185243328100472,0.12071690650583346,all_days,hold,14:00
2325,467,0.5523877405559515,0.1827956989247312,4.9772970641788215,0.683083511777302,0.6701075268817205,3.0242407753045053,0.6274089935760171,0.6172043010752688,0.10964182868765335,all_days,hold,14:30
2110,467,0.578875171467764,0.15071090047393365,3.589447211449583,0.6231263383297645,0.6080568720379147,1.6935941646218933,0.569593147751606,0.5625592417061611,0.06105158977174655,all_days,hold,15:00
