era,hour_et,bucket,n_iv,iv_mid_med,vol_cost_abs_med,oneway_frac_med,theta_min_p25,theta_min_med,theta_min_p75,theta_min_p90
all,10,"[0.10,0.30)",26768,0.12766115238357284,0.0010871486571854827,0.008373860453519332,0.010984439313700994,0.01680969169671882,0.025618486575564207,0.03908883912648765
all,10,"[0.30,0.50)",17243,0.12483476663438355,0.0011304981398163882,0.009418135357078479,0.012251568624733642,0.01884487646484385,0.030285913521340576,0.05098477553859669
all,10,"[0.50,0.70)",17213,0.12486081363036322,0.0017038222561149008,0.013251312276758723,0.017348785744812918,0.02652227264653176,0.052242645865271234,0.1090825384281286
all,10,"[0.70,0.90]",26419,0.12800321342467788,0.005657665846648632,0.04502432397340129,0.05664711434198556,0.09204053297804891,0.1550171166805785,0.3245437347964785
all,11,"[0.10,0.30)",23671,0.12322285436287783,0.000972201620068891,0.007736595478648941,0.010626326021247037,0.01552527464264525,0.02231574477109385,0.03180928527172391
all,11,"[0.30,0.50)",14976,0.12062027901489544,0.0011039360177781954,0.008754476291151864,0.01209871574352181,0.017515377633196588,0.025928427585518207,0.038037228284673555
all,11,"[0.50,0.70)",14977,0.12075032094940058,0.0013408304229193535,0.011938634870918424,0.016455878923173576,0.023897627305196675,0.03634013722863111,0.05770039158923511
all,11,"[0.70,0.90]",23938,0.12399711748639862,0.004563619128063759,0.03887980565578189,0.051910640416592185,0.07931230391502103,0.11959993001737268,0.17723488320980407
all,12,"[0.10,0.30)",21167,0.12338801875111462,0.0010177382173486849,0.008035200783463026,0.011044171482315174,0.016142340174563653,0.023291000873072957,0.03277425043750512
all,12,"[0.30,0.50)",13261,0.12107413606423685,0.0011962723653009544,0.009323061648378966,0.01291136005862943,0.018654832691634062,0.027212090738770647,0.039549927331941334
all,12,"[0.50,0.70)",13323,0.12082577624473685,0.0013998730651932773,0.012327681211658835,0.017427042406369234,0.024669129061685502,0.03629864287050353,0.05751050176642023
all,12,"[0.70,0.90]",21404,0.1237784257150931,0.004654253293799773,0.03966122941638786,0.052810211834137324,0.08091969565310717,0.12262128207864878,0.18081675029168165
