era,entry,n,vrp_med,frac_long_b2,sh_always_short,sh_b2,sh_a0
all,10:00,8401,-0.002320547176587906,0.4018569217950244,3.4103358528537138,0.7174324001754904,0.5008849044132053
all,10:30,7740,-0.019745330788948637,0.4355297157622739,4.238322316883332,0.5267731464639029,0.3060086681738713
all,11:00,7231,0.004191479503192594,0.3887429124602406,4.103984733609827,0.9567519397072052,1.1001472738383977
all,11:30,6809,0.013842190767861242,0.362461448083419,4.071388005805134,0.9730907971022434,1.0743964902629606
all,12:00,6382,0.008611852589071245,0.3986211219053588,3.757018532838844,0.09134745384497672,-0.34728693618295714
all,12:30,6045,0.009738687600099062,0.38957816377171217,3.5513639141642463,0.13295685614352026,0.5263722654063981
all,13:00,5730,-0.0018794583486188943,0.39895287958115183,3.3094031252084077,0.34420956237180234,0.017948893826346242
all,13:30,5406,-0.0029697822099589194,0.40362560118386975,3.1595509858053656,0.3598054551928354,0.08167054276506086
all,14:00,5048,-0.008561898621973825,0.4223454833597464,2.504943683887898,0.6158991594768577,0.0895838622269898
all,14:30,4422,-0.007419561872168247,0.4260515603799186,2.0274681597699686,0.6053758718279388,0.4181869134993393
all,15:00,3763,0.16089719712946537,0.19213393568960935,1.4209735820180847,1.0066440528514882,0.6224284311669108
all,15:30,2873,0.2571744332770843,0.08806126000696136,0.18529512339275292,-0.00757894594614842,-0.2260529464241681
daily_0dte,10:00,5780,-0.003384714402138741,0.4006920415224913,3.597864087775033,1.104019350962303,1.0306880891282266
daily_0dte,10:30,5334,-0.0238961312343622,0.43907011623547054,4.59532844149526,-0.066553480300351,0.0853169446614794
daily_0dte,11:00,4964,-0.00792815532925411,0.4121676067687349,4.2559930160404615,0.2309911536169915,0.7728662018256177
daily_0dte,11:30,4667,-0.012339622677360718,0.4163274051853439,4.282784406441125,0.18686954788390153,0.39654405257576275
daily_0dte,12:00,4370,-0.023292906447944354,0.45331807780320366,4.204260881900785,0.08950207360844942,-0.2458656984339253
daily_0dte,12:30,4137,-0.017944646056738775,0.43292240754169686,4.058606127768484,-0.6678775791644113,0.010577600896596
daily_0dte,13:00,3914,-0.030657454692889385,0.4573326520183955,4.5024094716365965,-0.5553887923381108,-0.9758191414786944
daily_0dte,13:30,3679,-0.040068156584657365,0.475129111171514,4.6876012936098,-1.133594953407884,-2.030488052718812
daily_0dte,14:00,3385,-0.052104400363270346,0.5042836041358937,3.763270271798622,-0.5159298732212483,-1.311594674773411
daily_0dte,14:30,2958,-0.04866641829730809,0.4966193373901285,3.216456375865336,0.045706197472417005,-0.327258706213365
daily_0dte,15:00,2467,0.10694190180601881,0.24888528577219296,2.243761139982323,1.3817310494576445,0.9690901218251046
daily_0dte,15:30,1849,0.2063865723302332,0.11141157382368848,1.2059759415310374,0.6393374649745359,0.4979972247184351
