panel,era,hour,model,n,full_const,mean_causal_const,full_log_pb_rem,mean_causal_log_pb_rem,full_log_C,mean_causal_log_C,full_log_rv_sofar,mean_causal_log_rv_sofar,full_log_pb_next,mean_causal_log_pb_next
fixed,all,10:00,B_joint,864,0.06485711033174348,-0.0998482161894042,0.9727394707107919,0.9788756267747764,0.035359548219536685,0.01094552584993903,,,,
fixed,all,10:30,B_joint,864,0.15861790160712916,0.020677894032760696,0.9755907425388881,0.9862556060860675,0.04350799977081332,0.017546335199860718,,,,
fixed,all,11:00,B_joint,864,0.2164999721608437,0.08826010850502435,0.9725249819211917,0.98189191005712,0.05371565468280437,0.03012326914026774,,,,
fixed,all,11:30,B_joint,864,0.26431099075852726,0.1324461720488935,0.9752796654784345,0.9866210375112816,0.05615037948526902,0.029555665798547247,,,,
fixed,all,12:00,B_joint,864,0.29641264153721514,0.1677671530747487,0.974190785070398,0.98580369192524,0.061496361609269856,0.034726463176734695,,,,
fixed,all,12:30,B_joint,864,0.3266165442739139,0.19364549171430362,0.9683926933058401,0.9783234113867535,0.07191109166501908,0.04628306642721587,,,,
fixed,all,13:00,B_joint,864,0.3890106402516197,0.2283031204308623,0.9669012632723855,0.9773649031088725,0.08082927618400226,0.05104142805921525,,,,
fixed,all,13:30,B_joint,864,0.47484136635178015,0.3242947973746339,0.9563450336516788,0.9720299447929751,0.10317162233605659,0.06847718599447733,,,,
fixed,all,14:00,B_joint,864,0.4921844699698866,0.31260946428106434,0.9462441774197464,0.9609345192741544,0.1181868829969811,0.08141417285595694,,,,
fixed,all,14:30,B_joint,864,0.22039571538159664,0.11111089719747315,0.9432685269857625,0.9518738193203745,0.09207121980276167,0.07101246430847928,,,,
fixed,all,15:00,B_joint,864,-0.09943489131373613,-0.20371255840631503,0.9422390379155321,0.9389471361989823,0.058677810192859337,0.05273936712192111,,,,
fixed,all,15:30,B_joint,864,-0.36485114957488235,-0.3889030286892161,0.9152330303688141,0.9237117631761145,0.07308430988324521,0.0606926890828399,,,,
fixed,all,pooled,B_joint,10368,0.3107492019502308,0.15408528434773705,0.9677132743928608,0.9741310780112412,0.07127055232626534,0.047706703384439254,,,,
fixed,all,10:00,B_joint_realized,864,-0.24606309686630304,-0.4155134798818171,1.10978156698512,1.0911130785942023,0.04659913415339911,0.015679975621337997,-0.15111195607692374,-0.1262191213077844,,
fixed,all,10:30,B_joint_realized,864,-0.14271024861635348,-0.27153496147504846,1.1493372832853974,1.12417382642988,0.052723578927504344,0.02256080125394268,-0.19261661472505653,-0.15609279884752844,,
fixed,all,11:00,B_joint_realized,864,-0.0686442921792135,-0.16227094083641205,1.1578342783354523,1.1178579767916155,0.06492798028171953,0.03668124447381718,-0.21095716914508988,-0.15757094446770478,,
fixed,all,11:30,B_joint_realized,864,0.022480915091332432,-0.060901236815994665,1.1626733451239164,1.1095477884119727,0.06921594665288733,0.03506921800724106,-0.21661847804210133,-0.14316813699519929,,
fixed,all,12:00,B_joint_realized,864,0.05534741499529034,-0.025484707485455383,1.1754202415304909,1.1194901552370915,0.07423418425141826,0.03934514441384444,-0.2349955014890015,-0.1564307228426645,,
fixed,all,12:30,B_joint_realized,864,0.10567054525880384,0.028172576327106725,1.1779168850585173,1.1046477975058386,0.08409483382870608,0.04944860191568038,-0.24569816695388724,-0.1480562919960851,,
fixed,all,13:00,B_joint_realized,864,0.18221410534538865,0.08411587247856457,1.1827274538560233,1.0994164478936217,0.0902268810905672,0.052244265599658946,-0.2526626566203912,-0.14230535338830583,,
fixed,all,13:30,B_joint_realized,864,0.25108596157866925,0.18833675958489565,1.1694444892384896,1.0848952354810473,0.1060369317696534,0.06630769494919939,-0.25058362480578467,-0.13141915540810278,,
fixed,all,14:00,B_joint_realized,864,0.26101927946075615,0.17850165699612022,1.163074237917043,1.0745689155656288,0.11184436884886256,0.07506506410047718,-0.2516338643054812,-0.13062260057638786,,
fixed,all,14:30,B_joint_realized,864,0.1902779676924064,0.09809702781404514,1.00746737162929,0.9054944427655398,0.09222781177571221,0.06734097984117855,-0.07510331507324286,0.05305394978342058,,
fixed,all,15:00,B_joint_realized,864,-0.1048131788050313,-0.23346649096832475,0.8787782329402283,0.7891183400044398,0.05903983657907019,0.0496024180306288,0.07301103524413882,0.17200480454002876,,
fixed,all,15:30,B_joint_realized,864,-0.46032071971861976,-0.559016030691388,0.7279976266289759,0.6455225214443283,0.07855632146385433,0.05925811492805982,0.21399808965798395,0.31907218394642284,,
fixed,all,pooled,B_joint_realized,10368,0.07654654919704838,0.02051230425609426,0.987550329239554,0.9894360161800249,0.07881985526173207,0.05032466120620583,-0.04917463679619938,-0.030808469275283405,,
fixed,all,10:00,B_ft_joint,864,1.1464367820091006,1.3003546150973935,,,0.29252759841906345,0.2500986499030781,0.10300051438137492,0.21988060188521358,0.6082686667924134,0.5382043370866167
fixed,all,10:30,B_ft_joint,864,1.4847335248618285,1.6759904642528733,,,0.2730880332697001,0.20770157448314236,0.23681027815217773,0.34021661522503377,0.528869055570505,0.5010737121472777
fixed,all,11:00,B_ft_joint,864,1.2809688979043026,1.4172826025763836,,,0.2620603373969126,0.20021566722883932,0.22608419634181506,0.33376497493091184,0.5383086184630765,0.5025224490039396
fixed,all,11:30,B_ft_joint,864,1.5826110868803354,1.7910340158160714,,,0.2444456845219165,0.1745653153437993,0.16016117314883632,0.23671293965485862,0.6345058258192114,0.6393109316485651
fixed,all,12:00,B_ft_joint,864,1.2570201825132583,1.4951030689416847,,,0.268496135795605,0.185390124252046,0.21209488456493908,0.3049897986725855,0.5525094707382389,0.5546149202610692
fixed,all,12:30,B_ft_joint,864,1.2922322233824208,1.3177068789047488,,,0.2835757004412137,0.19493913215083467,0.20129453948499645,0.3027077341340426,0.5568126631848663,0.53966914026755
fixed,all,13:00,B_ft_joint,864,1.2179600955151404,1.1959520183507422,,,0.30653699072800744,0.18884074827625702,0.28573771130120124,0.3165139857782103,0.4797005190042505,0.532725493193958
fixed,all,13:30,B_ft_joint,864,1.5815223530514824,1.4036288503221022,,,0.3592823144568161,0.2521159477470477,0.23444217057421446,0.38870965313577166,0.5179855556743616,0.455597237722303
fixed,all,14:00,B_ft_joint,864,1.142847541913573,0.9382920343932054,,,0.373626404512769,0.2631669132173188,0.33901813936871167,0.5155172099233133,0.4160455368586433,0.33455175274757387
fixed,all,14:30,B_ft_joint,864,0.5939314733968261,0.577978726412592,,,0.23530731640859265,0.16987456292532116,0.35087161469638234,0.4485828337371811,0.485975476412853,0.449265656762015
fixed,all,15:00,B_ft_joint,864,-0.06694593078668674,-0.13302296062193958,,,0.15175597980715202,0.12194427475790395,0.2896540878801964,0.40078745510487807,0.5701242056073058,0.4923314208472398
fixed,all,15:30,B_ft_joint,864,-0.46032071971861976,-0.559016030691388,,,0.07855632146385433,0.05925811492805982,0.21399808965798395,0.31907218394642284,0.7279976266289759,0.6455225214443283
fixed,all,pooled,B_ft_joint,10368,1.7463153592160034,1.6144949398038666,,,0.5603783873469407,0.48351908775576696,-0.16840582476663996,-0.06457105114510528,0.724618254814131,0.6822042603312689
fixed,daily_0dte,10:00,B_joint,489,0.5868049714672546,0.8021164635144663,0.9286125086157946,0.8248729306524427,0.1397093242804589,0.2762433404507241,,,,
fixed,daily_0dte,10:30,B_joint,489,0.6763387820646762,1.0229227899837683,0.9205132313826524,0.8354399164768701,0.15916700280857793,0.29115525933005265,,,,
fixed,daily_0dte,11:00,B_joint,489,0.7293185418028423,1.1879597445413856,0.9171022150807263,0.8431204864152372,0.1694473652826073,0.30203406608831,,,,
fixed,daily_0dte,11:30,B_joint,489,0.7654846895809917,1.3148367046401939,0.9227899649710538,0.8533705960575708,0.16774046371249524,0.30568729400182276,,,,
fixed,daily_0dte,12:00,B_joint,489,0.8046763757576275,1.3729118769269775,0.9283206459145171,0.863976947776055,0.16678998227707015,0.3012897132760323,,,,
fixed,daily_0dte,12:30,B_joint,489,0.8552184113938656,1.512833769712673,0.9260930776689681,0.8683838055129738,0.17587029213492456,0.31339419499080307,,,,
fixed,daily_0dte,13:00,B_joint,489,0.9606007521238825,1.64250208225,0.9289754691849222,0.880175399676494,0.18510100708455418,0.3154190981349156,,,,
fixed,daily_0dte,13:30,B_joint,489,1.035859240944888,1.7680961655735836,0.9094777137423162,0.8572807325978036,0.21698671622994609,0.3565433881069008,,,,
fixed,daily_0dte,14:00,B_joint,489,1.0543283608938907,1.7978812427205682,0.9073395864146929,0.8639377457410421,0.22313529565349538,0.35389938329331205,,,,
fixed,daily_0dte,14:30,B_joint,489,0.8522509900683684,1.5379811355968276,0.9287418941891951,0.9043082555249808,0.1751800814769593,0.27695913755818824,,,,
fixed,daily_0dte,15:00,B_joint,489,0.5507695636714969,0.6695966503141909,0.9687179641786833,0.9358963398653364,0.09251178747198885,0.1427278320522578,,,,
fixed,daily_0dte,15:30,B_joint,489,-0.032608779070720705,-0.34906817815580543,0.9105181674623181,0.8824767371231225,0.11258401110846095,0.11120575782427129,,,,
fixed,daily_0dte,pooled,B_joint,5868,0.9153092810221128,1.4142929163196707,0.9453604680941268,0.8935978388079676,0.16045394347100633,0.2742635581546138,,,,
fixed,daily_0dte,10:00,B_joint_realized,489,0.39874080197633344,0.4008179821221141,1.1121933205862242,0.9808002694524318,0.1489948774276615,0.2644200344103122,-0.177962525943812,-0.15835535446944418,,
fixed,daily_0dte,10:30,B_joint_realized,489,0.516146470094804,0.49679652594746976,1.1336889976928615,1.0237198401873335,0.16676959332989416,0.2732298404127091,-0.21455539503440857,-0.20679646098064658,,
fixed,daily_0dte,11:00,B_joint_realized,489,0.5082552391393362,0.5760436887215803,1.1512948240747936,1.0469913025049384,0.17113129473316258,0.27490000864577824,-0.24301928927516359,-0.22903286314072788,,
fixed,daily_0dte,11:30,B_joint_realized,489,0.5641030263917659,0.6916083458712519,1.163204958758798,1.0611730341396741,0.1737331206090772,0.28189127017259635,-0.25815868039726775,-0.24364886316639553,,
fixed,daily_0dte,12:00,B_joint_realized,489,0.58356510465537,0.6531452768039161,1.1875374191533652,1.0921331962516143,0.17346961905631303,0.27333025423314417,-0.2853347651117555,-0.2754597599928025,,
fixed,daily_0dte,12:30,B_joint_realized,489,0.6357214458925246,0.7246148728083466,1.201643409670169,1.1131672524322207,0.18230949267325902,0.2817922929254473,-0.30754648099762116,-0.3017066123542922,,
fixed,daily_0dte,13:00,B_joint_realized,489,0.6994138121835715,0.7857276197623402,1.2173312582077114,1.1361414115826547,0.1881681825648655,0.27852734788101846,-0.3274619841109161,-0.32047025989764155,,
fixed,daily_0dte,13:30,B_joint_realized,489,0.6586382899685657,0.7789773307775655,1.1880328341451147,1.1152119522851665,0.21041869498859878,0.3049934549150543,-0.3268969879623781,-0.32864505149747386,,
fixed,daily_0dte,14:00,B_joint_realized,489,0.6484274714288938,0.8136463551339203,1.1874870426628246,1.1157794118081505,0.20717275999741358,0.29730425825402446,-0.329276376150609,-0.3225710384282803,,
fixed,daily_0dte,14:30,B_joint_realized,489,0.8411424482686373,1.3279046192240906,1.0838199179561774,1.0209274250518254,0.18200987253982032,0.2769901662000885,-0.18252601634826726,-0.1545974455458225,,
