panel,era,forecast,n_bars,n_days,qlike,dm_t_vs_A_blk2,nested_in,dm_t_vs_nested,dm_t_pooled_vs_perhour
fixed,all,A_blk2,9600,800,0.06337477758997144,,,,
fixed,all,A_a0,9600,800,0.06929493616800358,2.3822154599110696,,,
fixed,all,B_direct_blk2,9600,800,0.0641598492712649,0.9813634036355162,,,
fixed,all,B_direct_iv,9600,800,0.3107687470706209,14.98156710894427,,,
fixed,all,B_joint,9600,800,0.06272421065230536,-0.7461088848739381,B_direct_blk2,-3.597751820668457,
fixed,all,B_joint_realized,9600,800,0.057735903872179944,-2.8293982671526945,B_joint,-3.0716782128169715,
fixed,all,B_ft_blk2,9600,800,0.21367513952100367,8.733538896878125,,,
fixed,all,B_ft_joint,9600,800,0.1912348977179781,9.068326601754803,B_ft_blk2,-3.589358096091297,
fixed,all,P_direct_blk2,9600,800,0.06434998905071514,1.1740887840785912,,,0.9529625714351715
fixed,all,P_direct_iv,9600,800,0.31262056067547495,15.022363371062605,,,3.704541359327816
fixed,all,P_joint,9600,800,0.06282373526222222,-0.6051632847002149,P_direct_blk2,-3.787405664174533,0.5507414747233645
fixed,all,P_joint_realized,9600,800,0.06008484365352767,-2.0959433685787063,P_joint,-2.4508758917922076,3.614566294060406
fixed,all,P_ft_blk2,9600,800,0.21535775057307802,8.614221893954928,,,1.8590489279755413
fixed,all,P_ft_joint,9600,800,0.1956530546554561,8.636034730480263,P_ft_blk2,-3.7333199046027143,2.0790469380697654
fixed,daily_0dte,A_blk2,5868,489,0.06255119895625263,,,,
fixed,daily_0dte,A_a0,5868,489,0.06984802459300424,2.107656832256069,,,
fixed,daily_0dte,B_direct_blk2,5868,489,0.06314949902833512,1.8810167701586176,,,
fixed,daily_0dte,B_direct_iv,5868,489,0.2125764261307205,11.334809707800074,,,
fixed,daily_0dte,B_joint,5868,489,0.060642607702207495,-2.6906551773788663,B_direct_blk2,-4.308817187553012,
fixed,daily_0dte,B_joint_realized,5868,489,0.05187642980129371,-3.766034387959495,B_joint,-3.7530917738275735,
fixed,daily_0dte,B_ft_blk2,5868,489,0.22953200310478541,6.296655542166321,,,
fixed,daily_0dte,B_ft_joint,5868,489,0.19002976325321574,6.420185360069539,B_ft_blk2,-4.185776241427929,
fixed,daily_0dte,P_direct_blk2,5868,489,0.06330398012898368,2.363716356147967,,,0.7897909083891655
fixed,daily_0dte,P_direct_iv,5868,489,0.21427667808500278,11.3065052038723,,,4.7072915929615124
