book,n,mean,sharpe,sharpe_ann,hit
paper unit (RV-a0)*gap,671,2.0081774762610537e-10,0.10000191060193031,1.5874811165041267,0.6423248882265276
paper hess (RV-a0)*1/f2,671,0.014333688994719727,0.28504965094264734,4.525022926200079,0.6423248882265276
paper QLIKE remaining,671,0.004804867702998616,0.1035924052560673,1.6444784521354467,0.5320417287630402
VRP unit (RV-MFIV)*gap,671,-8.215170255216006e-11,-0.021652088148406426,-0.34371624363559433,0.5499254843517138
VRP hess (RV-MFIV)*1/f2,671,0.11534983246819855,0.10019067518453484,1.5904776613555776,0.5499254843517138
strip unit (strip_T-MFIV)*gap,671,1.581184387098077e-11,0.002108057713775811,0.03346437876013306,0.5529061102831595
strip hess (strip_T-MFIV)*1/f2,671,0.1195883688293954,0.10180989485920122,1.6161819768184786,0.5529061102831595
strip+shift unit ~paper,671,2.9878129404924616e-10,0.06284342704890218,0.9976084770385495,0.518628912071535
strip+shift hess ~paper,671,0.018572225355916593,0.06926696381510994,1.0995789619637442,0.518628912071535
unsigned (RV-a0),671,3.9378648882347574e-06,0.1284117261957093,2.038472957630191,0.4843517138599106
unsigned (RV-MFIV),671,-9.382403020038183e-05,-0.5424933427383345,-8.611814836762566,0.02533532041728763
unsigned strip_pnl,671,-9.153924091507205e-05,-0.42280333878133736,-6.711794927419258,0.15052160953800298
ft paper unit (RV-Fa0)*gap,671,3.859432644389999e-12,0.0006737625920549781,0.010695649567654413,0.5946348733233979
ft paper hess (RV-Fa0)*1/f2,671,0.014057103235366077,0.13475583454934184,2.1391825555951454,0.5946348733233979
ft paper QLIKE remaining,671,-0.0018405818065147593,-0.016139350152488515,-0.25620424095406197,0.5290611028315947
ft VRP unit (RV-MFIV)*gap,671,-7.847944004400549e-11,-0.016877397683412933,-0.2679203822894895,0.5543964232488823
ft VRP hess (RV-MFIV)*1/f2,671,0.08900955735224639,0.07925743049158544,1.258172703808337,0.5543964232488823
ft strip unit (strip_T-MFIV)*gap,671,2.5765185514824754e-10,0.026227758071898102,0.4163527518300558,0.5424739195230999
ft strip hess (strip_T-MFIV)*1/f2,671,0.08317018315726624,0.07199275837492768,1.1428496091457272,0.5424739195230999
ft strip+shift unit ~paper,671,3.399907278366431e-10,0.03941517125457499,0.6256964461357629,0.5380029806259314
ft strip+shift hess ~paper,671,0.008217729040385945,0.02739748925452689,0.43492165869025534,0.5380029806259314
ft unsigned (RV-Fa0),671,-2.9038522126566726e-06,-0.051431683737696916,-0.816452668075626,0.36959761549925485
