dim,bucket,theta,model,n_rows,n_traded,n_days,frac_traded,frac_long,sh_mid,sh_crossed,hit_mid,mean_mid,mean_crossed,sh_always_short,med_abs_sig
day_of_week,0_Mon,0.05,b2,14219,11424,135,0.8034320275687461,0.22969187675070027,6.825422968442087,3.5739079388024253,0.6850490196078431,0.1407365542584931,0.08923534461386921,2.1594231734678893,0.13041497909267152
day_of_week,1_Tue,0.05,b2,10255,7563,100,0.7374939054119941,0.43223588523072853,5.042350374390328,1.6823402035670576,0.6500066111331482,0.0935406671968948,0.04091175510032382,5.967666854852,0.10484318366189438
day_of_week,2_Wed,0.05,b2,20523,16584,173,0.8080689957608537,0.24071394114809455,3.695507025057645,0.09271655919541968,0.6076941630487217,0.03396766997382812,-0.01613515041981479,3.4180999220435235,0.15132047542882165
day_of_week,3_Thu,0.05,b2,9788,7516,91,0.7678790355537393,0.48842469398616284,4.904119943255994,2.0462900926058323,0.6158861096327833,0.09447968547955808,0.04553022719911038,1.471557749957987,0.10705232528505246
day_of_week,4_Fri,0.05,b2,19215,14642,171,0.7620088472547489,0.2628056276464964,10.988509788374712,7.347683580348279,0.7425215134544462,0.1713180535965231,0.12005463350494314,6.744914638096458,0.11450719308532674
day_of_week,ALL,0.05,b2,74000,57729,670,0.7801216216216216,0.30147759358381404,6.378083524546261,3.048568638968729,0.6638084844705434,0.1056157313920171,0.054761038256998615,3.8090033919664514,0.12279311955068674
day_of_week,0_Mon,0.05,a0,14219,11801,135,0.829945847105985,0.12981950682145582,7.011426964370093,3.5782155822912407,0.6911278705194475,0.12777951037272073,0.07592544569073714,2.1594231734678893,0.15104811742500823
day_of_week,1_Tue,0.05,a0,10255,7946,100,0.7748415407118479,0.31814749559526806,5.596245045708295,2.5035068480922424,0.7033727661716587,0.11921504283020913,0.06742407017390895,5.967666854852,0.11075177243648743
day_of_week,2_Wed,0.05,a0,20523,16682,173,0.8128441261024216,0.14614554609759023,4.498627098743136,1.1308974775379896,0.6393717779642729,0.04708944667465596,-0.0031298702461911754,3.4180999220435235,0.1738190751128229
day_of_week,3_Thu,0.05,a0,9788,7428,91,0.7588884348181447,0.3474690360796984,4.461289612211727,1.6369420756999724,0.6340872374798061,0.09685361994366537,0.046787628403873405,1.471557749957987,0.10546904619743448
day_of_week,4_Fri,0.05,a0,19215,15672,171,0.8156128024980484,0.1521822358346095,11.123308428393354,7.561518809414216,0.7464905564063298,0.16607304634549955,0.11544221091018857,6.744914638096458,0.14605794895354382
day_of_week,ALL,0.05,a0,74000,59529,670,0.804445945945946,0.1925784071628954,6.649756600336746,3.3871165939026198,0.6857162055468763,0.11024677641035707,0.059404394226675324,3.8090033919664514,0.1389297138217146
day_of_week,0_Mon,0.1,b2,14219,8715,135,0.6129123004430691,0.18932874354561102,7.20837441697728,3.93059133019895,0.712794033275961,0.16285046042747,0.11056490057802973,2.1594231734678893,0.13041497909267152
day_of_week,1_Tue,0.1,b2,10255,5340,100,0.5207215992198927,0.41385767790262173,6.891799897922672,3.5473812145996275,0.7097378277153558,0.13814014278419198,0.08450213946337103,5.967666854852,0.10484318366189438
day_of_week,2_Wed,0.1,b2,20523,13083,173,0.6374799005993276,0.17732935870977604,3.875203340485942,0.7662920293092578,0.6327294962928992,0.03706323338106081,-0.011848323206522913,3.4180999220435235,0.15132047542882165
day_of_week,3_Thu,0.1,b2,9788,5221,91,0.53340825500613,0.45853284811338824,4.501357480673549,1.8125012193249477,0.6531315839877418,0.12716862792699984,0.07788996221024323,1.471557749957987,0.10705232528505246
day_of_week,4_Fri,0.1,b2,19215,10583,171,0.5507676294561541,0.218180100160635,11.551606980045465,8.083001050604164,0.7770953415855617,0.20118632947942813,0.14844040453081,6.744914638096458,0.11450719308532674
day_of_week,ALL,0.1,b2,74000,42942,670,0.5802972972972973,0.2534348656327139,6.776673584636362,3.6224546194447993,0.6966140375390061,0.12656398720844533,0.07539032216967616,3.8090033919664514,0.12279311955068674
day_of_week,0_Mon,0.1,a0,14219,9443,135,0.6641114002391166,0.09541459282007836,4.580112701552648,1.9704028321098432,0.7013660912845494,0.1301138209075828,0.0781479543728571,2.1594231734678893,0.15104811742500823
day_of_week,1_Tue,0.1,a0,10255,5538,100,0.5400292540224281,0.27843986998916576,7.645252654498878,4.624768538043351,0.7576742506319971,0.17033040651387985,0.1168314972683299,5.967666854852,0.11075177243648743
day_of_week,2_Wed,0.1,a0,20523,13607,173,0.6630122301807728,0.10354964356581171,5.129628612987212,2.023691006321216,0.6445212023223341,0.04547590192993674,-0.0034783246984370353,3.4180999220435235,0.1738190751128229
day_of_week,3_Thu,0.1,a0,9788,5102,91,0.5212505108295873,0.2949823598588789,3.3376845523965906,0.9751151924264327,0.6869854958839671,0.13991300455493813,0.08918129233143483,1.471557749957987,0.10546904619743448
day_of_week,4_Fri,0.1,a0,19215,12366,171,0.643559718969555,0.10828076985282226,10.41134544975877,7.248862163176119,0.764839074882743,0.17755603073880935,0.12648680361427436,6.744914638096458,0.14605794895354382
day_of_week,ALL,0.1,a0,74000,46056,670,0.6223783783783784,0.1453882230328296,6.196575064850536,3.355161113461436,0.7067917318047594,0.12376757045814292,0.07288460065599194,3.8090033919664514,0.1389297138217146
