book,n,mean,sharpe,sharpe_ann,hit,unit
1bar QLIKE RTH drop D10,60160,0.0049542289888256635,0.01057186227952351,1.162712619181557,0.5157081117021277,bar
to-close QLIKE overlapping RTH,70413,0.0034700732204340345,0.010339195282061977,1.1371234801195034,0.5095507931773963,bar
to-close QLIKE overlapping drop D10,60160,0.0013215040131621086,0.0038244189220166622,0.4206165407847065,0.5000664893617022,bar
to-close unit 10:00 entry,5721,-4.1533949117047607e-05,-0.004831902647046779,-0.07670407658016289,0.619472120258696,day
to-close unit 10:00 drop D10,5073,-4.683952861668962e-05,-0.005131266485401713,-0.08145633018704027,0.6033904987187069,day
to-close hess 10:00 drop D10,5073,0.010935677035322595,0.1523372280079368,2.418278524355666,0.6033904987187069,day
to-close QLIKE 10:00 drop D10,5073,0.002582110392242547,0.039545199271194764,0.6277605769084442,0.5215848610289769,day
last-bar unit drop D10,5877,-3.697406183231934e-05,-0.0043618531010264335,-0.06924227136427102,0.5342862004424026,day
last-bar QLIKE drop D10,5877,0.010795198884219665,0.011632918552359428,0.18466685706847535,0.4951505870342011,day
last-bar hess drop D10,5877,0.026157631032538552,0.02484586187269582,0.39441582974528816,0.5342862004424026,day
AM overlapping unit drop D10,20244,-4.875914738633319e-05,-0.005337593930342908,-0.5870382771535974,0.5903477573602055,bar
AM overlapping QLIKE drop D10,20244,0.002022779468101079,0.02667895008747425,2.9341993977071876,0.5111638016202331,bar
