era,ranking,px,n,mean,sharpe_ann,hit
all,blk2,mid,608,0.666031783923449,4.071369290372019,0.912828947368421
all,blk2,crossed,608,-0.06753613277810368,-0.4817420095546654,0.4144736842105263
all,a0,mid,608,0.6642842544909724,4.342476390512663,0.9144736842105263
all,a0,crossed,608,-0.05119855920676731,-0.3415576793129371,0.44243421052631576
all,uncond,mid,608,0.7117549355391126,3.507727935409914,0.8766447368421053
all,uncond,crossed,608,-0.06176859361605577,-0.5472239991341484,0.31414473684210525
all,blk2_minus_a0(paired),mid,608,0.0017475294324765368,0.15232509413857656,0.05098684210526316
daily_0dte,blk2,mid,337,0.8436688974760017,3.980464007717451,0.9080118694362018
daily_0dte,blk2,crossed,337,-0.022839532918924887,-0.14016879687602213,0.5222551928783383
daily_0dte,a0,mid,337,0.8302651492735046,4.206257503517132,0.9080118694362018
daily_0dte,a0,crossed,337,-0.020772975908912382,-0.1187506962867041,0.5519287833827893
daily_0dte,uncond,mid,337,0.8790384170679351,3.3606953137229114,0.8367952522255193
daily_0dte,uncond,crossed,337,-0.05707468077040954,-0.4365629649661437,0.35311572700296734
daily_0dte,blk2_minus_a0(paired),mid,337,0.013403748202497186,0.7143265895767308,0.050445103857566766
